    radius           X             Y            Z            omegaE-6       p           T          rho 
  9.702014e-04  3.390962e-01  6.412011e-01  1.969496e-02  1.506295e+01  2.372418e+17  1.571204e+07  1.545345e+02 
  9.852095e-04  3.390970e-01  6.412004e-01  1.969496e-02  1.506295e+01  2.372413e+17  1.571203e+07  1.545342e+02 
  1.000450e-03  3.390981e-01  6.411992e-01  1.969497e-02  1.506293e+01  2.372408e+17  1.571202e+07  1.545338e+02 
  1.015926e-03  3.390994e-01  6.411979e-01  1.969497e-02  1.506293e+01  2.372403e+17  1.571200e+07  1.545334e+02 
  1.031641e-03  3.391000e-01  6.411973e-01  1.969498e-02  1.506292e+01  2.372398e+17  1.571199e+07  1.545330e+02 
  1.047600e-03  3.391012e-01  6.411962e-01  1.969499e-02  1.506292e+01  2.372392e+17  1.571198e+07  1.545326e+02 
  1.063805e-03  3.391023e-01  6.411950e-01  1.969499e-02  1.506292e+01  2.372387e+17  1.571197e+07  1.545322e+02 
  1.080262e-03  3.391034e-01  6.411939e-01  1.969499e-02  1.506291e+01  2.372381e+17  1.571196e+07  1.545318e+02 
  1.096972e-03  3.391046e-01  6.411928e-01  1.969499e-02  1.506291e+01  2.372375e+17  1.571194e+07  1.545313e+02 
  1.113942e-03  3.391057e-01  6.411916e-01  1.969499e-02  1.506290e+01  2.372369e+17  1.571193e+07  1.545309e+02 
  1.131174e-03  3.391070e-01  6.411903e-01  1.969500e-02  1.506290e+01  2.372363e+17  1.571192e+07  1.545304e+02 
  1.148672e-03  3.391082e-01  6.411891e-01  1.969500e-02  1.506289e+01  2.372356e+17  1.571190e+07  1.545299e+02 
  1.166442e-03  3.391095e-01  6.411878e-01  1.969500e-02  1.506288e+01  2.372350e+17  1.571189e+07  1.545294e+02 
  1.184486e-03  3.391109e-01  6.411864e-01  1.969500e-02  1.506288e+01  2.372343e+17  1.571188e+07  1.545289e+02 
  1.202809e-03  3.391123e-01  6.411850e-01  1.969499e-02  1.506287e+01  2.372336e+17  1.571186e+07  1.545283e+02 
  1.221416e-03  3.391137e-01  6.411836e-01  1.969499e-02  1.506286e+01  2.372328e+17  1.571184e+07  1.545278e+02 
  1.240311e-03  3.391152e-01  6.411821e-01  1.969499e-02  1.506285e+01  2.372321e+17  1.571183e+07  1.545272e+02 
  1.259498e-03  3.391167e-01  6.411806e-01  1.969499e-02  1.506284e+01  2.372313e+17  1.571181e+07  1.545266e+02 
  1.278981e-03  3.391183e-01  6.411790e-01  1.969498e-02  1.506283e+01  2.372305e+17  1.571179e+07  1.545260e+02 
  1.298767e-03  3.391199e-01  6.411774e-01  1.969498e-02  1.506282e+01  2.372297e+17  1.571177e+07  1.545254e+02 
  1.318858e-03  3.391216e-01  6.411757e-01  1.969498e-02  1.506281e+01  2.372288e+17  1.571176e+07  1.545248e+02 
  1.339261e-03  3.391233e-01  6.411740e-01  1.969497e-02  1.506279e+01  2.372280e+17  1.571174e+07  1.545241e+02 
  1.359979e-03  3.391251e-01  6.411722e-01  1.969497e-02  1.506278e+01  2.372271e+17  1.571172e+07  1.545234e+02 
  1.381017e-03  3.391269e-01  6.411704e-01  1.969496e-02  1.506276e+01  2.372261e+17  1.571170e+07  1.545227e+02 
  1.402381e-03  3.391288e-01  6.411685e-01  1.969496e-02  1.506275e+01  2.372252e+17  1.571168e+07  1.545220e+02 
