 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.109098D+07  1.544324D-03  5.888400D-02  1.207800D+02  1.201628D+02  5.109713D-03 
   7.494800D-02  5.116900D+07  5.109754D+07  1.396453D-03  7.722500D-02  1.053200D+02  1.048818D+02  4.160938D-03 
   1.005200D-01  5.080300D+07  5.074783D+07  1.085931D-03  1.020800D-01  8.593700D+01  8.558612D+01  4.083031D-03 
   1.273300D-01  4.985800D+07  4.983152D+07  5.310915D-04  1.270600D-01  6.922600D+01  6.897051D+01  3.690601D-03 
   1.520800D-01  4.855900D+07  4.856379D+07 -9.864570D-05  1.516200D-01  5.551000D+01  5.536224D+01  2.661915D-03 
   1.763600D-01  4.703300D+07  4.705882D+07 -5.488879D-04  1.770900D-01  4.377200D+01  4.369771D+01  1.697223D-03 
   2.018400D-01  4.531600D+07  4.533348D+07 -3.856918D-04  2.023300D-01  3.422100D+01  3.421611D+01  1.429919D-04 
   2.274600D-01  4.356900D+07  4.356510D+07  8.962232D-05  2.273000D-01  2.651400D+01  2.656949D+01 -2.092769D-03 
   2.525300D-01  4.189700D+07  4.187738D+07  4.682029D-04  2.527700D-01  2.023400D+01  2.031096D+01 -3.803543D-03 
   2.777100D-01  4.030100D+07  4.026413D+07  9.147614D-04  2.780300D-01  1.535500D+01  1.542692D+01 -4.683693D-03 
   3.032000D-01  3.879800D+07  3.874342D+07  1.406767D-03  3.033300D-01  1.157000D+01  1.163450D+01 -5.574395D-03 
   3.284700D-01  3.739500D+07  3.734270D+07  1.398585D-03  3.287900D-01  8.683800D+00  8.730026D+00 -5.323280D-03 
   3.537000D-01  3.609000D+07  3.603954D+07  1.398082D-03  3.540300D-01  6.534600D+00  6.563383D+00 -4.404678D-03 
   3.791200D-01  3.486600D+07  3.481443D+07  1.479144D-03  3.794600D-01  4.912300D+00  4.931953D+00 -4.000801D-03 
   4.043900D-01  3.371000D+07  3.367441D+07  1.055701D-03  4.047400D-01  3.716000D+00  3.724034D+00 -2.162006D-03 
   4.297000D-01  3.262900D+07  3.260132D+07  8.484047D-04  4.300600D-01  2.820100D+00  2.822829D+00 -9.675245D-04 
   4.550400D-01  3.160400D+07  3.158775D+07  5.140232D-04  4.553500D-01  2.152100D+00  2.151045D+00  4.900352D-04 
   4.803100D-01  3.063400D+07  3.062976D+07  1.383692D-04  4.806300D-01  1.651700D+00  1.648334D+00  2.037858D-03 
   5.056600D-01  2.971200D+07  2.971329D+07 -4.355385D-05  5.059200D-01  1.273700D+00  1.270141D+00  2.794257D-03 
   5.309600D-01  2.882200D+07  2.883432D+07 -4.273731D-04  5.312100D-01  9.885000D-01  9.844180D-01  4.129536D-03 
   5.563000D-01  2.797200D+07  2.798005D+07 -2.878276D-04  5.565100D-01  7.705400D-01  7.674197D-01  4.049437D-03 
   5.816000D-01  2.713000D+07  2.714291D+07 -4.758425D-04  5.818100D-01  6.044500D-01  6.017388D-01  4.485362D-03 
   6.069300D-01  2.631100D+07  2.630729D+07  1.410444D-04  6.071100D-01  4.763400D-01  4.746003D-01  3.652226D-03 
   6.322300D-01  2.548300D+07  2.545905D+07  9.398514D-04  6.324300D-01  3.775600D-01  3.764799D-01  2.860821D-03 
   6.575400D-01  2.463700D+07  2.457775D+07  2.405122D-03  6.577200D-01  3.009500D-01  3.005199D-01  1.429147D-03 
   6.828300D-01  2.370600D+07  2.363391D+07  3.040951D-03  6.830400D-01  2.419700D-01  2.414070D-01  2.326891D-03 
   7.081100D-01  2.261400D+07  2.258163D+07  1.431235D-03  7.083800D-01  1.968500D-01  1.954605D-01  7.058704D-03 
   7.333700D-01  2.125700D+07  2.125810D+07 -5.174767D-05  7.337100D-01  1.628100D-01  1.610919D-01  1.055275D-02 
   7.586900D-01  1.988100D+07  1.988128D+07 -1.413357D-05  7.590300D-01  1.331100D-01  1.316610D-01  1.088555D-02 
   7.840400D-01  1.849500D+07  1.849299D+07  1.086574D-04  7.843500D-01  1.070300D-01  1.058917D-01  1.063552D-02 
   8.093400D-01  1.708900D+07  1.708676D+07  1.310209D-04  8.096700D-01  8.431500D-02  8.343158D-02  1.047756D-02 
   8.346400D-01  1.564900D+07  1.564592D+07  1.969927D-04  8.349900D-01  6.466700D-02  6.398230D-02  1.058805D-02 
   8.599500D-01  1.415600D+07  1.415089D+07  3.609459D-04  8.603100D-01  4.780000D-02  4.729470D-02  1.057121D-02 
   8.852700D-01  1.258200D+07  1.257479D+07  5.731803D-04  8.856400D-01  3.350700D-02  3.315634D-02  1.046518D-02 
   9.106000D-01  1.088100D+07  1.087472D+07  5.766945D-04  9.109600D-01  2.165700D-02  2.142532D-02  1.069748D-02 
   9.359000D-01  8.977100D+06  8.975710D+06  1.547955D-04  9.362800D-01  1.215700D-02  1.201230D-02  1.190269D-02 
   9.566100D-01  7.138800D+06  7.159448D+06 -2.892397D-03  9.575400D-01  5.983500D-03  5.909383D-03  1.238683D-02
