 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.108964D+07  1.570467D-03  5.888400D-02  1.207800D+02  1.203027D+02  3.951501D-03 
   7.494800D-02  5.116900D+07  5.109449D+07  1.456177D-03  7.722500D-02  1.053200D+02  1.049970D+02  3.066527D-03 
   1.005200D-01  5.080300D+07  5.074683D+07  1.105644D-03  1.020800D-01  8.593700D+01  8.565216D+01  3.314508D-03 
   1.273300D-01  4.985800D+07  4.982981D+07  5.653519D-04  1.270600D-01  6.922600D+01  6.900865D+01  3.139688D-03 
   1.520800D-01  4.855900D+07  4.856103D+07 -4.190204D-05  1.516200D-01  5.551000D+01  5.538194D+01  2.307061D-03 
   1.763600D-01  4.703300D+07  4.706072D+07 -5.893635D-04  1.770900D-01  4.377200D+01  4.369181D+01  1.832098D-03 
   2.018400D-01  4.531600D+07  4.534836D+07 -7.140853D-04  2.023300D-01  3.422100D+01  3.420094D+01  5.861491D-04 
   2.274600D-01  4.356900D+07  4.356359D+07  1.242459D-04  2.273000D-01  2.651400D+01  2.657802D+01 -2.414529D-03 
   2.525300D-01  4.189700D+07  4.187182D+07  6.010901D-04  2.527700D-01  2.023400D+01  2.031861D+01 -4.181391D-03 
   2.777100D-01  4.030100D+07  4.025961D+07  1.027002D-03  2.780300D-01  1.535500D+01  1.542935D+01 -4.842159D-03 
   3.032000D-01  3.879800D+07  3.873723D+07  1.566191D-03  3.033300D-01  1.157000D+01  1.163540D+01 -5.652966D-03 
   3.284700D-01  3.739500D+07  3.733534D+07  1.595434D-03  3.287900D-01  8.683800D+00  8.729483D+00 -5.260763D-03 
   3.537000D-01  3.609000D+07  3.603214D+07  1.603097D-03  3.540300D-01  6.534600D+00  6.561718D+00 -4.149972D-03 
   3.791200D-01  3.486600D+07  3.480726D+07  1.684657D-03  3.794600D-01  4.912300D+00  4.929655D+00 -3.533002D-03 
   4.043900D-01  3.371000D+07  3.366764D+07  1.256504D-03  4.047400D-01  3.716000D+00  3.721544D+00 -1.492007D-03 
   4.297000D-01  3.262900D+07  3.259526D+07  1.034069D-03  4.300600D-01  2.820100D+00  2.820386D+00 -1.012853D-04 
   4.550400D-01  3.160400D+07  3.158313D+07  6.602519D-04  4.553500D-01  2.152100D+00  2.148742D+00  1.560560D-03 
   4.803100D-01  3.063400D+07  3.062782D+07  2.018250D-04  4.806300D-01  1.651700D+00  1.646146D+00  3.362649D-03 
   5.056600D-01  2.971200D+07  2.971553D+07 -1.188297D-04  5.059200D-01  1.273700D+00  1.268102D+00  4.395349D-03 
   5.309600D-01  2.882200D+07  2.884268D+07 -7.173493D-04  5.312100D-01  9.885000D-01  9.825118D-01  6.057834D-03 
   5.563000D-01  2.797200D+07  2.799698D+07 -8.932140D-04  5.565100D-01  7.705400D-01  7.656827D-01  6.303703D-03 
   5.816000D-01  2.713000D+07  2.717195D+07 -1.546275D-03  5.818100D-01  6.044500D-01  6.001319D-01  7.143906D-03 
   6.069300D-01  2.631100D+07  2.635338D+07 -1.610636D-03  6.071100D-01  4.763400D-01  4.730991D-01  6.803745D-03 
   6.322300D-01  2.548300D+07  2.552646D+07 -1.705576D-03  6.324300D-01  3.775600D-01  3.751207D-01  6.460771D-03 
   6.575400D-01  2.463700D+07  2.465979D+07 -9.251043D-04  6.577200D-01  3.009500D-01  2.995767D-01  4.563067D-03 
   6.828300D-01  2.370600D+07  2.369845D+07  3.184473D-04  6.830400D-01  2.419700D-01  2.414033D-01  2.341975D-03 
   7.081100D-01  2.261400D+07  2.260962D+07  1.938066D-04  7.083800D-01  1.968500D-01  1.962992D-01  2.798276D-03 
   7.333700D-01  2.125700D+07  2.125747D+07 -2.200678D-05  7.337100D-01  1.628100D-01  1.622147D-01  3.656264D-03 
   7.586900D-01  1.988100D+07  1.988086D+07  6.960591D-06  7.590300D-01  1.331100D-01  1.325799D-01  3.982381D-03 
   7.840400D-01  1.849500D+07  1.849276D+07  1.211048D-04  7.843500D-01  1.070300D-01  1.066311D-01  3.726578D-03 
   8.093400D-01  1.708900D+07  1.708668D+07  1.356864D-04  8.096700D-01  8.431500D-02  8.401529D-02  3.554643D-03 
   8.346400D-01  1.564900D+07  1.564602D+07  1.904154D-04  8.349900D-01  6.466700D-02  6.443043D-02  3.658227D-03 
   8.599500D-01  1.415600D+07  1.415117D+07  3.408795D-04  8.603100D-01  4.780000D-02  4.762628D-02  3.634234D-03 
   8.852700D-01  1.258200D+07  1.257525D+07  5.367278D-04  8.856400D-01  3.350700D-02  3.338921D-02  3.515450D-03 
   9.106000D-01  1.088100D+07  1.087533D+07  5.211807D-04  9.109600D-01  2.165700D-02  2.157690D-02  3.698630D-03 
   9.359000D-01  8.977100D+06  8.976576D+06  5.835116D-05  9.362800D-01  1.215700D-02  1.209820D-02  4.836959D-03 
   9.566100D-01  7.138800D+06  7.160651D+06 -3.060877D-03  9.575400D-01  5.983500D-03  5.952585D-03  5.166628D-03
