 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.112307D+07  9.171617D-04  5.888400D-02  1.207800D+02  1.198337D+02  7.834892D-03 
   7.494800D-02  5.116900D+07  5.112674D+07  8.259193D-04  7.722500D-02  1.053200D+02  1.046718D+02  6.154680D-03 
   1.005200D-01  5.080300D+07  5.077190D+07  6.121471D-04  1.020800D-01  8.593700D+01  8.549517D+01  5.141328D-03 
   1.273300D-01  4.985800D+07  4.985164D+07  1.274740D-04  1.270600D-01  6.922600D+01  6.895261D+01  3.949237D-03 
   1.520800D-01  4.855900D+07  4.858092D+07 -4.514921D-04  1.516200D-01  5.551000D+01  5.538370D+01  2.275330D-03 
   1.763600D-01  4.703300D+07  4.707293D+07 -8.489696D-04  1.770900D-01  4.377200D+01  4.373852D+01  7.648956D-04 
   2.018400D-01  4.531600D+07  4.534389D+07 -6.153577D-04  2.023300D-01  3.422100D+01  3.426247D+01 -1.211813D-03 
   2.274600D-01  4.356900D+07  4.357141D+07 -5.535747D-05  2.273000D-01  2.651400D+01  2.661355D+01 -3.754596D-03 
   2.525300D-01  4.189700D+07  4.187951D+07  4.174249D-04  2.527700D-01  2.023400D+01  2.034791D+01 -5.629703D-03 
   2.777100D-01  4.030100D+07  4.026223D+07  9.619903D-04  2.780300D-01  1.535500D+01  1.545556D+01 -6.549079D-03 
   3.032000D-01  3.879800D+07  3.873781D+07  1.551317D-03  3.033300D-01  1.157000D+01  1.165510D+01 -7.355206D-03 
   3.284700D-01  3.739500D+07  3.733335D+07  1.648605D-03  3.287900D-01  8.683800D+00  8.743779D+00 -6.907049D-03 
   3.537000D-01  3.609000D+07  3.602672D+07  1.753344D-03  3.540300D-01  6.534600D+00  6.571839D+00 -5.698801D-03 
   3.791200D-01  3.486600D+07  3.479841D+07  1.938568D-03  3.794600D-01  4.912300D+00  4.936479D+00 -4.922164D-03 
   4.043900D-01  3.371000D+07  3.365548D+07  1.617213D-03  4.047400D-01  3.716000D+00  3.725814D+00 -2.640898D-03 
   4.297000D-01  3.262900D+07  3.257973D+07  1.510073D-03  4.300600D-01  2.820100D+00  2.822786D+00 -9.522757D-04 
   4.550400D-01  3.160400D+07  3.156372D+07  1.274492D-03  4.553500D-01  2.152100D+00  2.149884D+00  1.029838D-03 
   4.803100D-01  3.063400D+07  3.060355D+07  9.939202D-04  4.806300D-01  1.651700D+00  1.646469D+00  3.167279D-03 
   5.056600D-01  2.971200D+07  2.968508D+07  9.061545D-04  5.059200D-01  1.273700D+00  1.267924D+00  4.534994D-03 
   5.309600D-01  2.882200D+07  2.880431D+07  6.138200D-04  5.312100D-01  9.885000D-01  9.820542D-01  6.520774D-03 
   5.563000D-01  2.797200D+07  2.794866D+07  8.343859D-04  5.565100D-01  7.705400D-01  7.650428D-01  7.134276D-03 
   5.816000D-01  2.713000D+07  2.711087D+07  7.049561D-04  5.818100D-01  6.044500D-01  5.994086D-01  8.340552D-03 
   6.069300D-01  2.631100D+07  2.627579D+07  1.338087D-03  6.071100D-01  4.763400D-01  4.723654D-01  8.344047D-03 
   6.322300D-01  2.548300D+07  2.542904D+07  2.117477D-03  6.324300D-01  3.775600D-01  3.743805D-01  8.421246D-03 
   6.575400D-01  2.463700D+07  2.455037D+07  3.516139D-03  6.577200D-01  3.009500D-01  2.985695D-01  7.910032D-03 
   6.828300D-01  2.370600D+07  2.361140D+07  3.990544D-03  6.830400D-01  2.419700D-01  2.395943D-01  9.818089D-03 
   7.081100D-01  2.261400D+07  2.256782D+07  2.042111D-03  7.083800D-01  1.968500D-01  1.937434D-01  1.578132D-02 
   7.333700D-01  2.125700D+07  2.125887D+07 -8.796206D-05  7.337100D-01  1.628100D-01  1.594481D-01  2.064909D-02 
   7.586900D-01  1.988100D+07  1.988187D+07 -4.397922D-05  7.590300D-01  1.331100D-01  1.303132D-01  2.101095D-02 
   7.840400D-01  1.849500D+07  1.849345D+07  8.366006D-05  7.843500D-01  1.070300D-01  1.048044D-01  2.079386D-02 
   8.093400D-01  1.708900D+07  1.708713D+07  1.095556D-04  8.096700D-01  8.431500D-02  8.257344D-02  2.065540D-02 
   8.346400D-01  1.564900D+07  1.564624D+07  1.763083D-04  8.349900D-01  6.466700D-02  6.332319D-02  2.078048D-02 
   8.599500D-01  1.415600D+07  1.415121D+07  3.385436D-04  8.603100D-01  4.780000D-02  4.680680D-02  2.077817D-02 
   8.852700D-01  1.258200D+07  1.257512D+07  5.471356D-04  8.856400D-01  3.350700D-02  3.281399D-02  2.068242D-02 
   9.106000D-01  1.088100D+07  1.087509D+07  5.430619D-04  9.109600D-01  2.165700D-02  2.120442D-02  2.089753D-02 
   9.359000D-01  8.977100D+06  8.976165D+06  1.041145D-04  9.362800D-01  1.215700D-02  1.188880D-02  2.206153D-02 
   9.566100D-01  7.138800D+06  7.160002D+06 -2.969992D-03  9.575400D-01  5.983500D-03  5.849027D-03  2.247405D-02
