 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.109169D+07  1.530343D-03  5.888400D-02  1.207800D+02  1.202063D+02  4.750216D-03 
   7.494800D-02  5.116900D+07  5.109801D+07  1.387275D-03  7.722500D-02  1.053200D+02  1.049156D+02  3.839439D-03 
   1.005200D-01  5.080300D+07  5.074837D+07  1.075386D-03  1.020800D-01  8.593700D+01  8.560708D+01  3.839059D-03 
   1.273300D-01  4.985800D+07  4.983242D+07  5.130110D-04  1.270600D-01  6.922600D+01  6.898176D+01  3.528223D-03 
   1.520800D-01  4.855900D+07  4.856469D+07 -1.171004D-04  1.516200D-01  5.551000D+01  5.536799D+01  2.558193D-03 
   1.763600D-01  4.703300D+07  4.705957D+07 -5.650280D-04  1.770900D-01  4.377200D+01  4.370013D+01  1.641974D-03 
   2.018400D-01  4.531600D+07  4.533415D+07 -4.005992D-04  2.023300D-01  3.422100D+01  3.421656D+01  1.297045D-04 
   2.274600D-01  4.356900D+07  4.356567D+07  7.641695D-05  2.273000D-01  2.651400D+01  2.656891D+01 -2.070892D-03 
   2.525300D-01  4.189700D+07  4.187786D+07  4.567415D-04  2.527700D-01  2.023400D+01  2.031001D+01 -3.756636D-03 
   2.777100D-01  4.030100D+07  4.026456D+07  9.042602D-04  2.780300D-01  1.535500D+01  1.542582D+01 -4.612138D-03 
   3.032000D-01  3.879800D+07  3.874381D+07  1.396836D-03  3.033300D-01  1.157000D+01  1.163345D+01 -5.484336D-03 
   3.284700D-01  3.739500D+07  3.734306D+07  1.389038D-03  3.287900D-01  8.683800D+00  8.729109D+00 -5.217639D-03 
   3.537000D-01  3.609000D+07  3.603987D+07  1.388981D-03  3.540300D-01  6.534600D+00  6.562649D+00 -4.292422D-03 
   3.791200D-01  3.486600D+07  3.481474D+07  1.470183D-03  3.794600D-01  4.912300D+00  4.931356D+00 -3.879289D-03 
   4.043900D-01  3.371000D+07  3.367471D+07  1.046876D-03  4.047400D-01  3.716000D+00  3.723565D+00 -2.035854D-03 
   4.297000D-01  3.262900D+07  3.260161D+07  8.395697D-04  4.300600D-01  2.820100D+00  2.822470D+00 -8.402571D-04 
   4.550400D-01  3.160400D+07  3.158803D+07  5.051811D-04  4.553500D-01  2.152100D+00  2.150777D+00  6.147430D-04 
   4.803100D-01  3.063400D+07  3.063004D+07  1.292265D-04  4.806300D-01  1.651700D+00  1.648127D+00  2.163406D-03 
   5.056600D-01  2.971200D+07  2.971357D+07 -5.297994D-05  5.059200D-01  1.273700D+00  1.269984D+00  2.917843D-03 
   5.309600D-01  2.882200D+07  2.883460D+07 -4.371378D-04  5.312100D-01  9.885000D-01  9.842938D-01  4.255139D-03 
   5.563000D-01  2.797200D+07  2.798034D+07 -2.982074D-04  5.565100D-01  7.705400D-01  7.673281D-01  4.168335D-03 
   5.816000D-01  2.713000D+07  2.714321D+07 -4.870445D-04  5.818100D-01  6.044500D-01  6.016682D-01  4.602248D-03 
   6.069300D-01  2.631100D+07  2.630761D+07  1.289324D-04  6.071100D-01  4.763400D-01  4.745464D-01  3.765317D-03 
   6.322300D-01  2.548300D+07  2.545937D+07  9.271670D-04  6.324300D-01  3.775600D-01  3.764394D-01  2.968061D-03 
   6.575400D-01  2.463700D+07  2.457815D+07  2.388702D-03  6.577200D-01  3.009500D-01  3.004878D-01  1.535650D-03 
   6.828300D-01  2.370600D+07  2.363451D+07  3.015496D-03  6.830400D-01  2.419700D-01  2.413795D-01  2.440182D-03 
   7.081100D-01  2.261400D+07  2.258219D+07  1.406865D-03  7.083800D-01  1.968500D-01  1.954459D-01  7.132810D-03 
   7.333700D-01  2.125700D+07  2.125920D+07 -1.035323D-04  7.337100D-01  1.628100D-01  1.610724D-01  1.067266D-02 
   7.586900D-01  1.988100D+07  1.988246D+07 -7.344103D-05  7.590300D-01  1.331100D-01  1.316478D-01  1.098460D-02 
   7.840400D-01  1.849500D+07  1.849426D+07  3.999282D-05  7.843500D-01  1.070300D-01  1.058841D-01  1.070625D-02 
   8.093400D-01  1.708900D+07  1.708814D+07  5.041511D-05  8.096700D-01  8.431500D-02  8.342858D-02  1.051317D-02 
   8.346400D-01  1.564900D+07  1.564743D+07  1.006002D-04  8.349900D-01  6.466700D-02  6.398301D-02  1.057704D-02 
   8.599500D-01  1.415600D+07  1.415256D+07  2.428468D-04  8.603100D-01  4.780000D-02  4.729831D-02  1.049551D-02 
   8.852700D-01  1.258200D+07  1.257667D+07  4.232745D-04  8.856400D-01  3.350700D-02  3.316205D-02  1.029499D-02 
   9.106000D-01  1.088100D+07  1.087691D+07  3.760690D-04  9.109600D-01  2.165700D-02  2.143228D-02  1.037617D-02 
   9.359000D-01  8.977100D+06  8.978358D+06 -1.401463D-04  9.362800D-01  1.215700D-02  1.201965D-02  1.129807D-02 
   9.566100D-01  7.138800D+06  7.162742D+06 -3.353763D-03  9.575400D-01  5.983500D-03  5.916195D-03  1.124848D-02
