 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.109180D+07  1.528171D-03  5.888400D-02  1.207800D+02  1.202817D+02  4.125433D-03 
   7.494800D-02  5.116900D+07  5.109815D+07  1.384717D-03  7.722500D-02  1.053200D+02  1.049745D+02  3.280212D-03 
   1.005200D-01  5.080300D+07  5.075267D+07  9.906648D-04  1.020800D-01  8.593700D+01  8.563414D+01  3.524210D-03 
   1.273300D-01  4.985800D+07  4.983698D+07  4.216357D-04  1.270600D-01  6.922600D+01  6.899871D+01  3.283330D-03 
   1.520800D-01  4.855900D+07  4.856754D+07 -1.758588D-04  1.516200D-01  5.551000D+01  5.538202D+01  2.305460D-03 
   1.763600D-01  4.703300D+07  4.707042D+07 -7.956703D-04  1.770900D-01  4.377200D+01  4.368775D+01  1.924710D-03 
   2.018400D-01  4.531600D+07  4.534918D+07 -7.321679D-04  2.023300D-01  3.422100D+01  3.421516D+01  1.706761D-04 
   2.274600D-01  4.356900D+07  4.356179D+07  1.655417D-04  2.273000D-01  2.651400D+01  2.659316D+01 -2.985488D-03 
   2.525300D-01  4.189700D+07  4.186839D+07  6.827921D-04  2.527700D-01  2.023400D+01  2.033016D+01 -4.752398D-03 
   2.777100D-01  4.030100D+07  4.025532D+07  1.133484D-03  2.780300D-01  1.535500D+01  1.543700D+01 -5.340236D-03 
   3.032000D-01  3.879800D+07  3.873219D+07  1.696104D-03  3.033300D-01  1.157000D+01  1.163989D+01 -6.040800D-03 
   3.284700D-01  3.739500D+07  3.732962D+07  1.748486D-03  3.287900D-01  8.683800D+00  8.731699D+00 -5.515861D-03 
   3.537000D-01  3.609000D+07  3.602601D+07  1.773199D-03  3.540300D-01  6.534600D+00  6.562329D+00 -4.243446D-03 
   3.791200D-01  3.486600D+07  3.480165D+07  1.845584D-03  3.794600D-01  4.912300D+00  4.929066D+00 -3.412973D-03 
   4.043900D-01  3.371000D+07  3.366343D+07  1.381554D-03  4.047400D-01  3.716000D+00  3.720202D+00 -1.130748D-03 
   4.297000D-01  3.262900D+07  3.259299D+07  1.103651D-03  4.300600D-01  2.820100D+00  2.818704D+00  4.950873D-04 
   4.550400D-01  3.160400D+07  3.158289D+07  6.678060D-04  4.553500D-01  2.152100D+00  2.147047D+00  2.348125D-03 
   4.803100D-01  3.063400D+07  3.062949D+07  1.473604D-04  4.806300D-01  1.651700D+00  1.644602D+00  4.297597D-03 
   5.056600D-01  2.971200D+07  2.971875D+07 -2.272887D-04  5.059200D-01  1.273700D+00  1.266806D+00  5.412825D-03 
   5.309600D-01  2.882200D+07  2.884693D+07 -8.650488D-04  5.312100D-01  9.885000D-01  9.814885D-01  7.093113D-03 
   5.563000D-01  2.797200D+07  2.800170D+07 -1.061952D-03  5.565100D-01  7.705400D-01  7.649161D-01  7.298703D-03 
   5.816000D-01  2.713000D+07  2.717645D+07 -1.712247D-03  5.818100D-01  6.044500D-01  5.995885D-01  8.042793D-03 
   6.069300D-01  2.631100D+07  2.635693D+07 -1.745727D-03  6.071100D-01  4.763400D-01  4.727390D-01  7.559820D-03 
   6.322300D-01  2.548300D+07  2.552844D+07 -1.783329D-03  6.324300D-01  3.775600D-01  3.749007D-01  7.043505D-03 
   6.575400D-01  2.463700D+07  2.465830D+07 -8.643772D-04  6.577200D-01  3.009500D-01  2.994874D-01  4.859914D-03 
   6.828300D-01  2.370600D+07  2.369238D+07  5.746389D-04  6.830400D-01  2.419700D-01  2.413969D-01  2.368596D-03 
   7.081100D-01  2.261400D+07  2.260821D+07  2.558788D-04  7.083800D-01  1.968500D-01  1.961885D-01  3.360255D-03 
   7.333700D-01  2.125700D+07  2.125701D+07 -6.925492D-07  7.337100D-01  1.628100D-01  1.621090D-01  4.305784D-03 
   7.586900D-01  1.988100D+07  1.988032D+07  3.434489D-05  7.590300D-01  1.331100D-01  1.324930D-01  4.635052D-03 
   7.840400D-01  1.849500D+07  1.849212D+07  1.557846D-04  7.843500D-01  1.070300D-01  1.065605D-01  4.386734D-03 
   8.093400D-01  1.708900D+07  1.708595D+07  1.786355D-04  8.096700D-01  8.431500D-02  8.395828D-02  4.230759D-03 
   8.346400D-01  1.564900D+07  1.564515D+07  2.461151D-04  8.349900D-01  6.466700D-02  6.438550D-02  4.353078D-03 
   8.599500D-01  1.415600D+07  1.415014D+07  4.136812D-04  8.603100D-01  4.780000D-02  4.759170D-02  4.357700D-03 
   8.852700D-01  1.258200D+07  1.257403D+07  6.336246D-04  8.856400D-01  3.350700D-02  3.336342D-02  4.285108D-03 
   9.106000D-01  1.088100D+07  1.087391D+07  6.519840D-04  9.109600D-01  2.165700D-02  2.155815D-02  4.564435D-03 
   9.359000D-01  8.977100D+06  8.974800D+06  2.562103D-04  9.362800D-01  1.215700D-02  1.208560D-02  5.873510D-03 
   9.566100D-01  7.138800D+06  7.158395D+06 -2.744911D-03  9.575400D-01  5.983500D-03  5.944352D-03  6.542703D-03
