 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.108727D+07  1.616842D-03  5.888400D-02  1.207800D+02  1.204366D+02  2.842840D-03 
   7.494800D-02  5.116900D+07  5.109353D+07  1.474971D-03  7.722500D-02  1.053200D+02  1.050867D+02  2.214717D-03 
   1.005200D-01  5.080300D+07  5.074520D+07  1.137717D-03  1.020800D-01  8.593700D+01  8.570811D+01  2.663468D-03 
   1.273300D-01  4.985800D+07  4.982699D+07  6.220078D-04  1.270600D-01  6.922600D+01  6.904038D+01  2.681327D-03 
   1.520800D-01  4.855900D+07  4.855817D+07  1.699698D-05  1.516200D-01  5.551000D+01  5.539519D+01  2.068232D-03 
   1.763600D-01  4.703300D+07  4.706082D+07 -5.913947D-04  1.770900D-01  4.377200D+01  4.368614D+01  1.961472D-03 
   2.018400D-01  4.531600D+07  4.534753D+07 -6.958308D-04  2.023300D-01  3.422100D+01  3.418504D+01  1.050683D-03 
   2.274600D-01  4.356900D+07  4.356189D+07  1.632167D-04  2.273000D-01  2.651400D+01  2.656888D+01 -2.070018D-03 
   2.525300D-01  4.189700D+07  4.187058D+07  6.306814D-04  2.527700D-01  2.023400D+01  2.030906D+01 -3.709699D-03 
   2.777100D-01  4.030100D+07  4.025913D+07  1.038878D-03  2.780300D-01  1.535500D+01  1.542072D+01 -4.279728D-03 
   3.032000D-01  3.879800D+07  3.873756D+07  1.557935D-03  3.033300D-01  1.157000D+01  1.162830D+01 -5.039118D-03 
   3.284700D-01  3.739500D+07  3.733636D+07  1.568224D-03  3.287900D-01  8.683800D+00  8.723967D+00 -4.625515D-03 
   3.537000D-01  3.609000D+07  3.603375D+07  1.558466D-03  3.540300D-01  6.534600D+00  6.557531D+00 -3.509154D-03 
   3.791200D-01  3.486600D+07  3.480974D+07  1.613646D-03  3.794600D-01  4.912300D+00  4.926679D+00 -2.927074D-03 
   4.043900D-01  3.371000D+07  3.367153D+07  1.141245D-03  4.047400D-01  3.716000D+00  3.719377D+00 -9.088022D-04 
   4.297000D-01  3.262900D+07  3.260109D+07  8.552238D-04  4.300600D-01  2.820100D+00  2.818776D+00  4.696113D-04 
   4.550400D-01  3.160400D+07  3.159135D+07  4.003393D-04  4.553500D-01  2.152100D+00  2.147566D+00  2.106760D-03 
   4.803100D-01  3.063400D+07  3.063835D+07 -1.421256D-04  4.806300D-01  1.651700D+00  1.645375D+00  3.829529D-03 
   5.056600D-01  2.971200D+07  2.972840D+07 -5.518084D-04  5.059200D-01  1.273700D+00  1.267661D+00  4.740979D-03 
   5.309600D-01  2.882200D+07  2.885749D+07 -1.231202D-03  5.312100D-01  9.885000D-01  9.824175D-01  6.153246D-03 
   5.563000D-01  2.797200D+07  2.801333D+07 -1.477524D-03  5.565100D-01  7.705400D-01  7.657574D-01  6.206824D-03 
   5.816000D-01  2.713000D+07  2.718931D+07 -2.186077D-03  5.818100D-01  6.044500D-01  6.003879D-01  6.720393D-03 
   6.069300D-01  2.631100D+07  2.637151D+07 -2.299727D-03  6.071100D-01  4.763400D-01  4.734633D-01  6.039190D-03 
   6.322300D-01  2.548300D+07  2.554479D+07 -2.424577D-03  6.324300D-01  3.775600D-01  3.755529D-01  5.315958D-03 
   6.575400D-01  2.463700D+07  2.467678D+07 -1.614707D-03  6.577200D-01  3.009500D-01  3.000869D-01  2.867894D-03 
   6.828300D-01  2.370600D+07  2.370829D+07 -9.662403D-05  6.830400D-01  2.419700D-01  2.420505D-01 -3.328196D-04 
   7.081100D-01  2.261400D+07  2.260254D+07  5.067121D-04  7.083800D-01  1.968500D-01  1.971248D-01 -1.395950D-03 
   7.333700D-01  2.125700D+07  2.125639D+07  2.847395D-05  7.337100D-01  1.628100D-01  1.628047D-01  3.271639D-05 
   7.586900D-01  1.988100D+07  1.987981D+07  5.995199D-05  7.590300D-01  1.331100D-01  1.330599D-01  3.761321D-04 
   7.840400D-01  1.849500D+07  1.849170D+07  1.785024D-04  7.843500D-01  1.070300D-01  1.070153D-01  1.369748D-04 
   8.093400D-01  1.708900D+07  1.708561D+07  1.985450D-04  8.096700D-01  8.431500D-02  8.431693D-02 -2.293109D-05 
   8.346400D-01  1.564900D+07  1.564489D+07  2.627374D-04  8.349900D-01  6.466700D-02  6.466030D-02  1.036275D-04 
   8.599500D-01  1.415600D+07  1.414996D+07  4.266854D-04  8.603100D-01  4.780000D-02  4.779412D-02  1.230386D-04 
   8.852700D-01  1.258200D+07  1.257389D+07  6.448471D-04  8.856400D-01  3.350700D-02  3.350458D-02  7.210719D-05 
   9.106000D-01  1.088100D+07  1.087379D+07  6.626978D-04  9.109600D-01  2.165700D-02  2.164948D-02  3.473434D-04 
   9.359000D-01  8.977100D+06  8.974708D+06  2.664988D-04  9.362800D-01  1.215700D-02  1.213648D-02  1.688141D-03 
   9.566100D-01  7.138800D+06  7.158371D+06 -2.741534D-03  9.575400D-01  5.983500D-03  5.969188D-03  2.391958D-03
