 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.111039D+07  1.165030D-03  5.888400D-02  1.207800D+02  1.218960D+02 -9.240217D-03 
   7.494800D-02  5.116900D+07  5.112523D+07  8.553263D-04  7.722500D-02  1.053200D+02  1.061365D+02 -7.752637D-03 
   1.005200D-01  5.080300D+07  5.078874D+07  2.807609D-04  1.020800D-01  8.593700D+01  8.634125D+01 -4.704084D-03 
   1.273300D-01  4.985800D+07  4.987445D+07 -3.298583D-04  1.270600D-01  6.922600D+01  6.940411D+01 -2.572924D-03 
   1.520800D-01  4.855900D+07  4.860236D+07 -8.930336D-04  1.516200D-01  5.551000D+01  5.559870D+01 -1.597952D-03 
   1.763600D-01  4.703300D+07  4.709483D+07 -1.314691D-03  1.770900D-01  4.377200D+01  4.379879D+01 -6.120008D-04 
   2.018400D-01  4.531600D+07  4.538144D+07 -1.444189D-03  2.023300D-01  3.422100D+01  3.422549D+01 -1.311470D-04 
   2.274600D-01  4.356900D+07  4.358609D+07 -3.922544D-04  2.273000D-01  2.651400D+01  2.657826D+01 -2.423625D-03 
   2.525300D-01  4.189700D+07  4.188982D+07  1.713074D-04  2.527700D-01  2.023400D+01  2.029856D+01 -3.190813D-03 
   2.777100D-01  4.030100D+07  4.027404D+07  6.688460D-04  2.780300D-01  1.535500D+01  1.539993D+01 -2.926058D-03 
   3.032000D-01  3.879800D+07  3.874897D+07  1.263741D-03  3.033300D-01  1.157000D+01  1.160554D+01 -3.071421D-03 
   3.284700D-01  3.739500D+07  3.734495D+07  1.338314D-03  3.287900D-01  8.683800D+00  8.701419D+00 -2.028964D-03 
   3.537000D-01  3.609000D+07  3.604010D+07  1.382716D-03  3.540300D-01  6.534600D+00  6.537280D+00 -4.101813D-04 
   3.791200D-01  3.486600D+07  3.481386D+07  1.495568D-03  3.794600D-01  4.912300D+00  4.909263D+00  6.182097D-04 
   4.043900D-01  3.371000D+07  3.367319D+07  1.091912D-03  4.047400D-01  3.716000D+00  3.704964D+00  2.969980D-03 
   4.297000D-01  3.262900D+07  3.259992D+07  8.913295D-04  4.300600D-01  2.820100D+00  2.807022D+00  4.637373D-03 
   4.550400D-01  3.160400D+07  3.158714D+07  5.334674D-04  4.553500D-01  2.152100D+00  2.138124D+00  6.494139D-03 
   4.803100D-01  3.063400D+07  3.063123D+07  9.031891D-05  4.806300D-01  1.651700D+00  1.637674D+00  8.491577D-03 
   5.056600D-01  2.971200D+07  2.971844D+07 -2.166267D-04  5.059200D-01  1.273700D+00  1.261400D+00  9.656739D-03 
   5.309600D-01  2.882200D+07  2.884508D+07 -8.009346D-04  5.312100D-01  9.885000D-01  9.772879D-01  1.134257D-02 
   5.563000D-01  2.797200D+07  2.799896D+07 -9.639781D-04  5.565100D-01  7.705400D-01  7.615032D-01  1.172786D-02 
   5.816000D-01  2.713000D+07  2.717353D+07 -1.604585D-03  5.818100D-01  6.044500D-01  5.968293D-01  1.260764D-02 
   6.069300D-01  2.631100D+07  2.635470D+07 -1.660801D-03  6.071100D-01  4.763400D-01  4.704683D-01  1.232662D-02 
   6.322300D-01  2.548300D+07  2.552769D+07 -1.753911D-03  6.324300D-01  3.775600D-01  3.730101D-01  1.205083D-02 
   6.575400D-01  2.463700D+07  2.466123D+07 -9.833762D-04  6.577200D-01  3.009500D-01  2.978737D-01  1.022184D-02 
   6.828300D-01  2.370600D+07  2.369930D+07  2.824252D-04  6.830400D-01  2.419700D-01  2.400441D-01  7.959348D-03 
   7.081100D-01  2.261400D+07  2.261409D+07 -4.114777D-06  7.083800D-01  1.968500D-01  1.951275D-01  8.750186D-03 
   7.333700D-01  2.125700D+07  2.125800D+07 -4.692954D-05  7.337100D-01  1.628100D-01  1.613023D-01  9.260371D-03 
   7.586900D-01  1.988100D+07  1.988129D+07 -1.452999D-05  7.590300D-01  1.331100D-01  1.318305D-01  9.611982D-03 
   7.840400D-01  1.849500D+07  1.849310D+07  1.026718D-04  7.843500D-01  1.070300D-01  1.060288D-01  9.354391D-03 
   8.093400D-01  1.708900D+07  1.708697D+07  1.185079D-04  8.096700D-01  8.431500D-02  8.353941D-02  9.198711D-03 
   8.346400D-01  1.564900D+07  1.564628D+07  1.735339D-04  8.349900D-01  6.466700D-02  6.406525D-02  9.305358D-03 
   8.599500D-01  1.415600D+07  1.415141D+07  3.240493D-04  8.603100D-01  4.780000D-02  4.735651D-02  9.278107D-03 
   8.852700D-01  1.258200D+07  1.257549D+07  5.173561D-04  8.856400D-01  3.350700D-02  3.320070D-02  9.141239D-03 
   9.106000D-01  1.088100D+07  1.087561D+07  4.955639D-04  9.109600D-01  2.165700D-02  2.145543D-02  9.307614D-03 
   9.359000D-01  8.977100D+06  8.976883D+06  2.420854D-05  9.362800D-01  1.215700D-02  1.203045D-02  1.040955D-02 
   9.566100D-01  7.138800D+06  7.161034D+06 -3.114505D-03  9.575400D-01  5.983500D-03  5.919739D-03  1.065612D-02
