 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.114326D+07  5.225519D-04  5.888400D-02  1.207800D+02  1.214348D+02 -5.421153D-03 
   7.494800D-02  5.116900D+07  5.115629D+07  2.483985D-04  7.722500D-02  1.053200D+02  1.058214D+02 -4.761010D-03 
   1.005200D-01  5.080300D+07  5.081282D+07 -1.933544D-04  1.020800D-01  8.593700D+01  8.619120D+01 -2.957934D-03 
   1.273300D-01  4.985800D+07  4.989547D+07 -7.515627D-04  1.270600D-01  6.922600D+01  6.935221D+01 -1.823148D-03 
   1.520800D-01  4.855900D+07  4.862130D+07 -1.282989D-03  1.516200D-01  5.551000D+01  5.560269D+01 -1.669866D-03 
   1.763600D-01  4.703300D+07  4.710738D+07 -1.581400D-03  1.770900D-01  4.377200D+01  4.384220D+01 -1.603672D-03 
   2.018400D-01  4.531600D+07  4.537194D+07 -1.234352D-03  2.023300D-01  3.422100D+01  3.429869D+01 -2.270275D-03 
   2.274600D-01  4.356900D+07  4.359372D+07 -5.672880D-04  2.273000D-01  2.651400D+01  2.661235D+01 -3.709372D-03 
   2.525300D-01  4.189700D+07  4.189727D+07 -6.397192D-06  2.527700D-01  2.023400D+01  2.032694D+01 -4.593266D-03 
   2.777100D-01  4.030100D+07  4.027652D+07  6.073924D-04  2.780300D-01  1.535500D+01  1.542532D+01 -4.579719D-03 
   3.032000D-01  3.879800D+07  3.874959D+07  1.247672D-03  3.033300D-01  1.157000D+01  1.162431D+01 -4.693909D-03 
   3.284700D-01  3.739500D+07  3.734316D+07  1.386210D-03  3.287900D-01  8.683800D+00  8.714966D+00 -3.588990D-03 
   3.537000D-01  3.609000D+07  3.603514D+07  1.520217D-03  3.540300D-01  6.534600D+00  6.546926D+00 -1.886281D-03 
   3.791200D-01  3.486600D+07  3.480560D+07  1.732445D-03  3.794600D-01  4.912300D+00  4.915710D+00 -6.941433D-04 
   4.043900D-01  3.371000D+07  3.366176D+07  1.431126D-03  4.047400D-01  3.716000D+00  3.708999D+00  1.884009D-03 
   4.297000D-01  3.262900D+07  3.258524D+07  1.341224D-03  4.300600D-01  2.820100D+00  2.809299D+00  3.830096D-03 
   4.550400D-01  3.160400D+07  3.156866D+07  1.118280D-03  4.553500D-01  2.152100D+00  2.139191D+00  5.998396D-03 
   4.803100D-01  3.063400D+07  3.060793D+07  8.511646D-04  4.806300D-01  1.651700D+00  1.638010D+00  8.288246D-03 
   5.056600D-01  2.971200D+07  2.968897D+07  7.749464D-04  5.059200D-01  1.273700D+00  1.261270D+00  9.759049D-03 
   5.309600D-01  2.882200D+07  2.880779D+07  4.931424D-04  5.312100D-01  9.885000D-01  9.768452D-01  1.179036D-02 
   5.563000D-01  2.797200D+07  2.795168D+07  7.265779D-04  5.565100D-01  7.705400D-01  7.609410D-01  1.245749D-02 
   5.816000D-01  2.713000D+07  2.711346D+07  6.094955D-04  5.818100D-01  6.044500D-01  5.961881D-01  1.366841D-02 
   6.069300D-01  2.631100D+07  2.627796D+07  1.255652D-03  6.071100D-01  4.763400D-01  4.698203D-01  1.368704D-02 
   6.322300D-01  2.548300D+07  2.543084D+07  2.046719D-03  6.324300D-01  3.775600D-01  3.723563D-01  1.378249D-02 
   6.575400D-01  2.463700D+07  2.455194D+07  3.452504D-03  6.577200D-01  3.009500D-01  2.969480D-01  1.329785D-02 
   6.828300D-01  2.370600D+07  2.361254D+07  3.942646D-03  6.830400D-01  2.419700D-01  2.382947D-01  1.518898D-02 
   7.081100D-01  2.261400D+07  2.256884D+07  1.996892D-03  7.083800D-01  1.968500D-01  1.926929D-01  2.111813D-02 
   7.333700D-01  2.125700D+07  2.126025D+07 -1.528439D-04  7.337100D-01  1.628100D-01  1.585747D-01  2.601353D-02 
   7.586900D-01  1.988100D+07  1.988322D+07 -1.118298D-04  7.590300D-01  1.331100D-01  1.295986D-01  2.637953D-02 
   7.840400D-01  1.849500D+07  1.849479D+07  1.113353D-05  7.843500D-01  1.070300D-01  1.042307D-01  2.615432D-02 
   8.093400D-01  1.708900D+07  1.708852D+07  2.791172D-05  8.096700D-01  8.431500D-02  8.212378D-02  2.598854D-02 
   8.346400D-01  1.564900D+07  1.564771D+07  8.245336D-05  8.349900D-01  6.466700D-02  6.298102D-02  2.607173D-02 
   8.599500D-01  1.415600D+07  1.415280D+07  2.263399D-04  8.603100D-01  4.780000D-02  4.655627D-02  2.601936D-02 
   8.852700D-01  1.258200D+07  1.257687D+07  4.078871D-04  8.856400D-01  3.350700D-02  3.264094D-02  2.584716D-02 
   9.106000D-01  1.088100D+07  1.087713D+07  3.555964D-04  9.109600D-01  2.165700D-02  2.109582D-02  2.591209D-02 
   9.359000D-01  8.977100D+06  8.978602D+06 -1.672613D-04  9.362800D-01  1.215700D-02  1.183102D-02  2.681442D-02 
   9.566100D-01  7.138800D+06  7.163044D+06 -3.396138D-03  9.575400D-01  5.983500D-03  5.823584D-03  2.672617D-02
