 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.109006D+07  1.562317D-03  5.888400D-02  1.207800D+02  1.203619D+02  3.461978D-03 
   7.494800D-02  5.116900D+07  5.109576D+07  1.431427D-03  7.722500D-02  1.053200D+02  1.050372D+02  2.685202D-03 
   1.005200D-01  5.080300D+07  5.074942D+07  1.054751D-03  1.020800D-01  8.593700D+01  8.567372D+01  3.063690D-03 
   1.273300D-01  4.985800D+07  4.983335D+07  4.943048D-04  1.270600D-01  6.922600D+01  6.901973D+01  2.979707D-03 
   1.520800D-01  4.855900D+07  4.856474D+07 -1.181645D-04  1.516200D-01  5.551000D+01  5.538729D+01  2.210518D-03 
   1.763600D-01  4.703300D+07  4.706114D+07 -5.983630D-04  1.770900D-01  4.377200D+01  4.370244D+01  1.589168D-03 
   2.018400D-01  4.531600D+07  4.535076D+07 -7.671501D-04  2.023300D-01  3.422100D+01  3.419633D+01  7.209847D-04 
   2.274600D-01  4.356900D+07  4.356493D+07  9.338457D-05  2.273000D-01  2.651400D+01  2.657800D+01 -2.413937D-03 
   2.525300D-01  4.189700D+07  4.187311D+07  5.700999D-04  2.527700D-01  2.023400D+01  2.031787D+01 -4.145073D-03 
   2.777100D-01  4.030100D+07  4.026067D+07  1.000677D-03  2.780300D-01  1.535500D+01  1.542775D+01 -4.738086D-03 
   3.032000D-01  3.879800D+07  3.873811D+07  1.543700D-03  3.033300D-01  1.157000D+01  1.163451D+01 -5.575737D-03 
   3.284700D-01  3.739500D+07  3.733603D+07  1.576884D-03  3.287900D-01  8.683800D+00  8.728161D+00 -5.108531D-03 
   3.537000D-01  3.609000D+07  3.603258D+07  1.591161D-03  3.540300D-01  6.534600D+00  6.560892D+00 -4.023532D-03 
   3.791200D-01  3.486600D+07  3.480748D+07  1.678394D-03  3.794600D-01  4.912300D+00  4.928698D+00 -3.338192D-03 
   4.043900D-01  3.371000D+07  3.366769D+07  1.254985D-03  4.047400D-01  3.716000D+00  3.720859D+00 -1.307576D-03 
   4.297000D-01  3.262900D+07  3.259517D+07  1.036926D-03  4.300600D-01  2.820100D+00  2.819776D+00  1.149488D-04 
   4.550400D-01  3.160400D+07  3.158295D+07  6.659690D-04  4.553500D-01  2.152100D+00  2.148389D+00  1.724279D-03 
   4.803100D-01  3.063400D+07  3.062755D+07  2.105806D-04  4.806300D-01  1.651700D+00  1.645794D+00  3.575454D-03 
   5.056600D-01  2.971200D+07  2.971523D+07 -1.087467D-04  5.059200D-01  1.273700D+00  1.267818D+00  4.617738D-03 
   5.309600D-01  2.882200D+07  2.884238D+07 -7.072614D-04  5.312100D-01  9.885000D-01  9.823183D-01  6.253652D-03 
   5.563000D-01  2.797200D+07  2.799689D+07 -8.898368D-04  5.565100D-01  7.705400D-01  7.654680D-01  6.582400D-03 
   5.816000D-01  2.713000D+07  2.717196D+07 -1.546596D-03  5.818100D-01  6.044500D-01  5.999384D-01  7.463894D-03 
   6.069300D-01  2.631100D+07  2.635362D+07 -1.619841D-03  6.071100D-01  4.763400D-01  4.729374D-01  7.143206D-03 
   6.322300D-01  2.548300D+07  2.552684D+07 -1.720354D-03  6.324300D-01  3.775600D-01  3.749968D-01  6.788860D-03 
   6.575400D-01  2.463700D+07  2.466009D+07 -9.373693D-04  6.577200D-01  3.009500D-01  2.994892D-01  4.854083D-03 
   6.828300D-01  2.370600D+07  2.369890D+07  2.992936D-04  6.830400D-01  2.419700D-01  2.413355D-01  2.622120D-03 
   7.081100D-01  2.261400D+07  2.261115D+07  1.259533D-04  7.083800D-01  1.968500D-01  1.962214D-01  3.193483D-03 
   7.333700D-01  2.125700D+07  2.125698D+07  7.952011D-07  7.337100D-01  1.628100D-01  1.621795D-01  3.872869D-03 
   7.586900D-01  1.988100D+07  1.988033D+07  3.374515D-05  7.590300D-01  1.331100D-01  1.325478D-01  4.223409D-03 
   7.840400D-01  1.849500D+07  1.849217D+07  1.531668D-04  7.843500D-01  1.070300D-01  1.066049D-01  3.971976D-03 
   8.093400D-01  1.708900D+07  1.708603D+07  1.737334D-04  8.096700D-01  8.431500D-02  8.399231D-02  3.827167D-03 
   8.346400D-01  1.564900D+07  1.564530D+07  2.362459D-04  8.349900D-01  6.466700D-02  6.441091D-02  3.960207D-03 
   8.599500D-01  1.415600D+07  1.415036D+07  3.983761D-04  8.603100D-01  4.780000D-02  4.761050D-02  3.964463D-03 
   8.852700D-01  1.258200D+07  1.257432D+07  6.100237D-04  8.856400D-01  3.350700D-02  3.337687D-02  3.883569D-03 
   9.106000D-01  1.088100D+07  1.087426D+07  6.197716D-04  9.109600D-01  2.165700D-02  2.156725D-02  4.144287D-03 
   9.359000D-01  8.977100D+06  8.975246D+06  2.064731D-04  9.362800D-01  1.215700D-02  1.209099D-02  5.429937D-03 
   9.566100D-01  7.138800D+06  7.159004D+06 -2.830231D-03  9.575400D-01  5.983500D-03  5.947487D-03  6.018741D-03
