 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.110022D+07  1.363719D-03  5.888400D-02  1.207800D+02  1.206725D+02  8.902441D-04 
   7.494800D-02  5.116900D+07  5.110885D+07  1.175434D-03  7.722500D-02  1.053200D+02  1.052570D+02  5.980736D-04 
   1.005200D-01  5.080300D+07  5.076640D+07  7.203837D-04  1.020800D-01  8.593700D+01  8.580737D+01  1.508389D-03 
   1.273300D-01  4.985800D+07  4.985080D+07  1.444526D-04  1.270600D-01  6.922600D+01  6.910251D+01  1.783830D-03 
   1.520800D-01  4.855900D+07  4.857984D+07 -4.291643D-04  1.516200D-01  5.551000D+01  5.544292D+01  1.208493D-03 
   1.763600D-01  4.703300D+07  4.708036D+07 -1.006850D-03  1.770900D-01  4.377200D+01  4.372104D+01  1.164162D-03 
   2.018400D-01  4.531600D+07  4.536963D+07 -1.183497D-03  2.023300D-01  3.422100D+01  3.421812D+01  8.401631D-05 
   2.274600D-01  4.356900D+07  4.356763D+07  3.133558D-05  2.273000D-01  2.651400D+01  2.659503D+01 -3.056017D-03 
   2.525300D-01  4.189700D+07  4.187282D+07  5.771892D-04  2.527700D-01  2.023400D+01  2.032660D+01 -4.576665D-03 
   2.777100D-01  4.030100D+07  4.025873D+07  1.048958D-03  2.780300D-01  1.535500D+01  1.543031D+01 -4.904350D-03 
   3.032000D-01  3.879800D+07  3.873488D+07  1.626965D-03  3.033300D-01  1.157000D+01  1.163255D+01 -5.406482D-03 
   3.284700D-01  3.739500D+07  3.733170D+07  1.692858D-03  3.287900D-01  8.683800D+00  8.724248D+00 -4.657883D-03 
   3.537000D-01  3.609000D+07  3.602773D+07  1.725406D-03  3.540300D-01  6.534600D+00  6.555887D+00 -3.257605D-03 
   3.791200D-01  3.486600D+07  3.480297D+07  1.807746D-03  3.794600D-01  4.912300D+00  4.923450D+00 -2.269768D-03 
   4.043900D-01  3.371000D+07  3.366444D+07  1.351530D-03  4.047400D-01  3.716000D+00  3.715531D+00  1.261278D-04 
   4.297000D-01  3.262900D+07  3.259373D+07  1.081071D-03  4.300600D-01  2.820100D+00  2.814943D+00  1.828550D-03 
   4.550400D-01  3.160400D+07  3.158345D+07  6.501645D-04  4.553500D-01  2.152100D+00  2.144090D+00  3.722143D-03 
   4.803100D-01  3.063400D+07  3.062988D+07  1.344339D-04  4.806300D-01  1.651700D+00  1.642204D+00  5.749410D-03 
   5.056600D-01  2.971200D+07  2.971900D+07 -2.356306D-04  5.059200D-01  1.273700D+00  1.264896D+00  6.911972D-03 
   5.309600D-01  2.882200D+07  2.884706D+07 -8.694099D-04  5.312100D-01  9.885000D-01  9.799899D-01  8.609134D-03 
   5.563000D-01  2.797200D+07  2.800171D+07 -1.062106D-03  5.565100D-01  7.705400D-01  7.636964D-01  8.881505D-03 
   5.816000D-01  2.713000D+07  2.717627D+07 -1.705427D-03  5.818100D-01  6.044500D-01  5.986082D-01  9.664660D-03 
   6.069300D-01  2.631100D+07  2.635649D+07 -1.728951D-03  6.071100D-01  4.763400D-01  4.719580D-01  9.199293D-03 
   6.322300D-01  2.548300D+07  2.552774D+07 -1.755819D-03  6.324300D-01  3.775600D-01  3.742788D-01  8.690609D-03 
   6.575400D-01  2.463700D+07  2.465748D+07 -8.311188D-04  6.577200D-01  3.009500D-01  2.989867D-01  6.523630D-03 
   6.828300D-01  2.370600D+07  2.369290D+07  5.525276D-04  6.830400D-01  2.419700D-01  2.409658D-01  4.150078D-03 
   7.081100D-01  2.261400D+07  2.261069D+07  1.464904D-04  7.083800D-01  1.968500D-01  1.958067D-01  5.299755D-03 
   7.333700D-01  2.125700D+07  2.125704D+07 -1.834949D-06  7.337100D-01  1.628100D-01  1.618270D-01  6.037945D-03 
   7.586900D-01  1.988100D+07  1.988030D+07  3.500723D-05  7.590300D-01  1.331100D-01  1.322613D-01  6.375559D-03 
   7.840400D-01  1.849500D+07  1.849207D+07  1.582921D-04  7.843500D-01  1.070300D-01  1.063739D-01  6.129961D-03 
   8.093400D-01  1.708900D+07  1.708588D+07  1.827336D-04  8.096700D-01  8.431500D-02  8.381058D-02  5.982575D-03 
   8.346400D-01  1.564900D+07  1.564506D+07  2.517976D-04  8.349900D-01  6.466700D-02  6.427174D-02  6.112251D-03 
   8.599500D-01  1.415600D+07  1.415003D+07  4.214209D-04  8.603100D-01  4.780000D-02  4.750741D-02  6.121094D-03 
   8.852700D-01  1.258200D+07  1.257391D+07  6.429949D-04  8.856400D-01  3.350700D-02  3.330419D-02  6.052742D-03 
   9.106000D-01  1.088100D+07  1.087376D+07  6.649418D-04  9.109600D-01  2.165700D-02  2.151961D-02  6.343877D-03 
   9.359000D-01  8.977100D+06  8.974626D+06  2.755425D-04  9.362800D-01  1.215700D-02  1.206376D-02  7.669987D-03 
   9.566100D-01  7.138800D+06  7.158187D+06 -2.715725D-03  9.575400D-01  5.983500D-03  5.933467D-03  8.361883D-03
