 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.109239D+07  1.516616D-03  5.888400D-02  1.207800D+02  1.208552D+02 -6.224527D-04 
   7.494800D-02  5.116900D+07  5.110136D+07  1.321919D-03  7.722500D-02  1.053200D+02  1.053853D+02 -6.198808D-04 
   1.005200D-01  5.080300D+07  5.075644D+07  9.164456D-04  1.020800D-01  8.593700D+01  8.588730D+01  5.783064D-04 
   1.273300D-01  4.985800D+07  4.983866D+07  3.878457D-04  1.270600D-01  6.922600D+01  6.914398D+01  1.184762D-03 
   1.520800D-01  4.855900D+07  4.856877D+07 -2.012672D-04  1.516200D-01  5.551000D+01  5.545244D+01  1.036978D-03 
   1.763600D-01  4.703300D+07  4.706596D+07 -7.007341D-04  1.770900D-01  4.377200D+01  4.372415D+01  1.093190D-03 
   2.018400D-01  4.531600D+07  4.535373D+07 -8.326329D-04  2.023300D-01  3.422100D+01  3.421026D+01  3.139371D-04 
   2.274600D-01  4.356900D+07  4.356737D+07  3.750346D-05  2.273000D-01  2.651400D+01  2.656996D+01 -2.110634D-03 
   2.525300D-01  4.189700D+07  4.187506D+07  5.237818D-04  2.527700D-01  2.023400D+01  2.030469D+01 -3.493664D-03 
   2.777100D-01  4.030100D+07  4.026274D+07  9.492444D-04  2.780300D-01  1.535500D+01  1.541372D+01 -3.823913D-03 
   3.032000D-01  3.879800D+07  3.874041D+07  1.484245D-03  3.033300D-01  1.157000D+01  1.162070D+01 -4.382265D-03 
   3.284700D-01  3.739500D+07  3.733870D+07  1.505655D-03  3.287900D-01  8.683800D+00  8.716755D+00 -3.794943D-03 
   3.537000D-01  3.609000D+07  3.603564D+07  1.506103D-03  3.540300D-01  6.534600D+00  6.551332D+00 -2.560548D-03 
   3.791200D-01  3.486600D+07  3.481126D+07  1.569966D-03  3.794600D-01  4.912300D+00  4.921388D+00 -1.850125D-03 
   4.043900D-01  3.371000D+07  3.367275D+07  1.104976D-03  4.047400D-01  3.716000D+00  3.715024D+00  2.625837D-04 
   4.297000D-01  3.262900D+07  3.260207D+07  8.254853D-04  4.300600D-01  2.820100D+00  2.815282D+00  1.708474D-03 
   4.550400D-01  3.160400D+07  3.159208D+07  3.772487D-04  4.553500D-01  2.152100D+00  2.144781D+00  3.400886D-03 
   4.803100D-01  3.063400D+07  3.063897D+07 -1.623600D-04  4.806300D-01  1.651700D+00  1.643162D+00  5.169011D-03 
   5.056600D-01  2.971200D+07  2.972886D+07 -5.673347D-04  5.059200D-01  1.273700D+00  1.265907D+00  6.118664D-03 
   5.309600D-01  2.882200D+07  2.885772D+07 -1.239335D-03  5.312100D-01  9.885000D-01  9.810001D-01  7.587172D-03 
   5.563000D-01  2.797200D+07  2.801347D+07 -1.482410D-03  5.565100D-01  7.705400D-01  7.646492D-01  7.645005D-03 
   5.816000D-01  2.713000D+07  2.718940D+07 -2.189354D-03  5.818100D-01  6.044500D-01  5.994975D-01  8.193347D-03 
   6.069300D-01  2.631100D+07  2.637145D+07 -2.297412D-03  6.071100D-01  4.763400D-01  4.727537D-01  7.528856D-03 
   6.322300D-01  2.548300D+07  2.554473D+07 -2.422368D-03  6.324300D-01  3.775600D-01  3.749833D-01  6.824687D-03 
   6.575400D-01  2.463700D+07  2.467673D+07 -1.612552D-03  6.577200D-01  3.009500D-01  2.996170D-01  4.429451D-03 
   6.828300D-01  2.370600D+07  2.370808D+07 -8.788809D-05  6.830400D-01  2.419700D-01  2.416721D-01  1.231087D-03 
   7.081100D-01  2.261400D+07  2.260292D+07  4.899096D-04  7.083800D-01  1.968500D-01  1.968039D-01  2.339858D-04 
   7.333700D-01  2.125700D+07  2.125596D+07  4.876640D-05  7.337100D-01  1.628100D-01  1.625482D-01  1.607806D-03 
   7.586900D-01  1.988100D+07  1.987931D+07  8.512195D-05  7.590300D-01  1.331100D-01  1.328490D-01  1.960723D-03 
   7.840400D-01  1.849500D+07  1.849113D+07  2.089928D-04  7.843500D-01  1.070300D-01  1.068442D-01  1.736064D-03 
   8.093400D-01  1.708900D+07  1.708497D+07  2.359040D-04  8.096700D-01  8.431500D-02  8.418019D-02  1.598931D-03 
   8.346400D-01  1.564900D+07  1.564418D+07  3.082274D-04  8.349900D-01  6.466700D-02  6.455371D-02  1.751877D-03 
   8.599500D-01  1.415600D+07  1.414916D+07  4.830422D-04  8.603100D-01  4.780000D-02  4.771384D-02  1.802467D-03 
   8.852700D-01  1.258200D+07  1.257299D+07  7.161085D-04  8.856400D-01  3.350700D-02  3.344685D-02  1.795245D-03 
   9.106000D-01  1.088100D+07  1.087275D+07  7.586304D-04  9.109600D-01  2.165700D-02  2.161047D-02  2.148694D-03 
   9.359000D-01  8.977100D+06  8.973458D+06  4.057453D-04  9.362800D-01  1.215700D-02  1.211299D-02  3.620439D-03 
   9.566100D-01  7.138800D+06  7.156802D+06 -2.521693D-03  9.575400D-01  5.983500D-03  5.956098D-03  4.579597D-03
