 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.109413D+07  1.482783D-03  5.888400D-02  1.207800D+02  1.207625D+02  1.452730D-04 
   7.494800D-02  5.116900D+07  5.109889D+07  1.370146D-03  7.722500D-02  1.053200D+02  1.053422D+02 -2.110641D-04 
   1.005200D-01  5.080300D+07  5.074775D+07  1.087589D-03  1.020800D-01  8.593700D+01  8.587958D+01  6.681730D-04 
   1.273300D-01  4.985800D+07  4.982711D+07  6.196132D-04  1.270600D-01  6.922600D+01  6.914520D+01  1.167138D-03 
   1.520800D-01  4.855900D+07  4.855741D+07  3.283657D-05  1.516200D-01  5.551000D+01  5.545054D+01  1.071097D-03 
   1.763600D-01  4.703300D+07  4.706073D+07 -5.896245D-04  1.770900D-01  4.377200D+01  4.370704D+01  1.484066D-03 
   2.018400D-01  4.531600D+07  4.535724D+07 -9.100356D-04  2.023300D-01  3.422100D+01  3.419077D+01  8.832761D-04 
   2.274600D-01  4.356900D+07  4.357447D+07 -1.254481D-04  2.273000D-01  2.651400D+01  2.655018D+01 -1.364744D-03 
   2.525300D-01  4.189700D+07  4.188959D+07  1.768376D-04  2.527700D-01  2.023400D+01  2.028832D+01 -2.684447D-03 
   2.777100D-01  4.030100D+07  4.028167D+07  4.796767D-04  2.780300D-01  1.535500D+01  1.540419D+01 -3.203672D-03 
   3.032000D-01  3.879800D+07  3.875959D+07  9.899821D-04  3.033300D-01  1.157000D+01  1.161893D+01 -4.228786D-03 
   3.284700D-01  3.739500D+07  3.735398D+07  1.096999D-03  3.287900D-01  8.683800D+00  8.721017D+00 -4.285835D-03 
   3.537000D-01  3.609000D+07  3.604422D+07  1.268420D-03  3.540300D-01  6.534600D+00  6.559175D+00 -3.760714D-03 
   3.791200D-01  3.486600D+07  3.481260D+07  1.531677D-03  3.794600D-01  4.912300D+00  4.930118D+00 -3.627289D-03 
   4.043900D-01  3.371000D+07  3.366852D+07  1.230634D-03  4.047400D-01  3.716000D+00  3.722884D+00 -1.852513D-03 
   4.297000D-01  3.262900D+07  3.258867D+07  1.235913D-03  4.300600D-01  2.820100D+00  2.822420D+00 -8.226763D-04 
   4.550400D-01  3.160400D+07  3.157046D+07  1.061139D-03  4.553500D-01  2.152100D+00  2.150611D+00  6.919259D-04 
   4.803100D-01  3.063400D+07  3.061254D+07  7.004657D-04  4.806300D-01  1.651700D+00  1.647296D+00  2.666298D-03 
   5.056600D-01  2.971200D+07  2.970014D+07  3.993279D-04  5.059200D-01  1.273700D+00  1.268560D+00  4.035748D-03 
   5.309600D-01  2.882200D+07  2.882592D+07 -1.359454D-04  5.312100D-01  9.885000D-01  9.826100D-01  5.958533D-03 
   5.563000D-01  2.797200D+07  2.797589D+07 -1.391862D-04  5.565100D-01  7.705400D-01  7.656489D-01  6.347666D-03 
   5.816000D-01  2.713000D+07  2.714923D+07 -7.087191D-04  5.818100D-01  6.044500D-01  5.998714D-01  7.574821D-03 
   6.069300D-01  2.631100D+07  2.633194D+07 -7.956854D-04  6.071100D-01  4.763400D-01  4.726109D-01  7.828658D-03 
   6.322300D-01  2.548300D+07  2.550889D+07 -1.016165D-03  6.324300D-01  3.775600D-01  3.744563D-01  8.220354D-03 
   6.575400D-01  2.463700D+07  2.464830D+07 -4.588521D-04  6.577200D-01  3.009500D-01  2.988027D-01  7.134976D-03 
   6.828300D-01  2.370600D+07  2.369386D+07  5.122678D-04  6.830400D-01  2.419700D-01  2.405945D-01  5.684530D-03 
   7.081100D-01  2.261400D+07  2.260966D+07  1.917912D-04  7.083800D-01  1.968500D-01  1.955448D-01  6.630299D-03 
   7.333700D-01  2.125700D+07  2.125629D+07  3.333737D-05  7.337100D-01  1.628100D-01  1.616025D-01  7.416675D-03 
   7.586900D-01  1.988100D+07  1.987953D+07  7.389071D-05  7.590300D-01  1.331100D-01  1.320737D-01  7.785481D-03 
   7.840400D-01  1.849500D+07  1.849128D+07  2.012814D-04  7.843500D-01  1.070300D-01  1.062201D-01  7.566908D-03 
   8.093400D-01  1.708900D+07  1.708505D+07  2.313562D-04  8.096700D-01  8.431500D-02  8.368665D-02  7.452411D-03 
   8.346400D-01  1.564900D+07  1.564423D+07  3.049256D-04  8.349900D-01  6.466700D-02  6.417403D-02  7.623138D-03 
   8.599500D-01  1.415600D+07  1.414919D+07  4.812102D-04  8.603100D-01  4.780000D-02  4.743305D-02  7.676772D-03 
   8.852700D-01  1.258200D+07  1.257304D+07  7.123173D-04  8.856400D-01  3.350700D-02  3.325014D-02  7.665888D-03 
   9.106000D-01  1.088100D+07  1.087279D+07  7.547063D-04  9.109600D-01  2.165700D-02  2.148313D-02  8.028528D-03 
   9.359000D-01  8.977100D+06  8.973513D+06  3.995607D-04  9.362800D-01  1.215700D-02  1.204161D-02  9.491486D-03 
   9.566100D-01  7.138800D+06  7.156883D+06 -2.533001D-03  9.575400D-01  5.983500D-03  5.921173D-03  1.041656D-02
