 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.109130D+07  1.538061D-03  5.888400D-02  1.207800D+02  1.206525D+02  1.055587D-03 
   7.494800D-02  5.116900D+07  5.109712D+07  1.404845D-03  7.722500D-02  1.053200D+02  1.052532D+02  6.343579D-04 
   1.005200D-01  5.080300D+07  5.074921D+07  1.058771D-03  1.020800D-01  8.593700D+01  8.581333D+01  1.439132D-03 
   1.273300D-01  4.985800D+07  4.983153D+07  5.309232D-04  1.270600D-01  6.922600D+01  6.910123D+01  1.802382D-03 
   1.520800D-01  4.855900D+07  4.856270D+07 -7.616118D-05  1.516200D-01  5.551000D+01  5.542774D+01  1.481864D-03 
   1.763600D-01  4.703300D+07  4.707287D+07 -8.476657D-04  1.770900D-01  4.377200D+01  4.368408D+01  2.008497D-03 
   2.018400D-01  4.531600D+07  4.535213D+07 -7.972401D-04  2.023300D-01  3.422100D+01  3.419595D+01  7.320217D-04 
   2.274600D-01  4.356900D+07  4.357599D+07 -1.604573D-04  2.273000D-01  2.651400D+01  2.656099D+01 -1.772303D-03 
   2.525300D-01  4.189700D+07  4.188853D+07  2.020815D-04  2.527700D-01  2.023400D+01  2.030085D+01 -3.303969D-03 
   2.777100D-01  4.030100D+07  4.027839D+07  5.610857D-04  2.780300D-01  1.535500D+01  1.541577D+01 -3.957664D-03 
   3.032000D-01  3.879800D+07  3.875470D+07  1.115913D-03  3.033300D-01  1.157000D+01  1.162799D+01 -5.012167D-03 
   3.284700D-01  3.739500D+07  3.734809D+07  1.254367D-03  3.287900D-01  8.683800D+00  8.727498D+00 -5.032080D-03 
   3.537000D-01  3.609000D+07  3.603767D+07  1.450055D-03  3.540300D-01  6.534600D+00  6.563369D+00 -4.402514D-03 
   3.791200D-01  3.486600D+07  3.480566D+07  1.730710D-03  3.794600D-01  4.912300D+00  4.932617D+00 -4.136013D-03 
   4.043900D-01  3.371000D+07  3.366144D+07  1.440607D-03  4.047400D-01  3.716000D+00  3.724165D+00 -2.197168D-03 
   4.297000D-01  3.262900D+07  3.258156D+07  1.453836D-03  4.300600D-01  2.820100D+00  2.822879D+00 -9.853547D-04 
   4.550400D-01  3.160400D+07  3.156433D+07  1.255270D-03  4.553500D-01  2.152100D+00  2.150462D+00  7.612874D-04 
   4.803100D-01  3.063400D+07  3.060793D+07  8.509005D-04  4.806300D-01  1.651700D+00  1.646782D+00  2.977580D-03 
   5.056600D-01  2.971200D+07  2.969659D+07  5.188096D-04  5.059200D-01  1.273700D+00  1.267931D+00  4.529432D-03 
   5.309600D-01  2.882200D+07  2.882280D+07 -2.763496D-05  5.312100D-01  9.885000D-01  9.820065D-01  6.569031D-03 
   5.563000D-01  2.797200D+07  2.797309D+07 -3.910148D-05  5.565100D-01  7.705400D-01  7.650939D-01  7.067958D-03 
   5.816000D-01  2.713000D+07  2.714628D+07 -6.000349D-04  5.818100D-01  6.044500D-01  5.993935D-01  8.365530D-03 
   6.069300D-01  2.631100D+07  2.632837D+07 -6.600858D-04  6.071100D-01  4.763400D-01  4.722159D-01  8.657804D-03 
   6.322300D-01  2.548300D+07  2.550437D+07 -8.387627D-04  6.324300D-01  3.775600D-01  3.741347D-01  9.072223D-03 
   6.575400D-01  2.463700D+07  2.464068D+07 -1.495162D-04  6.577200D-01  3.009500D-01  2.985817D-01  7.869362D-03 
   6.828300D-01  2.370600D+07  2.368181D+07  1.020607D-03  6.830400D-01  2.419700D-01  2.404486D-01  6.287609D-03 
   7.081100D-01  2.261400D+07  2.259803D+07  7.060838D-04  7.083800D-01  1.968500D-01  1.953624D-01  7.556814D-03 
   7.333700D-01  2.125700D+07  2.125703D+07 -1.275002D-06  7.337100D-01  1.628100D-01  1.612698D-01  9.460098D-03 
   7.586900D-01  1.988100D+07  1.988024D+07  3.817462D-05  7.590300D-01  1.331100D-01  1.318022D-01  9.824714D-03 
   7.840400D-01  1.849500D+07  1.849197D+07  1.635750D-04  7.843500D-01  1.070300D-01  1.060040D-01  9.585831D-03 
   8.093400D-01  1.708900D+07  1.708576D+07  1.896406D-04  8.096700D-01  8.431500D-02  8.351781D-02  9.454934D-03 
   8.346400D-01  1.564900D+07  1.564495D+07  2.591184D-04  8.349900D-01  6.466700D-02  6.404659D-02  9.593878D-03 
   8.599500D-01  1.415600D+07  1.414992D+07  4.293304D-04  8.603100D-01  4.780000D-02  4.734047D-02  9.613543D-03 
   8.852700D-01  1.258200D+07  1.257381D+07  6.508623D-04  8.856400D-01  3.350700D-02  3.318705D-02  9.548748D-03 
   9.106000D-01  1.088100D+07  1.087369D+07  6.716906D-04  9.109600D-01  2.165700D-02  2.144395D-02  9.837294D-03 
   9.359000D-01  8.977100D+06  8.974570D+06  2.818554D-04  9.362800D-01  1.215700D-02  1.202125D-02  1.116680D-02 
   9.566100D-01  7.138800D+06  7.158166D+06 -2.712851D-03  9.575400D-01  5.983500D-03  5.912548D-03  1.185792D-02
