   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.31  1472.74  1535.72  1591.55   0.0893   0.1532 
   10  1548.21  1612.33  1674.26  1729.09   0.0886   0.1516 
   11  1686.42  1749.09  1809.92  1865.29   0.0880   0.1478 
   12  1821.87  1884.87  1945.65  2001.26   0.0882   0.1469 
   13  1957.31  2020.50  2081.79  2137.77   0.0861   0.1445 
   14  2093.27  2156.65  2217.40  2273.52   0.0844   0.1402 
   15  2228.46  2291.78  2352.29  2407.65   0.0818   0.1378 
   16  2362.91  2425.73  2486.21  2541.71   0.0790   0.1343 
   17  2496.55  2559.91  2620.62  2676.23   0.0774   0.1314 
   18  2630.65  2694.58  2756.07  2811.46   0.0747   0.1287 
   19  2765.84  2830.12  2891.80  2947.07   0.0722   0.1244 
   20  2901.27  2966.05  3027.93  3082.43   0.0699   0.1213 
   21  3037.05  3101.85  3164.08  3217.90   0.0672   0.1179 
   22  3172.93  3238.04  3300.39  3353.68   0.0652   0.1143 
   23  3308.94  3374.47  3437.31  3489.70   0.0629   0.1116 
   24  3445.61  3511.29  3574.44  3626.28   0.0607   0.1080 
   25  3582.50  3648.59  3711.94  3762.99   0.0588   0.1048 
   26  3719.73  3785.94  3849.69  3900.63   0.0567   0.1019 
   27  3857.25  3923.63  3987.48  4058.16   0.0550   0.0986 
   28  3994.82  4061.45  4125.55  4216.58   0.0533   0.0960 
   29  4132.66  4199.29  4263.58  4323.96   0.0516   0.0931 
