   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.34  1472.70  1535.82  1591.55   0.0892   0.1530 
   10  1548.36  1612.56  1674.46  1729.09   0.0889   0.1513 
   11  1686.63  1749.36  1810.26  1865.29   0.0880   0.1480 
   12  1822.20  1885.14  1945.91  2001.26   0.0881   0.1466 
   13  1957.58  2020.86  2082.15  2137.77   0.0862   0.1445 
   14  2093.61  2157.07  2217.91  2273.52   0.0842   0.1403 
   15  2228.97  2292.39  2352.89  2407.65   0.0817   0.1377 
   16  2363.49  2426.42  2486.90  2541.71   0.0788   0.1344 
   17  2497.20  2560.56  2621.26  2676.23   0.0771   0.1314 
   18  2631.24  2695.24  2756.72  2811.46   0.0745   0.1288 
   19  2766.45  2830.77  2892.53  2947.07   0.0719   0.1245 
   20  2901.98  2966.80  3028.73  3082.43   0.0697   0.1211 
   21  3037.82  3102.68  3164.99  3217.90   0.0670   0.1178 
   22  3173.83  3238.89  3301.30  3353.68   0.0650   0.1140 
   23  3309.86  3375.38  3438.24  3489.70   0.0629   0.1112 
   24  3446.53  3512.19  3575.43  3626.28   0.0607   0.1077 
   25  3583.51  3649.55  3712.92  3762.99   0.0589   0.1044 
   26  3720.72  3786.98  3850.74  3900.63   0.0569   0.1017 
   27  3858.32  3924.69  3988.57  4058.16   0.0551   0.0985 
   28  3995.92  4062.61  4126.65  4216.58   0.0534   0.0958 
   29  4133.77  4200.49  4264.79  4323.96   0.0516   0.0932 
