   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1406.93  1472.39  1535.35  1591.55   0.0896   0.1537 
   10  1547.87  1611.96  1673.87  1729.09   0.0889   0.1520 
   11  1686.08  1748.75  1809.50  1865.29   0.0884   0.1482 
   12  1821.49  1884.46  1945.22  2001.26   0.0885   0.1474 
   13  1956.92  2020.07  2081.31  2137.77   0.0864   0.1450 
   14  2092.84  2156.24  2216.96  2273.52   0.0848   0.1407 
   15  2228.07  2291.36  2351.86  2407.65   0.0821   0.1383 
   16  2362.53  2425.34  2485.75  2541.71   0.0794   0.1347 
   17  2496.13  2559.48  2620.16  2676.23   0.0777   0.1320 
   18  2630.22  2694.11  2755.56  2811.46   0.0751   0.1292 
   19  2765.38  2829.66  2891.30  2947.07   0.0726   0.1249 
   20  2900.81  2965.58  3027.45  3082.43   0.0702   0.1218 
   21  3036.62  3101.39  3163.58  3217.90   0.0675   0.1183 
   22  3172.48  3237.59  3299.90  3353.68   0.0655   0.1148 
   23  3308.50  3373.98  3436.81  3489.70   0.0632   0.1120 
   24  3445.15  3510.82  3573.92  3626.28   0.0610   0.1084 
   25  3582.02  3648.10  3711.44  3762.99   0.0592   0.1053 
   26  3719.27  3785.44  3849.16  3900.63   0.0570   0.1023 
   27  3856.76  3923.15  3986.96  4058.16   0.0553   0.0991 
   28  3994.34  4060.93  4125.02  4216.58   0.0536   0.0964 
   29  4132.18  4198.79  4263.04  4323.96   0.0519   0.0934 
