   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.38  1472.73  1535.86  1591.55   0.0892   0.1530 
   10  1548.40  1612.60  1674.50  1729.09   0.0889   0.1512 
   11  1686.67  1749.39  1810.30  1865.29   0.0880   0.1479 
   12  1822.24  1885.18  1945.96  2001.26   0.0881   0.1466 
   13  1957.63  2020.90  2082.20  2137.77   0.0862   0.1445 
   14  2093.66  2157.11  2217.96  2273.52   0.0843   0.1403 
   15  2229.01  2292.43  2352.94  2407.65   0.0817   0.1377 
   16  2363.54  2426.46  2486.94  2541.71   0.0788   0.1344 
   17  2497.25  2560.61  2621.31  2676.23   0.0771   0.1314 
   18  2631.30  2695.30  2756.78  2811.46   0.0745   0.1288 
   19  2766.50  2830.83  2892.59  2947.07   0.0719   0.1245 
   20  2902.04  2966.86  3028.79  3082.43   0.0697   0.1211 
   21  3037.89  3102.74  3165.06  3217.90   0.0670   0.1178 
   22  3173.89  3238.95  3301.37  3353.68   0.0650   0.1140 
   23  3309.93  3375.44  3438.32  3489.70   0.0629   0.1112 
   24  3446.61  3512.26  3575.51  3626.28   0.0607   0.1077 
   25  3583.58  3649.63  3713.00  3762.99   0.0589   0.1044 
   26  3720.80  3787.06  3850.82  3900.63   0.0569   0.1017 
   27  3858.40  3924.77  3988.65  4058.16   0.0551   0.0984 
   28  3996.00  4062.70  4126.74  4216.58   0.0535   0.0958 
   29  4133.85  4200.58  4264.88  4323.96   0.0516   0.0932 
