   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.61  1472.94  1536.04  1591.55   0.0893   0.1531 
   10  1548.58  1612.72  1674.61  1729.09   0.0890   0.1513 
   11  1686.79  1749.50  1810.39  1865.29   0.0881   0.1480 
   12  1822.35  1885.30  1946.09  2001.26   0.0882   0.1467 
   13  1957.77  2021.02  2082.30  2137.77   0.0863   0.1446 
   14  2093.77  2157.20  2217.99  2273.52   0.0844   0.1403 
   15  2229.06  2292.44  2352.93  2407.65   0.0818   0.1378 
   16  2363.53  2426.43  2486.91  2541.71   0.0789   0.1345 
   17  2497.23  2560.62  2621.32  2676.23   0.0772   0.1315 
   18  2631.32  2695.33  2756.82  2811.46   0.0745   0.1289 
   19  2766.55  2830.86  2892.61  2947.07   0.0719   0.1245 
   20  2902.05  2966.88  3028.78  3082.43   0.0697   0.1212 
   21  3037.87  3102.71  3165.02  3217.90   0.0670   0.1179 
   22  3173.86  3238.92  3301.33  3353.68   0.0650   0.1140 
   23  3309.89  3375.42  3438.30  3489.70   0.0629   0.1112 
   24  3446.58  3512.23  3575.49  3626.28   0.0606   0.1077 
   25  3583.56  3649.60  3712.97  3762.99   0.0589   0.1044 
   26  3720.77  3787.03  3850.79  3900.63   0.0569   0.1017 
   27  3858.36  3924.73  3988.61  4058.16   0.0551   0.0984 
   28  3995.96  4062.64  4126.69  4216.58   0.0534   0.0958 
   29  4133.80  4200.51  4264.81  4323.96   0.0516   0.0932 
