   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.50  1472.86  1536.02  1591.55   0.0890   0.1529 
   10  1548.56  1612.77  1674.66  1729.09   0.0888   0.1510 
   11  1686.82  1749.58  1810.51  1865.29   0.0879   0.1479 
   12  1822.44  1885.37  1946.17  2001.26   0.0880   0.1464 
   13  1957.84  2021.13  2082.42  2137.77   0.0861   0.1444 
   14  2093.86  2157.34  2218.22  2273.52   0.0841   0.1402 
   15  2229.26  2292.67  2353.18  2407.65   0.0816   0.1375 
   16  2363.78  2426.71  2487.18  2541.71   0.0788   0.1343 
   17  2497.47  2560.82  2621.53  2676.23   0.0770   0.1313 
   18  2631.51  2695.48  2756.95  2811.46   0.0744   0.1286 
   19  2766.67  2830.99  2892.75  2947.07   0.0719   0.1244 
   20  2902.18  2966.97  3028.90  3082.43   0.0696   0.1210 
   21  3038.00  3102.83  3165.12  3217.90   0.0670   0.1177 
   22  3173.95  3239.01  3301.43  3353.68   0.0649   0.1139 
   23  3309.98  3375.47  3438.33  3489.70   0.0629   0.1111 
   24  3446.62  3512.28  3575.51  3626.28   0.0607   0.1077 
   25  3583.57  3649.61  3712.99  3762.99   0.0589   0.1044 
   26  3720.78  3787.04  3850.78  3900.63   0.0568   0.1016 
   27  3858.35  3924.73  3988.61  4058.16   0.0550   0.0984 
   28  3995.95  4062.63  4126.68  4216.58   0.0534   0.0958 
   29  4133.78  4200.51  4264.80  4323.96   0.0515   0.0931 
