   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.43  1472.82  1535.87  1591.55   0.0890   0.1526 
   10  1548.31  1612.39  1674.38  1729.09   0.0883   0.1510 
   11  1686.50  1749.15  1810.04  1865.29   0.0877   0.1472 
   12  1821.94  1884.92  1945.77  2001.26   0.0879   0.1462 
   13  1957.38  2020.56  2081.91  2137.77   0.0857   0.1439 
   14  2093.34  2156.71  2217.52  2273.52   0.0840   0.1396 
   15  2228.52  2291.83  2352.39  2407.65   0.0814   0.1372 
   16  2362.96  2425.78  2486.32  2541.71   0.0786   0.1337 
   17  2496.61  2559.98  2620.76  2676.23   0.0770   0.1308 
   18  2630.72  2694.67  2756.22  2811.46   0.0743   0.1281 
   19  2765.93  2830.22  2891.96  2947.07   0.0718   0.1239 
   20  2901.37  2966.16  3028.10  3082.43   0.0695   0.1207 
   21  3037.15  3101.97  3164.26  3217.90   0.0667   0.1173 
   22  3173.05  3238.18  3300.58  3353.68   0.0647   0.1137 
   23  3309.07  3374.62  3437.53  3489.70   0.0624   0.1110 
   24  3445.75  3511.46  3574.67  3626.28   0.0602   0.1074 
   25  3582.66  3648.78  3712.19  3762.99   0.0583   0.1042 
   26  3719.90  3786.15  3849.95  3900.63   0.0562   0.1013 
   27  3857.44  3923.85  3987.76  4058.16   0.0545   0.0980 
   28  3995.02  4061.68  4125.83  4216.58   0.0528   0.0953 
   29  4132.87  4199.53  4263.88  4323.96   0.0511   0.0924 
