   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.03  1472.45  1535.47  1591.55   0.0893   0.1531 
   10  1547.95  1612.00  1673.97  1729.09   0.0886   0.1514 
   11  1686.13  1748.77  1809.59  1865.29   0.0880   0.1476 
   12  1821.53  1884.48  1945.30  2001.26   0.0881   0.1468 
   13  1956.96  2020.10  2081.40  2137.77   0.0861   0.1443 
   14  2092.87  2156.26  2217.04  2273.52   0.0844   0.1401 
   15  2228.09  2291.37  2351.92  2407.65   0.0817   0.1377 
   16  2362.54  2425.34  2485.81  2541.71   0.0790   0.1341 
   17  2496.14  2559.50  2620.24  2676.23   0.0773   0.1314 
   18  2630.25  2694.15  2755.66  2811.46   0.0746   0.1286 
   19  2765.42  2829.72  2891.41  2947.07   0.0722   0.1243 
   20  2900.86  2965.64  3027.57  3082.43   0.0698   0.1212 
   21  3036.68  3101.47  3163.71  3217.90   0.0670   0.1177 
   22  3172.54  3237.68  3300.05  3353.68   0.0650   0.1142 
   23  3308.57  3374.08  3436.97  3489.70   0.0627   0.1114 
   24  3445.24  3510.93  3574.09  3626.28   0.0605   0.1078 
   25  3582.12  3648.23  3711.62  3762.99   0.0586   0.1047 
   26  3719.38  3785.59  3849.35  3900.63   0.0565   0.1017 
   27  3856.89  3923.30  3987.17  4058.16   0.0548   0.0984 
   28  3994.47  4061.10  4125.24  4216.58   0.0531   0.0958 
   29  4132.32  4198.97  4263.27  4323.96   0.0514   0.0928 
