   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.65  1472.98  1536.08  1591.55   0.0892   0.1529 
   10  1548.62  1612.76  1674.66  1729.09   0.0889   0.1512 
   11  1686.83  1749.53  1810.44  1865.29   0.0880   0.1479 
   12  1822.39  1885.33  1946.14  2001.26   0.0882   0.1466 
   13  1957.81  2021.06  2082.36  2137.77   0.0862   0.1445 
   14  2093.82  2157.24  2218.05  2273.52   0.0843   0.1402 
   15  2229.10  2292.48  2352.98  2407.65   0.0817   0.1377 
   16  2363.58  2426.47  2486.97  2541.71   0.0788   0.1344 
   17  2497.28  2560.67  2621.38  2676.23   0.0771   0.1313 
   18  2631.37  2695.39  2756.89  2811.46   0.0745   0.1287 
   19  2766.61  2830.92  2892.68  2947.07   0.0719   0.1244 
   20  2902.12  2966.94  3028.85  3082.43   0.0697   0.1211 
   21  3037.94  3102.78  3165.11  3217.90   0.0669   0.1178 
   22  3173.93  3239.00  3301.42  3353.68   0.0649   0.1139 
   23  3309.97  3375.51  3438.39  3489.70   0.0628   0.1111 
   24  3446.67  3512.33  3575.59  3626.28   0.0605   0.1077 
   25  3583.65  3649.71  3713.08  3762.99   0.0588   0.1043 
   26  3720.86  3787.14  3850.91  3900.63   0.0567   0.1016 
   27  3858.46  3924.84  3988.73  4058.16   0.0549   0.0983 
   28  3996.06  4062.76  4126.82  4216.58   0.0533   0.0957 
   29  4133.91  4200.63  4264.95  4323.96   0.0514   0.0931 
