   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.58  1472.92  1536.11  1591.55   0.0889   0.1527 
   10  1548.63  1612.84  1674.76  1729.09   0.0888   0.1509 
   11  1686.90  1749.66  1810.60  1865.29   0.0878   0.1477 
   12  1822.52  1885.45  1946.27  2001.26   0.0879   0.1463 
   13  1957.92  2021.22  2082.52  2137.77   0.0861   0.1442 
   14  2093.96  2157.43  2218.33  2273.52   0.0840   0.1401 
   15  2229.36  2292.76  2353.30  2407.65   0.0815   0.1373 
   16  2363.87  2426.81  2487.30  2541.71   0.0786   0.1341 
   17  2497.57  2560.93  2621.66  2676.23   0.0768   0.1311 
   18  2631.62  2695.60  2757.09  2811.46   0.0743   0.1284 
   19  2766.78  2831.11  2892.89  2947.07   0.0718   0.1242 
   20  2902.31  2967.11  3029.06  3082.43   0.0695   0.1208 
   21  3038.13  3102.97  3165.28  3217.90   0.0668   0.1175 
   22  3174.09  3239.15  3301.59  3353.68   0.0648   0.1138 
   23  3310.13  3375.62  3438.51  3489.70   0.0627   0.1109 
   24  3446.78  3512.44  3575.69  3626.28   0.0605   0.1075 
   25  3583.74  3649.78  3713.18  3762.99   0.0587   0.1042 
   26  3720.96  3787.22  3850.98  3900.63   0.0567   0.1014 
   27  3858.53  3924.92  3988.82  4058.16   0.0549   0.0982 
   28  3996.14  4062.83  4126.90  4216.58   0.0532   0.0956 
   29  4133.98  4200.71  4265.02  4323.96   0.0514   0.0929 
