   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.29  1472.67  1535.82  1591.55   0.0888   0.1528 
   10  1548.31  1612.55  1674.47  1729.09   0.0886   0.1510 
   11  1686.59  1749.34  1810.26  1865.29   0.0876   0.1477 
   12  1822.15  1885.12  1945.91  2001.26   0.0878   0.1463 
   13  1957.54  2020.82  2082.16  2137.77   0.0858   0.1442 
   14  2093.58  2157.03  2217.91  2273.52   0.0840   0.1399 
   15  2228.95  2292.38  2352.91  2407.65   0.0815   0.1373 
   16  2363.48  2426.41  2486.91  2541.71   0.0786   0.1341 
   17  2497.19  2560.56  2621.27  2676.23   0.0769   0.1311 
   18  2631.23  2695.23  2756.74  2811.46   0.0743   0.1285 
   19  2766.44  2830.76  2892.56  2947.07   0.0718   0.1242 
   20  2901.99  2966.82  3028.76  3082.43   0.0696   0.1208 
   21  3037.84  3102.70  3165.04  3217.90   0.0669   0.1176 
   22  3173.86  3238.92  3301.35  3353.68   0.0649   0.1138 
   23  3309.90  3375.42  3438.30  3489.70   0.0628   0.1110 
   24  3446.58  3512.23  3575.50  3626.28   0.0606   0.1076 
   25  3583.56  3649.60  3712.99  3762.99   0.0589   0.1042 
   26  3720.78  3787.05  3850.82  3900.63   0.0568   0.1015 
   27  3858.38  3924.76  3988.65  4058.16   0.0550   0.0983 
   28  3995.99  4062.69  4126.74  4216.58   0.0534   0.0957 
   29  4133.85  4200.58  4264.90  4323.96   0.0515   0.0931 
