   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.37  1472.73  1535.85  1591.55   0.0890   0.1530 
   10  1548.35  1612.51  1674.41  1729.09   0.0887   0.1511 
   11  1686.55  1749.30  1810.18  1865.29   0.0878   0.1478 
   12  1822.09  1885.05  1945.87  2001.26   0.0879   0.1465 
   13  1957.51  2020.75  2082.06  2137.77   0.0859   0.1442 
   14  2093.50  2156.94  2217.77  2273.52   0.0841   0.1400 
   15  2228.80  2292.18  2352.70  2407.65   0.0815   0.1374 
   16  2363.28  2426.19  2486.67  2541.71   0.0787   0.1341 
   17  2496.95  2560.35  2621.07  2676.23   0.0770   0.1312 
   18  2631.04  2695.03  2756.54  2811.46   0.0743   0.1286 
   19  2766.25  2830.57  2892.32  2947.07   0.0718   0.1242 
   20  2901.75  2966.57  3028.50  3082.43   0.0696   0.1209 
   21  3037.58  3102.42  3164.73  3217.90   0.0669   0.1176 
   22  3173.55  3238.63  3301.05  3353.68   0.0649   0.1139 
   23  3309.59  3375.11  3437.99  3489.70   0.0628   0.1111 
   24  3446.27  3511.93  3575.18  3626.28   0.0606   0.1076 
   25  3583.23  3649.28  3712.68  3762.99   0.0588   0.1043 
   26  3720.47  3786.70  3850.47  3900.63   0.0568   0.1015 
   27  3858.04  3924.42  3988.30  4058.16   0.0550   0.0983 
   28  3995.64  4062.31  4126.38  4216.58   0.0533   0.0957 
   29  4133.48  4200.19  4264.49  4323.96   0.0515   0.0930 
