   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.47  1472.81  1535.96  1591.55   0.0890   0.1527 
   10  1548.48  1612.67  1674.60  1729.09   0.0888   0.1510 
   11  1686.75  1749.47  1810.40  1865.29   0.0878   0.1477 
   12  1822.33  1885.26  1946.07  2001.26   0.0880   0.1463 
   13  1957.71  2020.99  2082.31  2137.77   0.0860   0.1443 
   14  2093.75  2157.20  2218.07  2273.52   0.0841   0.1400 
   15  2229.11  2292.52  2353.05  2407.65   0.0815   0.1374 
   16  2363.63  2426.55  2487.07  2541.71   0.0786   0.1341 
   17  2497.35  2560.71  2621.44  2676.23   0.0769   0.1311 
   18  2631.41  2695.41  2756.93  2811.46   0.0743   0.1285 
   19  2766.63  2830.95  2892.75  2947.07   0.0717   0.1242 
   20  2902.17  2967.00  3028.95  3082.43   0.0695   0.1208 
   21  3038.02  3102.88  3165.23  3217.90   0.0668   0.1176 
   22  3174.03  3239.11  3301.55  3353.68   0.0648   0.1137 
   23  3310.08  3375.61  3438.51  3489.70   0.0627   0.1109 
   24  3446.77  3512.44  3575.71  3626.28   0.0604   0.1075 
   25  3583.75  3649.82  3713.21  3762.99   0.0587   0.1042 
   26  3720.98  3787.26  3851.05  3900.63   0.0566   0.1015 
   27  3858.59  3924.98  3988.88  4058.16   0.0548   0.0982 
   28  3996.20  4062.91  4126.99  4216.58   0.0532   0.0956 
   29  4134.06  4200.80  4265.14  4323.96   0.0513   0.0929 
