   n    nu0      nu1      nu2      nu3       r02       err    r13    err
   10  1548.33  1612.71  1674.54     0.00   0.0081   0.0000  11.5287   0.0009
   11  1686.57  1749.30  1810.35  1865.29   0.0870   0.0002  12.8071   0.0020
   12  1822.23  1885.11  1945.74  2001.20   0.0876   0.0004   0.1460   0.0002
   13  1957.41  2020.79  2082.05  2137.80   0.0863   0.0003   0.1444   0.0004
   14  2093.49  2156.76  2217.74  2273.47   0.0841   0.0005   0.1394   0.0006
   15  2228.70  2291.95  2352.16  2407.72   0.0810   0.0005   0.1367   0.0006
   16  2362.82  2425.62  2485.87  2541.66   0.0795   0.0005   0.1339   0.0006
   17  2496.17  2559.14  2619.72  2676.24   0.0772   0.0005   0.1309   0.0006
   18  2629.68  2693.31  2754.37  2811.43   0.0746   0.0006   0.1272   0.0006
   19  2764.09  2828.06  2889.56  2946.98   0.0723   0.0005   0.1234   0.0005
   20  2898.95  2963.39  3024.66  3082.25   0.0697   0.0004   0.1213   0.0005
   21  3033.75  3098.11  3159.92  3217.81   0.0674   0.0004   0.1177   0.0006
   22  3168.53  3233.22  3295.09  3353.38   0.0639   0.0004   0.1140   0.0006
   23  3303.48  3368.59  3430.98  3489.53   0.0622   0.0006   0.1123   0.0009
   24  3438.97  3504.04  3567.07  3626.06   0.0590   0.0008   0.1071   0.0012
   25  3574.99  3640.31  3703.21  3762.64   0.0582   0.0013   0.1045   0.0016
   26  3710.66  3776.86  3840.10  3900.51   0.0550   0.0022   0.1041   0.0029
   27  3847.58  3913.39  3977.24     0.00   0.0546   0.0031   0.0944   0.0043
    0     0.00     0.00     0.00     0.00   0.0000   0.0000   0.0000   0.0000
