
     R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho  
   6.194900D-02  5.117000D+07  5.110786D+07  1.214450D-03  5.888400D-02  1.207800D+02  1.219255D+02 -9.483935D-03 
   7.494800D-02  5.116900D+07  5.112354D+07  8.884591D-04  7.722500D-02  1.053200D+02  1.061524D+02 -7.903931D-03 
   1.005200D-01  5.080300D+07  5.078814D+07  2.925171D-04  1.020800D-01  8.593700D+01  8.634614D+01 -4.760918D-03 
   1.273300D-01  4.985800D+07  4.987417D+07 -3.242949D-04  1.270600D-01  6.922600D+01  6.940436D+01 -2.576461D-03 
   1.520800D-01  4.855900D+07  4.861816D+07 -1.218306D-03  1.516200D-01  5.551000D+01  5.556555D+01 -1.000785D-03 
   1.763600D-01  4.703300D+07  4.711605D+07 -1.765846D-03  1.770900D-01  4.377200D+01  4.378185D+01 -2.249417D-04 
   2.018400D-01  4.531600D+07  4.537358D+07 -1.270678D-03  2.023300D-01  3.422100D+01  3.425293D+01 -9.331647D-04 
   2.274600D-01  4.356900D+07  4.359032D+07 -4.893726D-04  2.273000D-01  2.651400D+01  2.658011D+01 -2.493548D-03 
   2.525300D-01  4.189700D+07  4.189164D+07  1.278916D-04  2.527700D-01  2.023400D+01  2.030338D+01 -3.428965D-03 
   2.777100D-01  4.030100D+07  4.026997D+07  7.699441D-04  2.780300D-01  1.535500D+01  1.540851D+01 -3.484586D-03 
   3.032000D-01  3.879800D+07  3.874476D+07  1.372346D-03  3.033300D-01  1.157000D+01  1.161039D+01 -3.490811D-03 
   3.284700D-01  3.739500D+07  3.734152D+07  1.430021D-03  3.287900D-01  8.683800D+00  8.703539D+00 -2.273087D-03 
   3.537000D-01  3.609000D+07  3.603731D+07  1.460062D-03  3.540300D-01  6.534600D+00  6.538313D+00 -5.681657D-04 
   3.791200D-01  3.486600D+07  3.481138D+07  1.566517D-03  3.794600D-01  4.912300D+00  4.909219D+00  6.272451D-04 
   4.043900D-01  3.371000D+07  3.367081D+07  1.162428D-03  4.047400D-01  3.716000D+00  3.704617D+00  3.063288D-03 
   4.297000D-01  3.262900D+07  3.259760D+07  9.622957D-04  4.300600D-01  2.820100D+00  2.806479D+00  4.829850D-03 
   4.550400D-01  3.160400D+07  3.158482D+07  6.070197D-04  4.553500D-01  2.152100D+00  2.137658D+00  6.710787D-03 
   4.803100D-01  3.063400D+07  3.062893D+07  1.656247D-04  4.806300D-01  1.651700D+00  1.637176D+00  8.793251D-03 
   5.056600D-01  2.971200D+07  2.971622D+07 -1.420071D-04  5.059200D-01  1.273700D+00  1.260931D+00  1.002531D-02 
   5.309600D-01  2.882200D+07  2.884298D+07 -7.278486D-04  5.312100D-01  9.885000D-01  9.768345D-01  1.180126D-02 
   5.563000D-01  2.797200D+07  2.799702D+07 -8.944191D-04  5.565100D-01  7.705400D-01  7.610862D-01  1.226902D-02 
   5.816000D-01  2.713000D+07  2.717166D+07 -1.535643D-03  5.818100D-01  6.044500D-01  5.964488D-01  1.323720D-02 
   6.069300D-01  2.631100D+07  2.635278D+07 -1.587886D-03  6.071100D-01  4.763400D-01  4.701446D-01  1.300629D-02 
   6.322300D-01  2.548300D+07  2.552563D+07 -1.672993D-03  6.324300D-01  3.775600D-01  3.727442D-01  1.275497D-02 
   6.575400D-01  2.463700D+07  2.465890D+07 -8.890412D-04  6.577200D-01  3.009500D-01  2.976612D-01  1.092798D-02 
   6.828300D-01  2.370600D+07  2.369814D+07  3.314550D-04  6.830400D-01  2.419700D-01  2.398340D-01  8.827589D-03 
   7.081100D-01  2.261400D+07  2.261413D+07 -5.530615D-06  7.083800D-01  1.968500D-01  1.949344D-01  9.731236D-03 
   7.333700D-01  2.125700D+07  2.125804D+07 -4.900547D-05  7.337100D-01  1.628100D-01  1.611411D-01  1.025050D-02 
   7.586900D-01  1.988100D+07  1.988131D+07 -1.581629D-05  7.590300D-01  1.331100D-01  1.316978D-01  1.060911D-02 
   7.840400D-01  1.849500D+07  1.849311D+07  1.021236D-04  7.843500D-01  1.070300D-01  1.059219D-01  1.035305D-02 
   8.093400D-01  1.708900D+07  1.708697D+07  1.185023D-04  8.096700D-01  8.431500D-02  8.345485D-02  1.020159D-02 
   8.346400D-01  1.564900D+07  1.564628D+07  1.738758D-04  8.349900D-01  6.466700D-02  6.400055D-02  1.030588D-02 
   8.599500D-01  1.415600D+07  1.415140D+07  3.247966D-04  8.603100D-01  4.780000D-02  4.730834D-02  1.028575D-02 
   8.852700D-01  1.258200D+07  1.257547D+07  5.186151D-04  8.856400D-01  3.350700D-02  3.316692D-02  1.014949D-02 
   9.106000D-01  1.088100D+07  1.087560D+07  4.967309D-04  9.109600D-01  2.165700D-02  2.143359D-02  1.031576D-02 
   9.359000D-01  8.977100D+06  8.976867D+06  2.600277D-05  9.362800D-01  1.215700D-02  1.201819D-02  1.141833D-02 
   9.566100D-01  7.138800D+06  7.161018D+06 -3.112236D-03  9.575400D-01  5.983500D-03  5.913683D-03  1.166829D-02
