 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.108149D+07  1.729643D-03  5.888400D-02  1.207800D+02  1.196639D+02  9.240363D-03 
   7.494800D-02  5.116900D+07  5.108252D+07  1.690142D-03  7.722500D-02  1.053200D+02  1.045376D+02  7.428748D-03 
   1.005200D-01  5.080300D+07  5.073030D+07  1.431038D-03  1.020800D-01  8.593700D+01  8.537306D+01  6.562199D-03 
   1.273300D-01  4.985800D+07  4.981259D+07  9.106959D-04  1.270600D-01  6.922600D+01  6.884656D+01  5.481166D-03 
   1.520800D-01  4.855900D+07  4.854529D+07  2.822526D-04  1.516200D-01  5.551000D+01  5.529189D+01  3.929154D-03 
   1.763600D-01  4.703300D+07  4.704815D+07 -3.220999D-04  1.770900D-01  4.377200D+01  4.364684D+01  2.859324D-03 
   2.018400D-01  4.531600D+07  4.534723D+07 -6.891364D-04  2.023300D-01  3.422100D+01  3.416904D+01  1.518383D-03 
   2.274600D-01  4.356900D+07  4.355414D+07  3.410026D-04  2.273000D-01  2.651400D+01  2.658025D+01 -2.498788D-03 
   2.525300D-01  4.189700D+07  4.186476D+07  7.693987D-04  2.527700D-01  2.023400D+01  2.032814D+01 -4.652782D-03 
   2.777100D-01  4.030100D+07  4.025395D+07  1.167411D-03  2.780300D-01  1.535500D+01  1.544119D+01 -5.613323D-03 
   3.032000D-01  3.879800D+07  3.873261D+07  1.685419D-03  3.033300D-01  1.157000D+01  1.164853D+01 -6.786960D-03 
   3.284700D-01  3.739500D+07  3.733135D+07  1.702162D-03  3.287900D-01  8.683800D+00  8.741111D+00 -6.599774D-03 
   3.537000D-01  3.609000D+07  3.602870D+07  1.698411D-03  3.540300D-01  6.534600D+00  6.571959D+00 -5.717150D-03 
   3.791200D-01  3.486600D+07  3.480415D+07  1.773970D-03  3.794600D-01  4.912300D+00  4.937931D+00 -5.217750D-03 
   4.043900D-01  3.371000D+07  3.366483D+07  1.339929D-03  4.047400D-01  3.716000D+00  3.728337D+00 -3.319858D-03 
   4.297000D-01  3.262900D+07  3.259267D+07  1.113404D-03  4.300600D-01  2.820100D+00  2.825729D+00 -1.996132D-03 
   4.550400D-01  3.160400D+07  3.158073D+07  7.363328D-04  4.553500D-01  2.152100D+00  2.153123D+00 -4.755717D-04 
   4.803100D-01  3.063400D+07  3.062557D+07  2.750621D-04  4.806300D-01  1.651700D+00  1.649527D+00  1.315877D-03 
   5.056600D-01  2.971200D+07  2.971335D+07 -4.547269D-05  5.059200D-01  1.273700D+00  1.270765D+00  2.304405D-03 
   5.309600D-01  2.882200D+07  2.884057D+07 -6.441550D-04  5.312100D-01  9.885000D-01  9.846432D-01  3.901637D-03 
   5.563000D-01  2.797200D+07  2.799500D+07 -8.222171D-04  5.565100D-01  7.705400D-01  7.673059D-01  4.197176D-03 
   5.816000D-01  2.713000D+07  2.717010D+07 -1.478153D-03  5.818100D-01  6.044500D-01  6.013866D-01  5.068027D-03 
   6.069300D-01  2.631100D+07  2.635168D+07 -1.546216D-03  6.071100D-01  4.763400D-01  4.740850D-01  4.734102D-03 
   6.322300D-01  2.548300D+07  2.552501D+07 -1.648591D-03  6.324300D-01  3.775600D-01  3.759034D-01  4.387548D-03 
   6.575400D-01  2.463700D+07  2.465835D+07 -8.664100D-04  6.577200D-01  3.009500D-01  3.002093D-01  2.461288D-03 
   6.828300D-01  2.370600D+07  2.369649D+07  4.012946D-04  6.830400D-01  2.419700D-01  2.419256D-01  1.836360D-04 
   7.081100D-01  2.261400D+07  2.260729D+07  2.967002D-04  7.083800D-01  1.968500D-01  1.967140D-01  6.907371D-04 
   7.333700D-01  2.125700D+07  2.125659D+07  1.912751D-05  7.337100D-01  1.628100D-01  1.625372D-01  1.675596D-03 
   7.586900D-01  1.988100D+07  1.987997D+07  5.167326D-05  7.590300D-01  1.331100D-01  1.328417D-01  2.015927D-03 
   7.840400D-01  1.849500D+07  1.849184D+07  1.709192D-04  7.843500D-01  1.070300D-01  1.068399D-01  1.776219D-03 
   8.093400D-01  1.708900D+07  1.708571D+07  1.925046D-04  8.096700D-01  8.431500D-02  8.417817D-02  1.622880D-03 
   8.346400D-01  1.564900D+07  1.564498D+07  2.571683D-04  8.349900D-01  6.466700D-02  6.455354D-02  1.754564D-03 
   8.599500D-01  1.415600D+07  1.415003D+07  4.216442D-04  8.603100D-01  4.780000D-02  4.771524D-02  1.773214D-03 
   8.852700D-01  1.258200D+07  1.257396D+07  6.390440D-04  8.856400D-01  3.350700D-02  3.344942D-02  1.718531D-03 
   9.106000D-01  1.088100D+07  1.087385D+07  6.574835D-04  9.109600D-01  2.165700D-02  2.161364D-02  2.002026D-03 
   9.359000D-01  8.977100D+06  8.974777D+06  2.587206D-04  9.362800D-01  1.215700D-02  1.211644D-02  3.336228D-03 
   9.566100D-01  7.138800D+06  7.158419D+06 -2.748250D-03  9.575400D-01  5.983500D-03  5.959353D-03  4.035631D-03
