 
     R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho  
   6.194900D-02  5.117000D+07  5.109298D+07  1.505250D-03  5.888400D-02  1.207800D+02  1.207550D+02  2.072780D-04 
   7.494800D-02  5.116900D+07  5.110146D+07  1.319861D-03  7.722500D-02  1.053200D+02  1.053148D+02  4.960093D-05 
   1.005200D-01  5.080300D+07  5.075747D+07  8.962236D-04  1.020800D-01  8.593700D+01  8.584181D+01  1.107638D-03 
   1.273300D-01  4.985800D+07  4.984224D+07  3.160212D-04  1.270600D-01  6.922600D+01  6.911353D+01  1.624689D-03 
   1.520800D-01  4.855900D+07  4.858237D+07 -4.813239D-04  1.516200D-01  5.551000D+01  5.541887D+01  1.641618D-03 
   1.763600D-01  4.703300D+07  4.708563D+07 -1.119080D-03  1.770900D-01  4.377200D+01  4.370433D+01  1.545979D-03 
   2.018400D-01  4.531600D+07  4.535926D+07 -9.546813D-04  2.023300D-01  3.422100D+01  3.421411D+01  2.014207D-04 
   2.274600D-01  4.356900D+07  4.357349D+07 -1.030070D-04  2.273000D-01  2.651400D+01  2.658082D+01 -2.520129D-03 
   2.525300D-01  4.189700D+07  4.187532D+07  5.174118D-04  2.527700D-01  2.023400D+01  2.032112D+01 -4.305682D-03 
   2.777100D-01  4.030100D+07  4.025981D+07  1.022161D-03  2.780300D-01  1.535500D+01  1.542860D+01 -4.793231D-03 
   3.032000D-01  3.879800D+07  3.873664D+07  1.581568D-03  3.033300D-01  1.157000D+01  1.163181D+01 -5.341902D-03 
   3.284700D-01  3.739500D+07  3.733495D+07  1.605897D-03  3.287900D-01  8.683800D+00  8.724052D+00 -4.635258D-03 
   3.537000D-01  3.609000D+07  3.603187D+07  1.610595D-03  3.540300D-01  6.534600D+00  6.555800D+00 -3.244292D-03 
   3.791200D-01  3.486600D+07  3.480693D+07  1.694255D-03  3.794600D-01  4.912300D+00  4.924287D+00 -2.440159D-03 
   4.043900D-01  3.371000D+07  3.366715D+07  1.271200D-03  4.047400D-01  3.716000D+00  3.716873D+00 -2.348760D-04 
   4.297000D-01  3.262900D+07  3.259454D+07  1.056104D-03  4.300600D-01  2.820100D+00  2.816416D+00  1.306205D-03 
   4.550400D-01  3.160400D+07  3.158225D+07  6.881811D-04  4.553500D-01  2.152100D+00  2.145400D+00  3.113049D-03 
   4.803100D-01  3.063400D+07  3.062678D+07  2.355945D-04  4.806300D-01  1.651700D+00  1.643419D+00  5.013898D-03 
   5.056600D-01  2.971200D+07  2.971445D+07 -8.236881D-05  5.059200D-01  1.273700D+00  1.265867D+00  6.149812D-03 
   5.309600D-01  2.882200D+07  2.884155D+07 -6.781569D-04  5.312100D-01  9.885000D-01  9.807196D-01  7.870885D-03 
   5.563000D-01  2.797200D+07  2.799588D+07 -8.538862D-04  5.565100D-01  7.705400D-01  7.642028D-01  8.224384D-03 
   5.816000D-01  2.713000D+07  2.717079D+07 -1.503615D-03  5.818100D-01  6.044500D-01  5.989351D-01  9.123894D-03 
   6.069300D-01  2.631100D+07  2.635208D+07 -1.561510D-03  6.071100D-01  4.763400D-01  4.721285D-01  8.841410D-03 
   6.322300D-01  2.548300D+07  2.552493D+07 -1.645375D-03  6.324300D-01  3.775600D-01  3.743326D-01  8.548163D-03 
   6.575400D-01  2.463700D+07  2.465781D+07 -8.444645D-04  6.577200D-01  3.009500D-01  2.989373D-01  6.687768D-03 
   6.828300D-01  2.370600D+07  2.369692D+07  3.830222D-04  6.830400D-01  2.419700D-01  2.408666D-01  4.560126D-03 
   7.081100D-01  2.261400D+07  2.260890D+07  2.254156D-04  7.083800D-01  1.968500D-01  1.958390D-01  5.136031D-03 
   7.333700D-01  2.125700D+07  2.125802D+07 -4.808278D-05  7.337100D-01  1.628100D-01  1.618141D-01  6.116716D-03 
   7.586900D-01  1.988100D+07  1.988140D+07 -2.003491D-05  7.590300D-01  1.331100D-01  1.322531D-01  6.437409D-03 
   7.840400D-01  1.849500D+07  1.849329D+07  9.241085D-05  7.843500D-01  1.070300D-01  1.063692D-01  6.173753D-03 
   8.093400D-01  1.708900D+07  1.708723D+07  1.037663D-04  8.096700D-01  8.431500D-02  8.380939D-02  5.996715D-03 
   8.346400D-01  1.564900D+07  1.564660D+07  1.535624D-04  8.349900D-01  6.466700D-02  6.427328D-02  6.088454D-03 
   8.599500D-01  1.415600D+07  1.415180D+07  2.969307D-04  8.603100D-01  4.780000D-02  4.751122D-02  6.041463D-03 
   8.852700D-01  1.258200D+07  1.257595D+07  4.805992D-04  8.856400D-01  3.350700D-02  3.330976D-02  5.886490D-03 
   9.106000D-01  1.088100D+07  1.087614D+07  4.469381D-04  9.109600D-01  2.165700D-02  2.152663D-02  6.019693D-03 
   9.359000D-01  8.977100D+06  8.977552D+06 -5.032148D-05  9.362800D-01  1.215700D-02  1.207132D-02  7.047831D-03 
   9.566100D-01  7.138800D+06  7.161870D+06 -3.231702D-03  9.575400D-01  5.983500D-03  5.940604D-03  7.169062D-03
