 
     R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho  
   6.194900D-02  5.117000D+07  5.109085D+07  1.546760D-03  5.888400D-02  1.207800D+02  1.208571D+02 -6.380102D-04 
   7.494800D-02  5.116900D+07  5.109972D+07  1.354007D-03  7.722500D-02  1.053200D+02  1.053873D+02 -6.389083D-04 
   1.005200D-01  5.080300D+07  5.075614D+07  9.224210D-04  1.020800D-01  8.593700D+01  8.588355D+01  6.219457D-04 
   1.273300D-01  4.985800D+07  4.984128D+07  3.352806D-04  1.270600D-01  6.922600D+01  6.913408D+01  1.327780D-03 
   1.520800D-01  4.855900D+07  4.858557D+07 -5.472348D-04  1.516200D-01  5.551000D+01  5.541856D+01  1.647292D-03 
   1.763600D-01  4.703300D+07  4.707896D+07 -9.771422D-04  1.770900D-01  4.377200D+01  4.371580D+01  1.284034D-03 
   2.018400D-01  4.531600D+07  4.535395D+07 -8.373840D-04  2.023300D-01  3.422100D+01  3.422289D+01 -5.521384D-05 
   2.274600D-01  4.356900D+07  4.357591D+07 -1.584938D-04  2.273000D-01  2.651400D+01  2.658037D+01 -2.503150D-03 
   2.525300D-01  4.189700D+07  4.188163D+07  3.667438D-04  2.527700D-01  2.023400D+01  2.031749D+01 -4.125993D-03 
   2.777100D-01  4.030100D+07  4.026805D+07  8.175181D-04  2.780300D-01  1.535500D+01  1.542501D+01 -4.559557D-03 
   3.032000D-01  3.879800D+07  3.873448D+07  1.637173D-03  3.033300D-01  1.157000D+01  1.163511D+01 -5.627221D-03 
   3.284700D-01  3.739500D+07  3.732884D+07  1.769265D-03  3.287900D-01  8.683800D+00  8.727249D+00 -5.003419D-03 
   3.537000D-01  3.609000D+07  3.602627D+07  1.765778D-03  3.540300D-01  6.534600D+00  6.557043D+00 -3.434427D-03 
   3.791200D-01  3.486600D+07  3.480296D+07  1.807969D-03  3.794600D-01  4.912300D+00  4.924100D+00 -2.402085D-03 
   4.043900D-01  3.371000D+07  3.366518D+07  1.329528D-03  4.047400D-01  3.716000D+00  3.715935D+00  1.747773D-05 
   4.297000D-01  3.262900D+07  3.259472D+07  1.050536D-03  4.300600D-01  2.820100D+00  2.815196D+00  1.738775D-03 
   4.550400D-01  3.160400D+07  3.158453D+07  6.161126D-04  4.553500D-01  2.152100D+00  2.144189D+00  3.675885D-03 
   4.803100D-01  3.063400D+07  3.063082D+07  1.037775D-04  4.806300D-01  1.651700D+00  1.642365D+00  5.651518D-03 
   5.056600D-01  2.971200D+07  2.971955D+07 -2.541355D-04  5.059200D-01  1.273700D+00  1.265060D+00  6.783763D-03 
   5.309600D-01  2.882200D+07  2.884668D+07 -8.561560D-04  5.312100D-01  9.885000D-01  9.801755D-01  8.421307D-03 
   5.563000D-01  2.797200D+07  2.799974D+07 -9.915924D-04  5.565100D-01  7.705400D-01  7.639127D-01  8.600820D-03 
   5.816000D-01  2.713000D+07  2.717185D+07 -1.542410D-03  5.818100D-01  6.044500D-01  5.988554D-01  9.255761D-03 
   6.069300D-01  2.631100D+07  2.634925D+07 -1.453709D-03  6.071100D-01  4.763400D-01  4.721914D-01  8.709369D-03 
   6.322300D-01  2.548300D+07  2.551730D+07 -1.346028D-03  6.324300D-01  3.775600D-01  3.744791D-01  8.160021D-03 
   6.575400D-01  2.463700D+07  2.464516D+07 -3.314081D-04  6.577200D-01  3.009500D-01  2.991084D-01  6.119371D-03 
   6.828300D-01  2.370600D+07  2.368062D+07  1.070466D-03  6.830400D-01  2.419700D-01  2.409994D-01  4.011279D-03 
   7.081100D-01  2.261400D+07  2.259883D+07  6.709846D-04  7.083800D-01  1.968500D-01  1.957760D-01  5.455759D-03 
   7.333700D-01  2.125700D+07  2.125758D+07 -2.718673D-05  7.337100D-01  1.628100D-01  1.616150D-01  7.339579D-03 
   7.586900D-01  1.988100D+07  1.988092D+07  4.007082D-06  7.590300D-01  1.331100D-01  1.320870D-01  7.685346D-03 
   7.840400D-01  1.849500D+07  1.849277D+07  1.205293D-04  7.843500D-01  1.070300D-01  1.062340D-01  7.436928D-03 
   8.093400D-01  1.708900D+07  1.708667D+07  1.364684D-04  8.096700D-01  8.431500D-02  8.370085D-02  7.283996D-03 
   8.346400D-01  1.564900D+07  1.564601D+07  1.908983D-04  8.349900D-01  6.466700D-02  6.418820D-02  7.404120D-03 
   8.599500D-01  1.415600D+07  1.415117D+07  3.409030D-04  8.603100D-01  4.780000D-02  4.744689D-02  7.387163D-03 
   8.852700D-01  1.258200D+07  1.257528D+07  5.340441D-04  8.856400D-01  3.350700D-02  3.326338D-02  7.270827D-03 
   9.106000D-01  1.088100D+07  1.087537D+07  5.174822D-04  9.109600D-01  2.165700D-02  2.149543D-02  7.460383D-03 
   9.359000D-01  8.977100D+06  8.976642D+06  5.101401D-05  9.362800D-01  1.215700D-02  1.205246D-02  8.599122D-03 
   9.566100D-01  7.138800D+06  7.160773D+06 -3.077984D-03  9.575400D-01  5.983500D-03  5.930237D-03  8.901670D-03
