
     R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho  
   6.194900D-02  5.117000D+07  5.109537D+07  1.458482D-03  5.888400D-02  1.207800D+02  1.206695D+02  9.145794D-04 
   7.494800D-02  5.116900D+07  5.110500D+07  1.250829D-03  7.722500D-02  1.053200D+02  1.052463D+02  6.997694D-04 
   1.005200D-01  5.080300D+07  5.076311D+07  7.851608D-04  1.020800D-01  8.593700D+01  8.579516D+01  1.650569D-03 
   1.273300D-01  4.985800D+07  4.984850D+07  1.904869D-04  1.270600D-01  6.922600D+01  6.908977D+01  1.967879D-03 
   1.520800D-01  4.855900D+07  4.860783D+07 -1.005598D-03  1.516200D-01  5.551000D+01  5.537897D+01  2.360430D-03 
   1.763600D-01  4.703300D+07  4.710746D+07 -1.583119D-03  1.770900D-01  4.377200D+01  4.371148D+01  1.382604D-03 
   2.018400D-01  4.531600D+07  4.535178D+07 -7.896054D-04  2.023300D-01  3.422100D+01  3.424094D+01 -5.827084D-04 
   2.274600D-01  4.356900D+07  4.357415D+07 -1.181580D-04  2.273000D-01  2.651400D+01  2.659356D+01 -3.000814D-03 
   2.525300D-01  4.189700D+07  4.187667D+07  4.853329D-04  2.527700D-01  2.023400D+01  2.032811D+01 -4.651181D-03 
   2.777100D-01  4.030100D+07  4.025495D+07  1.142581D-03  2.780300D-01  1.535500D+01  1.543796D+01 -5.402646D-03 
   3.032000D-01  3.879800D+07  3.872997D+07  1.753549D-03  3.033300D-01  1.157000D+01  1.163825D+01 -5.898981D-03 
   3.284700D-01  3.739500D+07  3.732763D+07  1.801669D-03  3.287900D-01  8.683800D+00  8.727592D+00 -5.042928D-03 
   3.537000D-01  3.609000D+07  3.602441D+07  1.817460D-03  3.540300D-01  6.534600D+00  6.557221D+00 -3.461679D-03 
   3.791200D-01  3.486600D+07  3.480019D+07  1.887578D-03  3.794600D-01  4.912300D+00  4.924179D+00 -2.418315D-03 
   4.043900D-01  3.371000D+07  3.366202D+07  1.423313D-03  4.047400D-01  3.716000D+00  3.715800D+00  5.381893D-05 
   4.297000D-01  3.262900D+07  3.259161D+07  1.145798D-03  4.300600D-01  2.820100D+00  2.814868D+00  1.855293D-03 
   4.550400D-01  3.160400D+07  3.158170D+07  7.056651D-04  4.553500D-01  2.152100D+00  2.143749D+00  3.880537D-03 
   4.803100D-01  3.063400D+07  3.062850D+07  1.796491D-04  4.806300D-01  1.651700D+00  1.641872D+00  5.950068D-03 
   5.056600D-01  2.971200D+07  2.971809D+07 -2.049087D-04  5.059200D-01  1.273700D+00  1.264548D+00  7.185207D-03 
   5.309600D-01  2.882200D+07  2.884661D+07 -8.537675D-04  5.312100D-01  9.885000D-01  9.796616D-01  8.941270D-03 
   5.563000D-01  2.797200D+07  2.800164D+07 -1.059682D-03  5.565100D-01  7.705400D-01  7.634178D-01  9.243166D-03 
   5.816000D-01  2.713000D+07  2.717636D+07 -1.708701D-03  5.818100D-01  6.044500D-01  5.983907D-01  1.002453D-02 
   6.069300D-01  2.631100D+07  2.635653D+07 -1.730347D-03  6.071100D-01  4.763400D-01  4.717846D-01  9.563275D-03 
   6.322300D-01  2.548300D+07  2.552748D+07 -1.745523D-03  6.324300D-01  3.775600D-01  3.741408D-01  9.056163D-03 
   6.575400D-01  2.463700D+07  2.465689D+07 -8.075207D-04  6.577200D-01  3.009500D-01  2.988736D-01  6.899461D-03 
   6.828300D-01  2.370600D+07  2.369209D+07  5.867302D-04  6.830400D-01  2.419700D-01  2.408736D-01  4.531205D-03 
   7.081100D-01  2.261400D+07  2.260863D+07  2.376696D-04  7.083800D-01  1.968500D-01  1.957513D-01  5.581578D-03 
   7.333700D-01  2.125700D+07  2.125840D+07 -6.601609D-05  7.337100D-01  1.628100D-01  1.617349D-01  6.603610D-03 
   7.586900D-01  1.988100D+07  1.988176D+07 -3.831036D-05  7.590300D-01  1.331100D-01  1.321893D-01  6.916695D-03 
   7.840400D-01  1.849500D+07  1.849364D+07  7.349220D-05  7.843500D-01  1.070300D-01  1.063195D-01  6.637967D-03 
   8.093400D-01  1.708900D+07  1.708758D+07  8.322135D-05  8.096700D-01  8.431500D-02  8.377131D-02  6.448274D-03 
   8.346400D-01  1.564900D+07  1.564693D+07  1.325118D-04  8.349900D-01  6.466700D-02  6.424528D-02  6.521341D-03 
   8.599500D-01  1.415600D+07  1.415211D+07  2.748504D-04  8.603100D-01  4.780000D-02  4.749164D-02  6.450982D-03 
   8.852700D-01  1.258200D+07  1.257626D+07  4.563286D-04  8.856400D-01  3.350700D-02  3.329704D-02  6.266070D-03 
   9.106000D-01  1.088100D+07  1.087649D+07  4.148566D-04  9.109600D-01  2.165700D-02  2.151908D-02  6.368549D-03 
   9.359000D-01  8.977100D+06  8.977936D+06 -9.308547D-05  9.362800D-01  1.215700D-02  1.206778D-02  7.338891D-03 
   9.566100D-01  7.138800D+06  7.162312D+06 -3.293508D-03  9.575400D-01  5.983500D-03  5.939457D-03  7.360819D-03
