 
     R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho  
   6.194900D-02  5.117000D+07  5.108853D+07  1.592232D-03  5.888400D-02  1.207800D+02  1.208460D+02 -5.462062D-04 
   7.494800D-02  5.116900D+07  5.109744D+07  1.398408D-03  7.722500D-02  1.053200D+02  1.053763D+02 -5.348690D-04 
   1.005200D-01  5.080300D+07  5.075291D+07  9.859393D-04  1.020800D-01  8.593700D+01  8.587786D+01  6.881945D-04 
   1.273300D-01  4.985800D+07  4.983581D+07  4.451069D-04  1.270600D-01  6.922600D+01  6.913377D+01  1.332321D-03 
   1.520800D-01  4.855900D+07  4.857861D+07 -4.037702D-04  1.516200D-01  5.551000D+01  5.541937D+01  1.632630D-03 
   1.763600D-01  4.703300D+07  4.708582D+07 -1.123047D-03  1.770900D-01  4.377200D+01  4.368881D+01  1.900434D-03 
   2.018400D-01  4.531600D+07  4.534874D+07 -7.224427D-04  2.023300D-01  3.422100D+01  3.421426D+01  1.969454D-04 
   2.274600D-01  4.356900D+07  4.357276D+07 -8.630827D-05  2.273000D-01  2.651400D+01  2.656661D+01 -1.984162D-03 
   2.525300D-01  4.189700D+07  4.187621D+07  4.961279D-04  2.527700D-01  2.023400D+01  2.030767D+01 -3.640680D-03 
   2.777100D-01  4.030100D+07  4.025924D+07  1.036232D-03  2.780300D-01  1.535500D+01  1.541991D+01 -4.227452D-03 
   3.032000D-01  3.879800D+07  3.873650D+07  1.585196D-03  3.033300D-01  1.157000D+01  1.162508D+01 -4.760768D-03 
   3.284700D-01  3.739500D+07  3.733576D+07  1.584235D-03  3.287900D-01  8.683800D+00  8.718812D+00 -4.031830D-03 
   3.537000D-01  3.609000D+07  3.603358D+07  1.563438D-03  3.540300D-01  6.534600D+00  6.552414D+00 -2.726083D-03 
   3.791200D-01  3.486600D+07  3.480975D+07  1.613178D-03  3.794600D-01  4.912300D+00  4.921708D+00 -1.915244D-03 
   4.043900D-01  3.371000D+07  3.367158D+07  1.139704D-03  4.047400D-01  3.716000D+00  3.715028D+00  2.616599D-04 
   4.297000D-01  3.262900D+07  3.260115D+07  8.534363D-04  4.300600D-01  2.820100D+00  2.815183D+00  1.743420D-03 
   4.550400D-01  3.160400D+07  3.159135D+07  4.002409D-04  4.553500D-01  2.152100D+00  2.144705D+00  3.436095D-03 
   4.803100D-01  3.063400D+07  3.063847D+07 -1.458358D-04  4.806300D-01  1.651700D+00  1.643018D+00  5.256599D-03 
   5.056600D-01  2.971200D+07  2.972857D+07 -5.577893D-04  5.059200D-01  1.273700D+00  1.265765D+00  6.230183D-03 
   5.309600D-01  2.882200D+07  2.885775D+07 -1.240534D-03  5.312100D-01  9.885000D-01  9.808410D-01  7.748068D-03 
   5.563000D-01  2.797200D+07  2.801381D+07 -1.494787D-03  5.565100D-01  7.705400D-01  7.645192D-01  7.813729D-03 
   5.816000D-01  2.713000D+07  2.718994D+07 -2.209235D-03  5.818100D-01  6.044500D-01  5.993796D-01  8.388392D-03 
   6.069300D-01  2.631100D+07  2.637198D+07 -2.317495D-03  6.071100D-01  4.763400D-01  4.726662D-01  7.712519D-03 
   6.322300D-01  2.548300D+07  2.554498D+07 -2.432206D-03  6.324300D-01  3.775600D-01  3.749305D-01  6.964532D-03 
   6.575400D-01  2.463700D+07  2.467635D+07 -1.597197D-03  6.577200D-01  3.009500D-01  2.995890D-01  4.522277D-03 
   6.828300D-01  2.370600D+07  2.370783D+07 -7.739599D-05  6.830400D-01  2.419700D-01  2.416331D-01  1.392431D-03 
   7.081100D-01  2.261400D+07  2.260164D+07  5.464335D-04  7.083800D-01  1.968500D-01  1.967889D-01  3.103540D-04 
   7.333700D-01  2.125700D+07  2.125644D+07  2.649964D-05  7.337100D-01  1.628100D-01  1.625125D-01  1.827485D-03 
   7.586900D-01  1.988100D+07  1.987981D+07  5.998277D-05  7.590300D-01  1.331100D-01  1.328210D-01  2.170943D-03 
   7.840400D-01  1.849500D+07  1.849167D+07  1.801463D-04  7.843500D-01  1.070300D-01  1.068229D-01  1.934726D-03 
   8.093400D-01  1.708900D+07  1.708554D+07  2.024867D-04  8.096700D-01  8.431500D-02  8.416455D-02  1.784403D-03 
   8.346400D-01  1.564900D+07  1.564480D+07  2.685130D-04  8.349900D-01  6.466700D-02  6.454287D-02  1.919520D-03 
   8.599500D-01  1.415600D+07  1.414985D+07  4.347113D-04  8.603100D-01  4.780000D-02  4.770708D-02  1.943854D-03 
   8.852700D-01  1.258200D+07  1.257376D+07  6.547069D-04  8.856400D-01  3.350700D-02  3.344342D-02  1.897610D-03 
   9.106000D-01  1.088100D+07  1.087363D+07  6.770878D-04  9.109600D-01  2.165700D-02  2.160953D-02  2.191892D-03 
   9.359000D-01  8.977100D+06  8.974534D+06  2.858449D-04  9.362800D-01  1.215700D-02  1.211386D-02  3.548600D-03 
   9.566100D-01  7.138800D+06  7.158135D+06 -2.708378D-03  9.575400D-01  5.983500D-03  5.957832D-03  4.289832D-03
