 
  
       r          csj            c             delc          r          bprho         rhom              delrho   
   6.194900D-02  5.117000D+07  5.109171D+07  1.529962D-03  5.888400D-02  1.207800D+02  1.207455D+02  2.858481D-04 
   7.494800D-02  5.116900D+07  5.109682D+07  1.410632D-03  7.722500D-02  1.053200D+02  1.053260D+02 -5.730305D-05 
   1.005200D-01  5.080300D+07  5.074653D+07  1.111547D-03  1.020800D-01  8.593700D+01  8.586571D+01  8.295832D-04 
   1.273300D-01  4.985800D+07  4.982696D+07  6.226311D-04  1.270600D-01  6.922600D+01  6.913304D+01  1.342890D-03 
   1.520800D-01  4.855900D+07  4.856615D+07 -1.472338D-04  1.516200D-01  5.551000D+01  5.542563D+01  1.519851D-03 
   1.763600D-01  4.703300D+07  4.706948D+07 -7.756420D-04  1.770900D-01  4.377200D+01  4.369248D+01  1.816654D-03 
   2.018400D-01  4.531600D+07  4.534769D+07 -6.993025D-04  2.023300D-01  3.422100D+01  3.419539D+01  7.484480D-04 
   2.274600D-01  4.356900D+07  4.358788D+07 -4.332875D-04  2.273000D-01  2.651400D+01  2.653943D+01 -9.592007D-04 
   2.525300D-01  4.189700D+07  4.189254D+07  1.064570D-04  2.527700D-01  2.023400D+01  2.029308D+01 -2.919698D-03 
   2.777100D-01  4.030100D+07  4.028029D+07  5.137993D-04  2.780300D-01  1.535500D+01  1.541218D+01 -3.723569D-03 
   3.032000D-01  3.879800D+07  3.875739D+07  1.046787D-03  3.033300D-01  1.157000D+01  1.162498D+01 -4.752321D-03 
   3.284700D-01  3.739500D+07  3.735211D+07  1.146894D-03  3.287900D-01  8.683800D+00  8.725102D+00 -4.756232D-03 
   3.537000D-01  3.609000D+07  3.604221D+07  1.324219D-03  3.540300D-01  6.534600D+00  6.561910D+00 -4.179294D-03 
   3.791200D-01  3.486600D+07  3.480959D+07  1.617951D-03  3.794600D-01  4.912300D+00  4.932121D+00 -4.034873D-03 
   4.043900D-01  3.371000D+07  3.366385D+07  1.368951D-03  4.047400D-01  3.716000D+00  3.724372D+00 -2.252871D-03 
   4.297000D-01  3.262900D+07  3.258707D+07  1.285018D-03  4.300600D-01  2.820100D+00  2.822732D+00 -9.334747D-04 
   4.550400D-01  3.160400D+07  3.157016D+07  1.070737D-03  4.553500D-01  2.152100D+00  2.150569D+00  7.113590D-04 
   4.803100D-01  3.063400D+07  3.060982D+07  7.893123D-04  4.806300D-01  1.651700D+00  1.647436D+00  2.581436D-03 
   5.056600D-01  2.971200D+07  2.969267D+07  6.505861D-04  5.059200D-01  1.273700D+00  1.268886D+00  3.779245D-03 
   5.309600D-01  2.882200D+07  2.881579D+07  2.154926D-04  5.312100D-01  9.885000D-01  9.828302D-01  5.735784D-03 
   5.563000D-01  2.797200D+07  2.796746D+07  1.622015D-04  5.565100D-01  7.705400D-01  7.655659D-01  6.455349D-03 
   5.816000D-01  2.713000D+07  2.714077D+07 -3.971216D-04  5.818100D-01  6.044500D-01  5.996898D-01  7.875330D-03 
   6.069300D-01  2.631100D+07  2.632050D+07 -3.609721D-04  6.071100D-01  4.763400D-01  4.724677D-01  8.129345D-03 
   6.322300D-01  2.548300D+07  2.549232D+07 -3.656873D-04  6.324300D-01  3.775600D-01  3.743730D-01  8.441021D-03 
   6.575400D-01  2.463700D+07  2.462850D+07  3.451034D-04  6.577200D-01  3.009500D-01  2.986907D-01  7.507235D-03 
   6.828300D-01  2.370600D+07  2.367490D+07  1.312080D-03  6.830400D-01  2.419700D-01  2.403798D-01  6.572015D-03 
   7.081100D-01  2.261400D+07  2.259898D+07  6.639836D-04  7.083800D-01  1.968500D-01  1.951616D-01  8.576993D-03 
   7.333700D-01  2.125700D+07  2.125642D+07  2.717964D-05  7.337100D-01  1.628100D-01  1.611227D-01  1.036389D-02 
   7.586900D-01  1.988100D+07  1.987960D+07  7.027675D-05  7.590300D-01  1.331100D-01  1.316786D-01  1.075320D-02 
   7.840400D-01  1.849500D+07  1.849130D+07  2.003056D-04  7.843500D-01  1.070300D-01  1.059020D-01  1.053912D-02 
   8.093400D-01  1.708900D+07  1.708503D+07  2.322553D-04  8.096700D-01  8.431500D-02  8.343495D-02  1.043769D-02 
   8.346400D-01  1.564900D+07  1.564419D+07  3.074461D-04  8.349900D-01  6.466700D-02  6.398085D-02  1.061056D-02 
   8.599500D-01  1.415600D+07  1.414912D+07  4.857114D-04  8.603100D-01  4.780000D-02  4.728961D-02  1.067763D-02 
   8.852700D-01  1.258200D+07  1.257295D+07  7.194596D-04  8.856400D-01  3.350700D-02  3.314946D-02  1.067047D-02 
   9.106000D-01  1.088100D+07  1.087270D+07  7.631422D-04  9.109600D-01  2.165700D-02  2.141798D-02  1.103665D-02 
   9.359000D-01  8.977100D+06  8.973393D+06  4.129416D-04  9.362800D-01  1.215700D-02  1.200493D-02  1.250862D-02 
   9.566100D-01  7.138800D+06  7.156737D+06 -2.512627D-03  9.575400D-01  5.983500D-03  5.902972D-03  1.345828D-02
