 
  
       r          csj            c             delc          r          bprho         rhom              delrho   
   6.194900D-02  5.117000D+07  5.112464D+07  8.863954D-04  5.888400D-02  1.207800D+02  1.203990D+02  3.154630D-03 
   7.494800D-02  5.116900D+07  5.112985D+07  7.651046D-04  7.722500D-02  1.053200D+02  1.050870D+02  2.211964D-03 
   1.005200D-01  5.080300D+07  5.078199D+07  4.135198D-04  1.020800D-01  8.593700D+01  8.573619D+01  2.336692D-03 
   1.273300D-01  4.985800D+07  4.986234D+07 -8.706394D-05  1.270600D-01  6.922600D+01  6.908899D+01  1.979160D-03 
   1.520800D-01  4.855900D+07  4.859784D+07 -7.997561D-04  1.516200D-01  5.551000D+01  5.544045D+01  1.252865D-03 
   1.763600D-01  4.703300D+07  4.709617D+07 -1.343058D-03  1.770900D-01  4.377200D+01  4.374970D+01  5.093842D-04 
   2.018400D-01  4.531600D+07  4.536794D+07 -1.146277D-03  2.023300D-01  3.422100D+01  3.425960D+01 -1.127853D-03 
   2.274600D-01  4.356900D+07  4.358430D+07 -3.511281D-04  2.273000D-01  2.651400D+01  2.661526D+01 -3.819227D-03 
   2.525300D-01  4.189700D+07  4.188227D+07  3.515037D-04  2.527700D-01  2.023400D+01  2.035166D+01 -5.814838D-03 
   2.777100D-01  4.030100D+07  4.025784D+07  1.070831D-03  2.780300D-01  1.535500D+01  1.545689D+01 -6.635887D-03 
   3.032000D-01  3.879800D+07  3.873154D+07  1.712992D-03  3.033300D-01  1.157000D+01  1.165216D+01 -7.100702D-03 
   3.284700D-01  3.739500D+07  3.732633D+07  1.836470D-03  3.287900D-01  8.683800D+00  8.737800D+00 -6.218476D-03 
   3.537000D-01  3.609000D+07  3.601993D+07  1.941670D-03  3.540300D-01  6.534600D+00  6.564426D+00 -4.564277D-03 
   3.791200D-01  3.486600D+07  3.479187D+07  2.126042D-03  3.794600D-01  4.912300D+00  4.929089D+00 -3.417681D-03 
   4.043900D-01  3.371000D+07  3.364923D+07  1.802822D-03  4.047400D-01  3.716000D+00  3.718981D+00 -8.022284D-04 
   4.297000D-01  3.262900D+07  3.257393D+07  1.687716D-03  4.300600D-01  2.820100D+00  2.816721D+00  1.198253D-03 
   4.550400D-01  3.160400D+07  3.155905D+07  1.422306D-03  4.553500D-01  2.152100D+00  2.144586D+00  3.491522D-03 
   4.803100D-01  3.063400D+07  3.060108D+07  1.074532D-03  4.806300D-01  1.651700D+00  1.641894D+00  5.936793D-03 
   5.056600D-01  2.971200D+07  2.968620D+07  8.682428D-04  5.059200D-01  1.273700D+00  1.263976D+00  7.634212D-03 
   5.309600D-01  2.882200D+07  2.881071D+07  3.916243D-04  5.312100D-01  9.885000D-01  9.786489D-01  9.965717D-03 
   5.563000D-01  2.797200D+07  2.796252D+07  3.390197D-04  5.565100D-01  7.705400D-01  7.621144D-01  1.093462D-02 
   5.816000D-01  2.713000D+07  2.713508D+07 -1.873313D-04  5.818100D-01  6.044500D-01  5.968782D-01  1.252680D-02 
   6.069300D-01  2.631100D+07  2.631463D+07 -1.380256D-04  6.071100D-01  4.763400D-01  4.701498D-01  1.299524D-02 
   6.322300D-01  2.548300D+07  2.548741D+07 -1.731305D-04  6.324300D-01  3.775600D-01  3.724337D-01  1.357745D-02 
   6.575400D-01  2.463700D+07  2.462535D+07  4.727309D-04  6.577200D-01  3.009500D-01  2.970506D-01  1.295706D-02 
   6.828300D-01  2.370600D+07  2.367659D+07  1.240549D-03  6.830400D-01  2.419700D-01  2.389500D-01  1.248070D-02 
   7.081100D-01  2.261400D+07  2.260646D+07  3.333914D-04  7.083800D-01  1.968500D-01  1.938987D-01  1.499283D-02 
   7.333700D-01  2.125700D+07  2.125890D+07 -8.941883D-05  7.337100D-01  1.628100D-01  1.601630D-01  1.625822D-02 
   7.586900D-01  1.988100D+07  1.988210D+07 -5.550351D-05  7.590300D-01  1.331100D-01  1.308981D-01  1.661680D-02 
   7.840400D-01  1.849500D+07  1.849386D+07  6.170620D-05  7.843500D-01  1.070300D-01  1.052760D-01  1.638764D-02 
   8.093400D-01  1.708900D+07  1.708771D+07  7.524721D-05  8.096700D-01  8.431500D-02  8.294722D-02  1.622228D-02 
   8.346400D-01  1.564900D+07  1.564704D+07  1.251521D-04  8.349900D-01  6.466700D-02  6.361159D-02  1.632069D-02 
   8.599500D-01  1.415600D+07  1.415224D+07  2.653100D-04  8.603100D-01  4.780000D-02  4.702158D-02  1.628494D-02 
   8.852700D-01  1.258200D+07  1.257640D+07  4.449860D-04  8.856400D-01  3.350700D-02  3.296629D-02  1.613731D-02 
   9.106000D-01  1.088100D+07  1.087666D+07  3.992952D-04  9.109600D-01  2.165700D-02  2.130544D-02  1.623311D-02 
   9.359000D-01  8.977100D+06  8.978159D+06 -1.179440D-04  9.362800D-01  1.215700D-02  1.194785D-02  1.720418D-02 
   9.566100D-01  7.138800D+06  7.162630D+06 -3.338041D-03  9.575400D-01  5.983500D-03  5.880505D-03  1.721320D-02
