 
  
       r          csj            c             delc          r          bprho         rhom              delrho   
   6.194900D-02  5.117000D+07  5.109197D+07  1.524861D-03  5.888400D-02  1.207800D+02  1.205235D+02  2.123853D-03 
   7.494800D-02  5.116900D+07  5.109852D+07  1.377449D-03  7.722500D-02  1.053200D+02  1.051527D+02  1.588236D-03 
   1.005200D-01  5.080300D+07  5.075262D+07  9.917715D-04  1.020800D-01  8.593700D+01  8.574575D+01  2.225418D-03 
   1.273300D-01  4.985800D+07  4.983720D+07  4.171383D-04  1.270600D-01  6.922600D+01  6.905908D+01  2.411253D-03 
   1.520800D-01  4.855900D+07  4.857531D+07 -3.359520D-04  1.516200D-01  5.551000D+01  5.539523D+01  2.067466D-03 
   1.763600D-01  4.703300D+07  4.708313D+07 -1.065799D-03  1.770900D-01  4.377200D+01  4.369180D+01  1.832185D-03 
   2.018400D-01  4.531600D+07  4.534463D+07 -6.316913D-04  2.023300D-01  3.422100D+01  3.422601D+01 -1.462600D-04 
   2.274600D-01  4.356900D+07  4.357195D+07 -6.773235D-05  2.273000D-01  2.651400D+01  2.657699D+01 -2.375586D-03 
   2.525300D-01  4.189700D+07  4.188093D+07  3.835662D-04  2.527700D-01  2.023400D+01  2.031542D+01 -4.023791D-03 
   2.777100D-01  4.030100D+07  4.025825D+07  1.060838D-03  2.780300D-01  1.535500D+01  1.543231D+01 -5.034988D-03 
   3.032000D-01  3.879800D+07  3.873512D+07  1.620575D-03  3.033300D-01  1.157000D+01  1.163567D+01 -5.675629D-03 
   3.284700D-01  3.739500D+07  3.733373D+07  1.638401D-03  3.287900D-01  8.683800D+00  8.727654D+00 -5.050090D-03 
   3.537000D-01  3.609000D+07  3.603085D+07  1.639013D-03  3.540300D-01  6.534600D+00  6.559217D+00 -3.767220D-03 
   3.791200D-01  3.486600D+07  3.480608D+07  1.718557D-03  3.794600D-01  4.912300D+00  4.926963D+00 -2.984857D-03 
   4.043900D-01  3.371000D+07  3.366642D+07  1.292810D-03  4.047400D-01  3.716000D+00  3.719028D+00 -8.147277D-04 
   4.297000D-01  3.262900D+07  3.259392D+07  1.075106D-03  4.300600D-01  2.820100D+00  2.818184D+00  6.794471D-04 
   4.550400D-01  3.160400D+07  3.158169D+07  7.060493D-04  4.553500D-01  2.152100D+00  2.146888D+00  2.421840D-03 
   4.803100D-01  3.063400D+07  3.062630D+07  2.512679D-04  4.806300D-01  1.651700D+00  1.644563D+00  4.320812D-03 
   5.056600D-01  2.971200D+07  2.971401D+07 -6.778964D-05  5.059200D-01  1.273700D+00  1.266776D+00  5.436231D-03 
   5.309600D-01  2.882200D+07  2.884113D+07 -6.636823D-04  5.312100D-01  9.885000D-01  9.814187D-01  7.163725D-03 
   5.563000D-01  2.797200D+07  2.799552D+07 -8.409086D-04  5.565100D-01  7.705400D-01  7.647639D-01  7.496192D-03 
   5.816000D-01  2.713000D+07  2.717045D+07 -1.491013D-03  5.818100D-01  6.044500D-01  5.993706D-01  8.403308D-03 
   6.069300D-01  2.631100D+07  2.635172D+07 -1.547671D-03  6.071100D-01  4.763400D-01  4.724763D-01  8.111293D-03 
   6.322300D-01  2.548300D+07  2.552439D+07 -1.624401D-03  6.324300D-01  3.775600D-01  3.746182D-01  7.791662D-03 
   6.575400D-01  2.463700D+07  2.465692D+07 -8.084788D-04  6.577200D-01  3.009500D-01  2.991762D-01  5.894029D-03 
   6.828300D-01  2.370600D+07  2.369630D+07  4.093307D-04  6.830400D-01  2.419700D-01  2.410511D-01  3.797576D-03 
   7.081100D-01  2.261400D+07  2.260993D+07  1.799458D-04  7.083800D-01  1.968500D-01  1.959619D-01  4.511689D-03 
   7.333700D-01  2.125700D+07  2.125823D+07 -5.793175D-05  7.337100D-01  1.628100D-01  1.619291D-01  5.410302D-03 
   7.586900D-01  1.988100D+07  1.988164D+07 -3.218405D-05  7.590300D-01  1.331100D-01  1.323482D-01  5.723000D-03 
   7.840400D-01  1.849500D+07  1.849357D+07  7.755682D-05  7.843500D-01  1.070300D-01  1.064464D-01  5.452503D-03 
   8.093400D-01  1.708900D+07  1.708753D+07  8.580816D-05  8.096700D-01  8.431500D-02  8.387111D-02  5.264641D-03 
   8.346400D-01  1.564900D+07  1.564694D+07  1.316881D-04  8.349900D-01  6.466700D-02  6.432143D-02  5.343778D-03 
   8.599500D-01  1.415600D+07  1.415218D+07  2.697232D-04  8.603100D-01  4.780000D-02  4.754753D-02  5.281836D-03 
   8.852700D-01  1.258200D+07  1.257639D+07  4.462698D-04  8.856400D-01  3.350700D-02  3.333592D-02  5.105845D-03 
   9.106000D-01  1.088100D+07  1.087664D+07  4.006317D-04  9.109600D-01  2.165700D-02  2.154436D-02  5.201107D-03 
   9.359000D-01  8.977100D+06  8.978165D+06 -1.186198D-04  9.362800D-01  1.215700D-02  1.208204D-02  6.165658D-03 
   9.566100D-01  7.138800D+06  7.162631D+06 -3.338233D-03  9.575400D-01  5.983500D-03  5.946596D-03  6.167640D-03
