   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1407.50  1472.81  1535.99  1591.55   0.0890   0.1524  
   10  1548.50  1612.65  1674.63  1729.09   0.0887   0.1507  
   11  1686.76  1749.44  1810.41  1865.29   0.0877   0.1474  
   12  1822.32  1885.24  1946.08  2001.26   0.0878   0.1460  
   13  1957.70  2020.96  2082.33  2137.77   0.0859   0.1440  
   14  2093.74  2157.17  2218.08  2273.52   0.0839   0.1397  
   15  2229.09  2292.49  2353.06  2407.65   0.0813   0.1371  
   16  2363.61  2426.51  2487.07  2541.71   0.0784   0.1338  
   17  2497.33  2560.68  2621.44  2676.23   0.0767   0.1307  
   18  2631.38  2695.39  2756.94  2811.46   0.0741   0.1281  
   19  2766.60  2830.93  2892.75  2947.07   0.0715   0.1238  
   20  2902.13  2967.00  3028.95  3082.43   0.0692   0.1205  
   21  3037.97  3102.89  3165.24  3217.90   0.0664   0.1173  
   22  3173.99  3239.11  3301.56  3353.68   0.0643   0.1135  
   23  3310.03  3375.63  3438.53  3489.70   0.0622   0.1107  
   24  3446.72  3512.45  3575.75  3626.28   0.0599   0.1073  
   25  3583.72  3649.83  3713.26  3762.99   0.0582   0.1039  
   26  3720.96  3787.27  3851.12  3900.63   0.0561   0.1011  
   27  3858.59  3924.97  3988.96  4058.16   0.0543   0.0977  
   28  3996.22  4062.91  4127.06  4216.58   0.0528   0.0950  
   29  4134.10  4200.79  4265.22  4323.96   0.0510   0.0923  
