   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.45  1472.80  1535.94  1591.55   0.0891   0.1528 
   10  1548.47  1612.66  1674.58  1729.09   0.0888   0.1511 
   11  1686.74  1749.46  1810.38  1865.29   0.0879   0.1478 
   12  1822.31  1885.25  1946.04  2001.26   0.0880   0.1464 
   13  1957.70  2020.97  2082.28  2137.77   0.0861   0.1444 
   14  2093.73  2157.19  2218.05  2273.52   0.0842   0.1401 
   15  2229.09  2292.51  2353.03  2407.65   0.0816   0.1375 
   16  2363.62  2426.54  2487.04  2541.71   0.0787   0.1342 
   17  2497.33  2560.70  2621.41  2676.23   0.0770   0.1312 
   18  2631.39  2695.39  2756.89  2811.46   0.0744   0.1286 
   19  2766.60  2830.93  2892.71  2947.07   0.0718   0.1243 
   20  2902.14  2966.98  3028.91  3082.43   0.0696   0.1210 
   21  3037.99  3102.86  3165.19  3217.90   0.0668   0.1177 
   22  3174.00  3239.08  3301.51  3353.68   0.0648   0.1138 
   23  3310.05  3375.57  3438.46  3489.70   0.0628   0.1110 
   24  3446.73  3512.40  3575.66  3626.28   0.0605   0.1076 
   25  3583.71  3649.77  3713.16  3762.99   0.0588   0.1042 
   26  3720.94  3787.21  3850.99  3900.63   0.0567   0.1015 
   27  3858.55  3924.92  3988.82  4058.16   0.0549   0.0983 
   28  3996.16  4062.86  4126.92  4216.58   0.0533   0.0956 
   29  4134.02  4200.74  4265.07  4323.96   0.0515   0.0930 
