   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1407.35  1472.68  1535.83  1591.55   0.0892   0.1528  
   10  1548.36  1612.54  1674.46  1729.09   0.0889   0.1511  
   11  1686.62  1749.33  1810.24  1865.29   0.0880   0.1478  
   12  1822.18  1885.11  1945.90  2001.26   0.0881   0.1465  
   13  1957.56  2020.83  2082.13  2137.77   0.0861   0.1444  
   14  2093.58  2157.03  2217.89  2273.52   0.0841   0.1401  
   15  2228.93  2292.34  2352.87  2407.65   0.0816   0.1375  
   16  2363.45  2426.36  2486.87  2541.71   0.0787   0.1342  
   17  2497.16  2560.51  2621.23  2676.23   0.0769   0.1312  
   18  2631.20  2695.20  2756.70  2811.46   0.0744   0.1286  
   19  2766.40  2830.73  2892.51  2947.07   0.0718   0.1243  
   20  2901.93  2966.77  3028.70  3082.43   0.0696   0.1209  
   21  3037.77  3102.65  3164.96  3217.90   0.0668   0.1176  
   22  3173.77  3238.86  3301.28  3353.68   0.0648   0.1138  
   23  3309.80  3375.35  3438.22  3489.70   0.0627   0.1111  
   24  3446.48  3512.16  3575.42  3626.28   0.0604   0.1076  
   25  3583.45  3649.52  3712.91  3762.99   0.0586   0.1043  
   26  3720.68  3786.95  3850.74  3900.63   0.0566   0.1015  
   27  3858.28  3924.65  3988.57  4058.16   0.0548   0.0982  
   28  3995.89  4062.57  4126.66  4216.58   0.0532   0.0956  
   29  4133.74  4200.44  4264.80  4323.96   0.0514   0.0929  
