   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1407.22  1472.59  1535.75  1591.55   0.0893   0.1529  
   10  1548.29  1612.45  1674.40  1729.09   0.0889   0.1511  
   11  1686.57  1749.30  1810.18  1865.29   0.0880   0.1478  
   12  1822.11  1885.05  1945.86  2001.26   0.0880   0.1465  
   13  1957.51  2020.75  2082.08  2137.77   0.0860   0.1443  
   14  2093.52  2157.01  2217.88  2273.52   0.0841   0.1401  
   15  2228.91  2292.33  2352.91  2407.65   0.0815   0.1375  
   16  2363.49  2426.40  2486.88  2541.71   0.0786   0.1340  
   17  2497.16  2560.54  2621.25  2676.23   0.0769   0.1311  
   18  2631.20  2695.19  2756.70  2811.46   0.0743   0.1285  
   19  2766.39  2830.75  2892.51  2947.07   0.0717   0.1242  
   20  2901.92  2966.80  3028.75  3082.43   0.0694   0.1210  
   21  3037.81  3102.69  3165.02  3217.90   0.0666   0.1176  
   22  3173.81  3238.93  3301.35  3353.68   0.0646   0.1138  
   23  3309.86  3375.39  3438.30  3489.70   0.0625   0.1110  
   24  3446.55  3512.22  3575.48  3626.28   0.0603   0.1074  
   25  3583.50  3649.58  3713.00  3762.99   0.0586   0.1042  
   26  3720.76  3787.01  3850.82  3900.63   0.0565   0.1014  
   27  3858.35  3924.74  3988.65  4058.16   0.0548   0.0981  
   28  3995.97  4062.64  4126.77  4216.58   0.0532   0.0954  
   29  4133.85  4200.54  4264.90  4323.96   0.0514   0.0927  
