   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1407.53  1472.85  1535.95  1591.55   0.0893   0.1530  
   10  1548.49  1612.61  1674.52  1729.09   0.0890   0.1512  
   11  1686.69  1749.38  1810.28  1865.29   0.0881   0.1479  
   12  1822.24  1885.17  1945.97  2001.26   0.0882   0.1466  
   13  1957.65  2020.88  2082.18  2137.77   0.0862   0.1445  
   14  2093.64  2157.06  2217.87  2273.52   0.0843   0.1402  
   15  2228.92  2292.29  2352.80  2407.65   0.0817   0.1376  
   16  2363.40  2426.28  2486.78  2541.71   0.0788   0.1343  
   17  2497.09  2560.46  2621.18  2676.23   0.0771   0.1313  
   18  2631.16  2695.17  2756.67  2811.46   0.0745   0.1287  
   19  2766.39  2830.70  2892.45  2947.07   0.0719   0.1244  
   20  2901.88  2966.72  3028.61  3082.43   0.0696   0.1211  
   21  3037.68  3102.56  3164.85  3217.90   0.0668   0.1178  
   22  3173.66  3238.77  3301.16  3353.68   0.0647   0.1140  
   23  3309.68  3375.26  3438.12  3489.70   0.0626   0.1113  
   24  3446.37  3512.07  3575.32  3626.28   0.0603   0.1077  
   25  3583.34  3649.43  3712.81  3762.99   0.0586   0.1044  
   26  3720.56  3786.84  3850.63  3900.63   0.0565   0.1016  
   27  3858.16  3924.52  3988.45  4058.16   0.0547   0.0982  
   28  3995.77  4062.42  4126.54  4216.58   0.0532   0.0955  
   29  4133.62  4200.28  4264.65  4323.96   0.0514   0.0928  
