   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1407.55  1472.88  1536.07  1591.55   0.0890   0.1527  
   10  1548.60  1612.79  1674.71  1729.09   0.0888   0.1509  
   11  1686.86  1749.61  1810.55  1865.29   0.0879   0.1477  
   12  1822.48  1885.39  1946.22  2001.26   0.0879   0.1463  
   13  1957.87  2021.16  2082.47  2137.77   0.0861   0.1442  
   14  2093.90  2157.37  2218.27  2273.52   0.0841   0.1401  
   15  2229.30  2292.70  2353.23  2407.65   0.0815   0.1373  
   16  2363.81  2426.74  2487.23  2541.71   0.0786   0.1341  
   17  2497.51  2560.86  2621.59  2676.23   0.0768   0.1311  
   18  2631.55  2695.53  2757.01  2811.46   0.0743   0.1284  
   19  2766.70  2831.04  2892.81  2947.07   0.0717   0.1242  
   20  2902.22  2967.03  3028.96  3082.43   0.0694   0.1208  
   21  3038.03  3102.90  3165.19  3217.90   0.0667   0.1175  
   22  3173.98  3239.08  3301.50  3353.68   0.0647   0.1138  
   23  3310.01  3375.54  3438.41  3489.70   0.0626   0.1110  
   24  3446.65  3512.35  3575.60  3626.28   0.0603   0.1075  
   25  3583.62  3649.68  3713.09  3762.99   0.0585   0.1042  
   26  3720.85  3787.10  3850.89  3900.63   0.0565   0.1014  
   27  3858.43  3924.80  3988.73  4058.16   0.0548   0.0981  
   28  3996.05  4062.68  4126.80  4216.58   0.0532   0.0954  
   29  4133.89  4200.57  4264.92  4323.96   0.0514   0.0927  
