   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1407.16  1472.59  1535.70  1591.55   0.0890   0.1529  
   10  1548.19  1612.41  1674.35  1729.09   0.0886   0.1511  
   11  1686.48  1749.21  1810.11  1865.29   0.0877   0.1476  
   12  1822.01  1884.97  1945.77  2001.26   0.0878   0.1464  
   13  1957.39  2020.66  2081.98  2137.77   0.0859   0.1442  
   14  2093.40  2156.88  2217.74  2273.52   0.0840   0.1400  
   15  2228.77  2292.19  2352.75  2407.65   0.0814   0.1374  
   16  2363.32  2426.22  2486.72  2541.71   0.0786   0.1340  
   17  2497.01  2560.36  2621.09  2676.23   0.0769   0.1310  
   18  2631.05  2695.02  2756.53  2811.46   0.0743   0.1284  
   19  2766.25  2830.56  2892.33  2947.07   0.0718   0.1241  
   20  2901.77  2966.61  3028.55  3082.43   0.0696   0.1209  
   21  3037.63  3102.49  3164.80  3217.90   0.0669   0.1176  
   22  3173.62  3238.72  3301.11  3353.68   0.0649   0.1138  
   23  3309.65  3375.19  3438.06  3489.70   0.0627   0.1111  
   24  3446.33  3512.01  3575.24  3626.28   0.0605   0.1076  
   25  3583.28  3649.37  3712.75  3762.99   0.0587   0.1044  
   26  3720.52  3786.78  3850.57  3900.63   0.0566   0.1016  
   27  3858.12  3924.49  3988.41  4058.16   0.0549   0.0983  
   28  3995.74  4062.39  4126.51  4216.58   0.0533   0.0956  
   29  4133.61  4200.28  4264.63  4323.96   0.0515   0.0929  
