   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1407.00  1472.35  1535.43  1591.55   0.0895   0.1533  
   10  1548.00  1612.18  1674.08  1729.09   0.0891   0.1517  
   11  1686.28  1748.96  1809.81  1865.29   0.0882   0.1482  
   12  1821.79  1884.71  1945.45  2001.26   0.0884   0.1470  
   13  1957.14  2020.38  2081.66  2137.77   0.0864   0.1449  
   14  2093.15  2156.59  2217.41  2273.52   0.0845   0.1406  
   15  2228.50  2291.90  2352.41  2407.65   0.0819   0.1380  
   16  2363.04  2425.92  2486.38  2541.71   0.0790   0.1346  
   17  2496.72  2560.05  2620.72  2676.23   0.0773   0.1316  
   18  2630.74  2694.69  2756.16  2811.46   0.0748   0.1290  
   19  2765.93  2830.22  2891.95  2947.07   0.0722   0.1247  
   20  2901.43  2966.26  3028.16  3082.43   0.0700   0.1214  
   21  3037.29  3102.13  3164.41  3217.90   0.0672   0.1181  
   22  3173.27  3238.36  3300.72  3353.68   0.0652   0.1143  
   23  3309.28  3374.82  3437.66  3489.70   0.0630   0.1116  
   24  3445.96  3511.62  3574.83  3626.28   0.0607   0.1081  
   25  3582.90  3648.99  3712.33  3762.99   0.0590   0.1048  
   26  3720.13  3786.38  3850.15  3900.63   0.0569   0.1020  
   27  3857.73  3924.09  3987.96  4058.16   0.0551   0.0987  
   28  3995.32  4061.99  4126.06  4216.58   0.0535   0.0960  
   29  4133.19  4199.85  4264.18  4323.96   0.0517   0.0933  
