   n    nu0      nu1      nu2      nu3       r02      err    r13    err
    9  1407.48  1472.85  1535.86  1591.55   0.0832   0.0006   0.1524   0.0005
   10  1548.33  1612.73  1674.54  1729.09   0.0885   0.0003   0.1514   0.0004
   11  1686.57  1749.28  1810.32  1865.29   0.0870   0.0003   0.1479   0.0004
   12  1822.18  1885.09  1945.82  2001.26   0.0875   0.0002   0.1458   0.0003
   13  1957.45  2020.82  2082.10  2137.77   0.0860   0.0002   0.1441   0.0003
   14  2093.52  2156.81  2217.68  2273.52   0.0839   0.0002   0.1400   0.0003
   15  2228.79  2292.02  2352.28  2407.65   0.0821   0.0002   0.1368   0.0003
   16  2362.83  2425.60  2485.90  2541.71   0.0787   0.0002   0.1344   0.0003
   17  2496.22  2559.21  2619.71  2676.23   0.0774   0.0002   0.1310   0.0003
   18  2629.70  2693.41  2754.54  2811.46   0.0748   0.0002   0.1280   0.0002
   19  2764.21  2828.23  2889.65  2947.07   0.0719   0.0002   0.1244   0.0002
   20  2899.09  2963.38  3024.82  3082.43   0.0700   0.0002   0.1207   0.0002
   21  3033.82  3098.24  3159.96  3217.90   0.0668   0.0002   0.1172   0.0002
   22  3168.68  3233.22  3295.19  3353.68   0.0647   0.0002   0.1135   0.0002
   23  3303.59  3368.62  3430.87  3489.70   0.0623   0.0002   0.1103   0.0003
   24  3439.09  3504.31  3567.03  3626.28   0.0607   0.0003   0.1077   0.0005
   25  3574.90  3640.46  3703.53  3762.99   0.0579   0.0004   0.1041   0.0007
   26  3711.09  3776.84  3840.08  3900.63   0.0555   0.0006   0.1016   0.0011
   27  3847.49  3913.39  3977.20  4058.16   0.0543   0.0009   0.0934   0.0019
   28  3984.38  4050.51  4117.15  4216.58   0.0525   0.0012  -0.0558   0.0196
   29  4123.53  4187.44  4254.97  4323.96   0.0458   0.0025  -0.2128   0.0116
