   age(Myr)     LI7    Be9 
    0.000  0.000  0.000  
    0.020  3.301  1.440  
    0.020  3.301  1.440  
    0.030  3.301  1.440  
    0.030  3.301  1.440  
    0.040  3.301  1.440  
    0.040  3.301  1.440  
    0.050  3.301  1.440  
    0.050  3.301  1.440  
    0.060  3.301  1.440  
    0.070  3.301  1.440  
    0.070  3.301  1.440  
    0.080  3.301  1.440  
    0.080  3.301  1.440  
    0.090  3.301  1.440  
    0.100  3.301  1.440  
    0.100  3.301  1.440  
    0.110  3.301  1.440  
    0.120  3.301  1.440  
    0.130  3.301  1.440  
    0.130  3.301  1.440  
    0.140  3.301  1.440  
    0.150  3.301  1.440  
    0.160  3.301  1.440  
    0.170  3.301  1.440  
    0.180  3.301  1.440  
    0.190  3.301  1.440  
    0.200  3.301  1.440  
    0.210  3.301  1.440  
    0.220  3.301  1.440  
    0.230  3.301  1.440  
    0.240  3.301  1.440  
    0.260  3.301  1.440  
    0.270  3.301  1.440  
    0.280  3.301  1.440  
    0.290  3.301  1.440  
    0.310  3.301  1.440  
    0.320  3.301  1.440  
    0.340  3.301  1.440  
    0.350  3.301  1.440  
    0.370  3.301  1.440  
    0.380  3.301  1.440  
    0.400  3.301  1.440  
    0.420  3.301  1.440  
    0.440  3.301  1.440  
    0.450  3.301  1.440  
    0.470  3.301  1.440  
    0.490  3.301  1.440  
    0.510  3.301  1.440  
    0.540  3.301  1.440  
    0.560  3.301  1.440  
    0.580  3.301  1.440  
    0.600  3.301  1.440  
    0.630  3.301  1.440  
    0.650  3.301  1.440  
    0.680  3.301  1.440  
    0.710  3.301  1.440  
    0.740  3.301  1.440  
    0.770  3.301  1.440  
    0.800  3.301  1.440  
    0.830  3.301  1.440  
    0.860  3.301  1.440  
    0.890  3.301  1.440  
    0.930  3.301  1.440  
    0.960  3.301  1.440  
    1.000  3.300  1.440  
    1.040  3.300  1.440  
    1.080  3.300  1.440  
    1.120  3.300  1.440  
    1.160  3.299  1.440  
    1.210  3.299  1.440  
    1.260  3.298  1.440  
    1.300  3.297  1.440  
    1.350  3.296  1.440  
    1.410  3.295  1.440  
    1.460  3.293  1.440  
    1.520  3.291  1.440  
    1.570  3.288  1.440  
    1.630  3.285  1.440  
    1.700  3.281  1.440  
    1.760  3.277  1.440  
    1.830  3.273  1.440  
    1.900  3.268  1.440  
    1.970  3.263  1.440  
    2.000  3.261  1.440  
    2.040  3.257  1.440  
    2.110  3.252  1.440  
    2.190  3.245  1.440  
    2.270  3.238  1.440  
    2.360  3.231  1.440  
    2.450  3.222  1.440  
    2.540  3.213  1.440  
    2.630  3.204  1.440  
    2.730  3.194  1.440  
    2.830  3.184  1.440  
    2.930  3.173  1.440  
    3.040  3.162  1.440  
    3.150  3.151  1.440  
    3.270  3.139  1.440  
    3.380  3.127  1.440  
    3.500  3.114  1.440  
    3.630  3.101  1.439  
    3.760  3.087  1.439  
    3.890  3.073  1.439  
    4.030  3.059  1.439  
    4.170  3.045  1.439  
    4.310  3.031  1.439  
    4.460  3.017  1.439  
    4.610  3.002  1.439  
    4.760  2.986  1.439  
    4.920  2.971  1.439  
    5.000  2.963  1.439  
    5.120  2.952  1.439  
    5.290  2.937  1.439  
    5.460  2.921  1.439  
    5.630  2.906  1.439  
    5.810  2.892  1.439  
    6.000  2.878  1.439  
    6.190  2.864  1.439  
    6.380  2.850  1.439  
    6.570  2.836  1.439  
    6.770  2.823  1.439  
    6.980  2.810  1.439  
    7.190  2.797  1.439  
    7.400  2.785  1.439  
    7.610  2.774  1.439  
    7.830  2.762  1.439  
    8.060  2.751  1.439  
    8.280  2.741  1.439  
    8.510  2.732  1.439  
    8.750  2.722  1.438  
    8.990  2.713  1.438  
    9.230  2.704  1.438  
    9.470  2.696  1.438  
    9.720  2.689  1.438  
    9.970  2.681  1.438  
   10.000  2.680  1.438  
   10.050  2.679  1.438  
   10.120  2.676  1.438  
   10.240  2.673  1.438  
   10.400  2.669  1.438  
   10.650  2.662  1.438  
   10.910  2.656  1.438  
   11.180  2.651  1.438  
   11.450  2.646  1.438  
   11.710  2.641  1.438  
   11.980  2.637  1.438  
   12.260  2.633  1.438  
   12.530  2.629  1.438  
   12.810  2.626  1.438  
   13.090  2.623  1.438  
   13.370  2.619  1.438  
   13.650  2.617  1.438  
   13.930  2.614  1.438  
   14.220  2.612  1.438  
   14.500  2.610  1.438  
   14.790  2.608  1.438  
   15.080  2.606  1.438  
   15.370  2.605  1.438  
   15.660  2.603  1.438  
   15.950  2.602  1.438  
   16.250  2.601  1.438  
   16.540  2.600  1.438  
   16.830  2.599  1.438  
   17.130  2.598  1.438  
   17.420  2.598  1.438  
   17.720  2.597  1.438  
   18.020  2.596  1.438  
   18.310  2.596  1.438  
   18.610  2.595  1.438  
   18.910  2.595  1.438  
   19.210  2.594  1.438  
   19.510  2.594  1.438  
   19.800  2.594  1.438  
   20.110  2.593  1.438  
   20.410  2.593  1.438  
   20.710  2.593  1.438  
   21.010  2.593  1.438  
   21.310  2.593  1.438  
   21.610  2.593  1.438  
   21.910  2.592  1.438  
   22.220  2.592  1.438  
   22.520  2.592  1.438  
   22.830  2.592  1.438  
   23.130  2.592  1.438  
   23.440  2.592  1.438  
   23.750  2.592  1.438  
   24.060  2.592  1.438  
