 
     R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho  
  6.194900D-02  5.117000D+07  5.110815D+07  1.208780D-03  5.888400D-02  1.207800D+02  1.205861D+02  1.605075D-03
  7.494800D-02  5.116900D+07  5.111157D+07  1.122344D-03  7.722500D-02  1.053200D+02  1.052263D+02  8.897183D-04
  1.005200D-01  5.080300D+07  5.075644D+07  9.164112D-04  1.020800D-01  8.593700D+01  8.583085D+01  1.235202D-03
  1.273300D-01  4.985800D+07  4.982881D+07  5.854529D-04  1.270600D-01  6.922600D+01  6.914370D+01  1.188851D-03
  1.520800D-01  4.855900D+07  4.855863D+07  7.617070D-06  1.516200D-01  5.551000D+01  5.546049D+01  8.919841D-04
  1.763600D-01  4.703300D+07  4.705497D+07 -4.670653D-04  1.770900D-01  4.377200D+01  4.373535D+01  8.373890D-04
  2.018400D-01  4.531600D+07  4.533373D+07 -3.911880D-04  2.023300D-01  3.422100D+01  3.421511D+01  1.722532D-04
  2.274600D-01  4.356900D+07  4.356731D+07  3.870626D-05  2.273000D-01  2.651400D+01  2.655156D+01 -1.416584D-03
  2.525300D-01  4.189700D+07  4.188102D+07  3.814860D-04  2.527700D-01  2.023400D+01  2.028644D+01 -2.591770D-03
  2.777100D-01  4.030100D+07  4.027165D+07  7.283522D-04  2.780300D-01  1.535500D+01  1.540098D+01 -2.994289D-03
  3.032000D-01  3.879800D+07  3.875945D+07  9.936085D-04  3.033300D-01  1.157000D+01  1.160946D+01 -3.410218D-03
  3.284700D-01  3.739500D+07  3.736628D+07  7.679173D-04  3.287900D-01  8.683800D+00  8.708863D+00 -2.886168D-03
  3.537000D-01  3.609000D+07  3.606562D+07  6.754889D-04  3.540300D-01  6.534600D+00  6.549152D+00 -2.226861D-03
  3.791200D-01  3.486600D+07  3.483898D+07  7.750292D-04  3.794600D-01  4.912300D+00  4.923621D+00 -2.304676D-03
  4.043900D-01  3.371000D+07  3.369505D+07  4.435435D-04  4.047400D-01  3.716000D+00  3.720094D+00 -1.101747D-03
  4.297000D-01  3.262900D+07  3.261626D+07  3.904954D-04  4.300600D-01  2.820100D+00  2.821803D+00 -6.037971D-04
  4.550400D-01  3.160400D+07  3.159524D+07  2.772922D-04  4.553500D-01  2.152100D+00  2.151794D+00  1.422683D-04
  4.803100D-01  3.063400D+07  3.062829D+07  1.862495D-04  4.806300D-01  1.651700D+00  1.649946D+00  1.062205D-03
  5.056600D-01  2.971200D+07  2.970188D+07  3.406823D-04  5.059200D-01  1.273700D+00  1.272063D+00  1.285496D-03
  5.309600D-01  2.882200D+07  2.881319D+07  3.058351D-04  5.312100D-01  9.885000D-01  9.862236D-01  2.302907D-03
  5.563000D-01  2.797200D+07  2.795109D+07  7.476939D-04  5.565100D-01  7.705400D-01  7.688566D-01  2.184719D-03
  5.816000D-01  2.713000D+07  2.710997D+07  7.384783D-04  5.818100D-01  6.044500D-01  6.026353D-01  3.002281D-03
  6.069300D-01  2.631100D+07  2.627686D+07  1.297437D-03  6.071100D-01  4.763400D-01  4.748891D-01  3.045904D-03
  6.322300D-01  2.548300D+07  2.543962D+07  1.702388D-03  6.324300D-01  3.775600D-01  3.761803D-01  3.654168D-03
  6.575400D-01  2.463700D+07  2.457535D+07  2.502203D-03  6.577200D-01  3.009500D-01  2.997964D-01  3.833342D-03
  6.828300D-01  2.370600D+07  2.365319D+07  2.227518D-03  6.830400D-01  2.419700D-01  2.404407D-01  6.320314D-03
  7.081100D-01  2.261400D+07  2.259701D+07  7.511041D-04  7.083800D-01  1.968500D-01  1.948359D-01  1.023186D-02
  7.333700D-01  2.125700D+07  2.125614D+07  4.052489D-05  7.337100D-01  1.628100D-01  1.608250D-01  1.219205D-02
  7.586900D-01  1.988100D+07  1.987959D+07  7.096882D-05  7.590300D-01  1.331100D-01  1.314298D-01  1.262229D-02
  7.840400D-01  1.849500D+07  1.849161D+07  1.831776D-04  7.843500D-01  1.070300D-01  1.056972D-01  1.245223D-02
  8.093400D-01  1.708900D+07  1.708574D+07  1.905878D-04  8.096700D-01  8.431500D-02  8.327058D-02  1.238708D-02
  8.346400D-01  1.564900D+07  1.564534D+07  2.339926D-04  8.349900D-01  6.466700D-02  6.385313D-02  1.258550D-02
  8.599500D-01  1.415600D+07  1.415070D+07  3.743477D-04  8.603100D-01  4.780000D-02  4.719580D-02  1.264023D-02
  8.852700D-01  1.258200D+07  1.257498D+07  5.582227D-04  8.856400D-01  3.350700D-02  3.308541D-02  1.258220D-02
  9.106000D-01  1.088100D+07  1.087528D+07  5.258414D-04  9.109600D-01  2.165700D-02  2.137927D-02  1.282407D-02
  9.359000D-01  8.977100D+06  8.976809D+06  3.238910D-05  9.362800D-01  1.215700D-02  1.198672D-02  1.400656D-02
  9.566100D-01  7.138800D+06  7.161328D+06 -3.155700D-03  9.575400D-01  5.983500D-03  5.897831D-03  1.431746D-02
