 
     R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho  
  6.194900D-02  5.117000D+07  5.110782D+07  1.215140D-03  5.888400D-02  1.207800D+02  1.205761D+02  1.687808D-03
  7.494800D-02  5.116900D+07  5.111131D+07  1.127434D-03  7.722500D-02  1.053200D+02  1.052185D+02  9.635951D-04
  1.005200D-01  5.080300D+07  5.075568D+07  9.314007D-04  1.020800D-01  8.593700D+01  8.582706D+01  1.279329D-03
  1.273300D-01  4.985800D+07  4.982946D+07  5.723320D-04  1.270600D-01  6.922600D+01  6.913809D+01  1.269920D-03
  1.520800D-01  4.855900D+07  4.855430D+07  9.688697D-05  1.516200D-01  5.551000D+01  5.546732D+01  7.688159D-04
  1.763600D-01  4.703300D+07  4.705283D+07 -4.216369D-04  1.770900D-01  4.377200D+01  4.373585D+01  8.258060D-04
  2.018400D-01  4.531600D+07  4.533114D+07 -3.340516D-04  2.023300D-01  3.422100D+01  3.421633D+01  1.363385D-04
  2.274600D-01  4.356900D+07  4.356462D+07  1.004449D-04  2.273000D-01  2.651400D+01  2.655251D+01 -1.452279D-03
  2.525300D-01  4.189700D+07  4.187901D+07  4.294003D-04  2.527700D-01  2.023400D+01  2.028682D+01 -2.610605D-03
  2.777100D-01  4.030100D+07  4.027270D+07  7.021551D-04  2.780300D-01  1.535500D+01  1.539839D+01 -2.825813D-03
  3.032000D-01  3.879800D+07  3.876073D+07  9.605605D-04  3.033300D-01  1.157000D+01  1.160775D+01 -3.262937D-03
  3.284700D-01  3.739500D+07  3.736763D+07  7.318102D-04  3.287900D-01  8.683800D+00  8.707903D+00 -2.775590D-03
  3.537000D-01  3.609000D+07  3.606689D+07  6.404215D-04  3.540300D-01  6.534600D+00  6.548726D+00 -2.161729D-03
  3.791200D-01  3.486600D+07  3.484027D+07  7.380535D-04  3.794600D-01  4.912300D+00  4.923501D+00 -2.280277D-03
  4.043900D-01  3.371000D+07  3.369652D+07  3.998781D-04  4.047400D-01  3.716000D+00  3.720124D+00 -1.109838D-03
  4.297000D-01  3.262900D+07  3.261803D+07  3.361509D-04  4.300600D-01  2.820100D+00  2.821905D+00 -6.401920D-04
  4.550400D-01  3.160400D+07  3.159724D+07  2.138208D-04  4.553500D-01  2.152100D+00  2.151948D+00  7.075642D-05
  4.803100D-01  3.063400D+07  3.063012D+07  1.265389D-04  4.806300D-01  1.651700D+00  1.650170D+00  9.263972D-04
  5.056600D-01  2.971200D+07  2.970277D+07  3.107881D-04  5.059200D-01  1.273700D+00  1.272366D+00  1.047310D-03
  5.309600D-01  2.882200D+07  2.881225D+07  3.383686D-04  5.312100D-01  9.885000D-01  9.865916D-01  1.930650D-03
  5.563000D-01  2.797200D+07  2.794776D+07  8.665970D-04  5.565100D-01  7.705400D-01  7.692488D-01  1.675693D-03
  5.816000D-01  2.713000D+07  2.710459D+07  9.366388D-04  5.818100D-01  6.044500D-01  6.029828D-01  2.427403D-03
  6.069300D-01  2.631100D+07  2.627121D+07  1.512424D-03  6.071100D-01  4.763400D-01  4.751184D-01  2.564534D-03
  6.322300D-01  2.548300D+07  2.543766D+07  1.779210D-03  6.324300D-01  3.775600D-01  3.762206D-01  3.547388D-03
  6.575400D-01  2.463700D+07  2.458446D+07  2.132472D-03  6.577200D-01  3.009500D-01  2.995791D-01  4.555340D-03
  6.828300D-01  2.370600D+07  2.366196D+07  1.857888D-03  6.830400D-01  2.419700D-01  2.403256D-01  6.795923D-03
  7.081100D-01  2.261400D+07  2.260670D+07  3.227569D-04  7.083800D-01  1.968500D-01  1.947650D-01  1.059176D-02
  7.333700D-01  2.125700D+07  2.125728D+07 -1.314113D-05  7.337100D-01  1.628100D-01  1.608990D-01  1.173766D-02
  7.586900D-01  1.988100D+07  1.988082D+07  8.807065D-06  7.590300D-01  1.331100D-01  1.314941D-01  1.213965D-02
  7.840400D-01  1.849500D+07  1.849295D+07  1.105850D-04  7.843500D-01  1.070300D-01  1.057521D-01  1.193960D-02
  8.093400D-01  1.708900D+07  1.708721D+07  1.049809D-04  8.096700D-01  8.431500D-02  8.331722D-02  1.183398D-02
  8.346400D-01  1.564900D+07  1.564694D+07  1.313521D-04  8.349900D-01  6.466700D-02  6.389199D-02  1.198461D-02
  8.599500D-01  1.415600D+07  1.415249D+07  2.482337D-04  8.603100D-01  4.780000D-02  4.722801D-02  1.196624D-02
  8.852700D-01  1.258200D+07  1.257700D+07  3.977113D-04  8.856400D-01  3.350700D-02  3.311134D-02  1.180832D-02
  9.106000D-01  1.088100D+07  1.087761D+07  3.115559D-04  9.109600D-01  2.165700D-02  2.139949D-02  1.189029D-02
  9.359000D-01  8.977100D+06  8.979640D+06 -2.829018D-04  9.362800D-01  1.215700D-02  1.200171D-02  1.277363D-02
  9.566100D-01  7.138800D+06  7.164848D+06 -3.648724D-03  9.575400D-01  5.983500D-03  5.908641D-03  1.251093D-02
