   R/R_sun      m/M_sun       T         Li    Be 
 9.75258e-04 1.00192e-07 1.56612e+07 -11 -11  
 9.90345e-04 1.04914e-07 1.56612e+07 -11 -11  
 1.00566e-03 1.09858e-07 1.56612e+07 -11 -11  
 1.02122e-03 1.15036e-07 1.56612e+07 -11 -11  
 1.03702e-03 1.20457e-07 1.56612e+07 -11 -11  
 1.05306e-03 1.26134e-07 1.56611e+07 -11 -11  
 1.06935e-03 1.32079e-07 1.56611e+07 -11 -11  
 1.08589e-03 1.38304e-07 1.56611e+07 -11 -11  
 1.10269e-03 1.44822e-07 1.56611e+07 -11 -11  
 1.11975e-03 1.51647e-07 1.56611e+07 -11 -11  
 1.13707e-03 1.58794e-07 1.56611e+07 -11 -11  
 1.15466e-03 1.66278e-07 1.56611e+07 -11 -11  
 1.17252e-03 1.74114e-07 1.56610e+07 -11 -11  
 1.19066e-03 1.82320e-07 1.56610e+07 -11 -11  
 1.20908e-03 1.90912e-07 1.56610e+07 -11 -11  
 1.22778e-03 1.99910e-07 1.56610e+07 -11 -11  
 1.24678e-03 2.09331e-07 1.56610e+07 -11 -11  
 1.26606e-03 2.19196e-07 1.56610e+07 -11 -11  
 1.28565e-03 2.29527e-07 1.56610e+07 -11 -11  
 1.30554e-03 2.40344e-07 1.56609e+07 -11 -11  
 1.32573e-03 2.51671e-07 1.56609e+07 -11 -11  
 1.34624e-03 2.63532e-07 1.56609e+07 -11 -11  
 1.36707e-03 2.75952e-07 1.56609e+07 -11 -11  
 1.38821e-03 2.88957e-07 1.56609e+07 -11 -11  
 1.40969e-03 3.02575e-07 1.56608e+07 -11 -11  
 1.43150e-03 3.16835e-07 1.56608e+07 -11 -11  
 1.45364e-03 3.31767e-07 1.56608e+07 -11 -11  
 1.47613e-03 3.47403e-07 1.56608e+07 -11 -11  
 1.49897e-03 3.63776e-07 1.56607e+07 -11 -11  
 1.52216e-03 3.80920e-07 1.56607e+07 -11 -11  
 1.54570e-03 3.98872e-07 1.56607e+07 -11 -11  
 1.56962e-03 4.17670e-07 1.56607e+07 -11 -11  
 1.59390e-03 4.37354e-07 1.56606e+07 -11 -11  
 1.61856e-03 4.57966e-07 1.56606e+07 -11 -11  
 1.64360e-03 4.79550e-07 1.56606e+07 -11 -11  
 1.66902e-03 5.02150e-07 1.56606e+07 -11 -11  
 1.69484e-03 5.25816e-07 1.56605e+07 -11 -11  
 1.72106e-03 5.50597e-07 1.56605e+07 -11 -11  
 1.74769e-03 5.76545e-07 1.56605e+07 -11 -11  
 1.77473e-03 6.03717e-07 1.56604e+07 -11 -11  
 1.80218e-03 6.32169e-07 1.56604e+07 -11 -11  
 1.83006e-03 6.61963e-07 1.56604e+07 -11 -11  
 1.85837e-03 6.93160e-07 1.56603e+07 -11 -11  
 1.88712e-03 7.25828e-07 1.56603e+07 -11 -11  
 1.91632e-03 7.60035e-07 1.56603e+07 -11 -11  
 1.94597e-03 7.95854e-07 1.56602e+07 -11 -11  
