   age(Myr)     LI7    Be9 
    0.020  3.301  1.440  
    0.020  3.301  1.440  
    0.030  3.301  1.440  
    0.030  3.301  1.440  
    0.040  3.301  1.440  
    0.040  3.301  1.440  
    0.050  3.301  1.440  
    0.050  3.301  1.440  
    0.060  3.301  1.440  
    0.060  3.301  1.440  
    0.070  3.301  1.440  
    0.080  3.301  1.440  
    0.080  3.301  1.440  
    0.090  3.301  1.440  
    0.100  3.301  1.440  
    0.100  3.301  1.440  
    0.110  3.301  1.440  
    0.120  3.301  1.440  
    0.130  3.301  1.440  
    0.130  3.301  1.440  
    0.140  3.301  1.440  
    0.150  3.301  1.440  
    0.160  3.301  1.440  
    0.170  3.301  1.440  
    0.180  3.301  1.440  
    0.190  3.301  1.440  
    0.200  3.301  1.440  
    0.210  3.301  1.440  
    0.220  3.301  1.440  
    0.230  3.301  1.440  
    0.240  3.301  1.440  
    0.260  3.301  1.440  
    0.270  3.301  1.440  
    0.280  3.301  1.440  
    0.290  3.301  1.440  
    0.310  3.301  1.440  
    0.320  3.301  1.440  
    0.340  3.301  1.440  
    0.350  3.301  1.440  
    0.370  3.301  1.440  
    0.380  3.301  1.440  
    0.400  3.301  1.440  
    0.420  3.301  1.440  
    0.440  3.301  1.440  
    0.460  3.301  1.440  
    0.470  3.301  1.440  
    0.490  3.301  1.440  
    0.520  3.301  1.440  
    0.540  3.301  1.440  
    0.560  3.301  1.440  
    0.580  3.301  1.440  
    0.610  3.301  1.440  
    0.630  3.301  1.440  
    0.660  3.301  1.440  
    0.680  3.301  1.440  
    0.710  3.301  1.440  
    0.740  3.301  1.440  
    0.770  3.301  1.440  
    0.800  3.301  1.440  
    0.830  3.301  1.440  
    0.860  3.301  1.440  
    0.900  3.301  1.440  
    0.930  3.301  1.440  
    0.970  3.301  1.440  
    1.000  3.300  1.440  
    1.040  3.300  1.440  
    1.080  3.300  1.440  
    1.120  3.300  1.440  
    1.160  3.299  1.440  
    1.210  3.299  1.440  
    1.260  3.298  1.440  
    1.300  3.297  1.440  
    1.350  3.296  1.440  
    1.410  3.295  1.440  
    1.460  3.293  1.440  
    1.520  3.291  1.440  
    1.570  3.287  1.440  
    1.630  3.283  1.440  
    1.700  3.278  1.440  
    1.760  3.272  1.440  
    1.830  3.266  1.440  
    1.900  3.258  1.440  
    1.970  3.249  1.440  
    2.000  3.245  1.440  
    2.050  3.238  1.440  
    2.110  3.228  1.440  
    2.190  3.216  1.440  
    2.280  3.203  1.440  
    2.360  3.189  1.440  
    2.450  3.174  1.440  
    2.540  3.158  1.440  
    2.640  3.141  1.439  
    2.730  3.122  1.439  
    2.840  3.102  1.439  
    2.940  3.082  1.439  
    3.050  3.060  1.439  
    3.160  3.037  1.439  
    3.270  3.013  1.439  
    3.390  2.989  1.439  
    3.510  2.962  1.439  
    3.640  2.937  1.439  
    3.760  2.909  1.439  
    3.900  2.880  1.439  
    4.030  2.851  1.439  
    4.170  2.821  1.438  
    4.320  2.792  1.438  
    4.460  2.761  1.438  
    4.620  2.729  1.438  
    4.770  2.697  1.438  
    4.930  2.662  1.438  
    5.000  2.648  1.438  
    5.100  2.627  1.438  
    5.260  2.596  1.438  
    5.430  2.563  1.438  
    5.600  2.529  1.438  
    5.780  2.497  1.438  
    5.970  2.463  1.437  
    6.160  2.431  1.437  
    6.350  2.399  1.437  
    6.540  2.367  1.437  
    6.750  2.336  1.437  
    6.950  2.306  1.437  
    7.160  2.277  1.437  
    7.370  2.249  1.437  
    7.590  2.220  1.437  
    7.810  2.193  1.437  
    8.030  2.168  1.437  
    8.260  2.142  1.437  
    8.490  2.117  1.437  
