   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1406.84  1472.28  1535.34  1591.55   0.0890   0.1527  
   10  1547.81  1612.07  1674.05  1729.09   0.0885   0.1513  
   11  1686.17  1748.85  1809.74  1865.29   0.0876   0.1475  
   12  1821.67  1884.64  1945.36  2001.26   0.0880   0.1464  
   13  1957.00  2020.25  2081.58  2137.77   0.0860   0.1445  
   14  2093.03  2156.45  2217.29  2273.52   0.0842   0.1400  
   15  2228.35  2291.78  2352.30  2407.65   0.0817   0.1376  
   16  2362.90  2425.78  2486.29  2541.71   0.0788   0.1343  
   17  2496.61  2559.90  2620.59  2676.23   0.0772   0.1312  
   18  2630.61  2694.55  2756.03  2811.46   0.0747   0.1287  
   19  2765.78  2830.05  2891.81  2947.07   0.0721   0.1244  
   20  2901.29  2966.09  3027.99  3082.43   0.0700   0.1211  
   21  3037.12  3101.97  3164.24  3217.90   0.0672   0.1179  
   22  3173.10  3238.18  3300.55  3353.68   0.0651   0.1142  
   23  3309.12  3374.64  3437.46  3489.70   0.0630   0.1115  
   24  3445.76  3511.45  3574.63  3626.28   0.0607   0.1080  
   25  3582.70  3648.77  3712.13  3762.99   0.0589   0.1048  
   26  3719.93  3786.17  3849.92  3900.63   0.0569   0.1020  
   27  3857.50  3923.87  3987.74  4058.16   0.0551   0.0987  
   28  3995.10  4061.74  4125.84  4216.58   0.0535   0.0960  
   29  4132.96  4199.61  4263.93  4323.96   0.0517   0.0932  
