   R/R_sun      m/M_sun       T         Li    Be 
 9.76978e-04 1.00192e-07 1.56099e+07 -11 -44.029  
 9.92091e-04 1.04914e-07 1.56099e+07 -11 -44.029  
 1.00744e-03 1.09858e-07 1.56098e+07 -11 -44.029  
 1.02302e-03 1.15036e-07 1.56098e+07 -11 -44.029  
 1.03885e-03 1.20457e-07 1.56098e+07 -11 -44.029  
 1.05492e-03 1.26134e-07 1.56098e+07 -11 -44.029  
 1.07124e-03 1.32079e-07 1.56098e+07 -11 -44.029  
 1.08781e-03 1.38304e-07 1.56098e+07 -11 -44.029  
 1.10463e-03 1.44822e-07 1.56098e+07 -11 -44.029  
 1.12172e-03 1.51647e-07 1.56098e+07 -11 -44.029  
 1.13907e-03 1.58794e-07 1.56098e+07 -11 -44.029  
 1.15669e-03 1.66278e-07 1.56097e+07 -11 -44.029  
 1.17459e-03 1.74114e-07 1.56097e+07 -11 -44.029  
 1.19276e-03 1.82320e-07 1.56097e+07 -11 -44.029  
 1.21121e-03 1.90912e-07 1.56097e+07 -11 -44.029  
 1.22995e-03 1.99910e-07 1.56097e+07 -11 -44.029  
 1.24897e-03 2.09331e-07 1.56097e+07 -11 -44.029  
 1.26830e-03 2.19196e-07 1.56096e+07 -11 -44.029  
 1.28791e-03 2.29527e-07 1.56096e+07 -11 -44.029  
 1.30784e-03 2.40344e-07 1.56096e+07 -11 -44.029  
 1.32807e-03 2.51671e-07 1.56096e+07 -11 -44.029  
 1.34862e-03 2.63532e-07 1.56096e+07 -11 -44.029  
 1.36948e-03 2.75952e-07 1.56096e+07 -11 -44.029  
 1.39066e-03 2.88957e-07 1.56095e+07 -11 -44.029  
 1.41218e-03 3.02575e-07 1.56095e+07 -11 -44.029  
 1.43402e-03 3.16835e-07 1.56095e+07 -11 -44.029  
 1.45621e-03 3.31767e-07 1.56095e+07 -11 -44.029  
 1.47873e-03 3.47403e-07 1.56095e+07 -11 -44.029  
 1.50161e-03 3.63776e-07 1.56094e+07 -11 -44.029  
 1.52484e-03 3.80920e-07 1.56094e+07 -11 -44.029  
 1.54843e-03 3.98872e-07 1.56094e+07 -11 -44.029  
 1.57238e-03 4.17670e-07 1.56094e+07 -11 -44.029  
 1.59671e-03 4.37354e-07 1.56093e+07 -11 -44.029  
 1.62141e-03 4.57966e-07 1.56093e+07 -11 -44.029  
 1.64649e-03 4.79550e-07 1.56093e+07 -11 -44.029  
 1.67196e-03 5.02150e-07 1.56092e+07 -11 -44.029  
 1.69783e-03 5.25816e-07 1.56092e+07 -11 -44.029  
 1.72410e-03 5.50597e-07 1.56092e+07 -11 -44.029  
 1.75077e-03 5.76545e-07 1.56092e+07 -11 -44.029  
 1.77785e-03 6.03717e-07 1.56091e+07 -11 -44.029  
 1.80536e-03 6.32169e-07 1.56091e+07 -11 -44.029  
 1.83329e-03 6.61963e-07 1.56091e+07 -11 -44.029  
 1.86165e-03 6.93160e-07 1.56090e+07 -11 -44.029  
 1.89045e-03 7.25828e-07 1.56090e+07 -11 -44.029  
 1.91970e-03 7.60035e-07 1.56089e+07 -11 -44.029  
 1.94940e-03 7.95854e-07 1.56089e+07 -11 -44.029  
 1.97955e-03 8.33362e-07 1.56089e+07 -11 -44.029  
 2.01018e-03 8.72637e-07 1.56088e+07 -11 -44.029  
 2.04128e-03 9.13763e-07 1.56088e+07 -11 -44.029  
 2.07286e-03 9.56827e-07 1.56087e+07 -11 -44.029  
 2.10493e-03 1.00192e-06 1.56087e+07 -11 -44.029  
 2.13749e-03 1.04914e-06 1.56086e+07 -11 -44.029  
 2.17056e-03 1.09858e-06 1.56086e+07 -11 -44.029  
 2.20414e-03 1.15036e-06 1.56085e+07 -11 -44.029  
 2.23825e-03 1.20457e-06 1.56085e+07 -11 -44.029  
 2.27288e-03 1.26134e-06 1.56084e+07 -11 -44.029  
 2.30804e-03 1.32079e-06 1.56084e+07 -11 -44.029  
 2.34375e-03 1.38304e-06 1.56083e+07 -11 -44.029  
 2.38001e-03 1.44822e-06 1.56083e+07 -11 -44.029  
 2.41683e-03 1.51647e-06 1.56082e+07 -11 -44.029  
 2.45423e-03 1.58794e-06 1.56082e+07 -11 -44.029  
 2.49220e-03 1.66278e-06 1.56081e+07 -11 -44.029  
 2.53076e-03 1.74114e-06 1.56080e+07 -11 -44.029  
 2.56991e-03 1.82320e-06 1.56080e+07 -11 -44.029  
 2.60968e-03 1.90912e-06 1.56079e+07 -11 -44.029  
 2.65005e-03 1.99910e-06 1.56078e+07 -11 -44.029  
 2.69105e-03 2.09331e-06 1.56077e+07 -11 -44.029  
 2.73269e-03 2.19196e-06 1.56077e+07 -11 -44.029  
 2.77497e-03 2.29527e-06 1.56076e+07 -11 -44.029  
 2.81791e-03 2.40344e-06 1.56075e+07 -11 -44.029  
 2.86151e-03 2.51671e-06 1.56074e+07 -11 -44.029  
 2.90579e-03 2.63532e-06 1.56073e+07 -11 -44.029  
 2.95075e-03 2.75952e-06 1.56072e+07 -11 -44.029  
 2.99641e-03 2.88957e-06 1.56072e+07 -11 -44.029  
 3.04277e-03 3.02575e-06 1.56071e+07 -11 -44.029  
 3.08985e-03 3.16835e-06 1.56070e+07 -11 -44.029  
 3.13766e-03 3.31767e-06 1.56069e+07 -11 -44.029  
 3.18622e-03 3.47403e-06 1.56068e+07 -11 -44.029  
 3.23552e-03 3.63776e-06 1.56066e+07 -11 -44.029  
 3.28559e-03 3.80920e-06 1.56065e+07 -11 -44.029  
 3.33643e-03 3.98872e-06 1.56064e+07 -11 -44.029  
 3.38806e-03 4.17670e-06 1.56063e+07 -11 -44.029  
 3.44049e-03 4.37354e-06 1.56062e+07 -11 -44.029  
 3.49373e-03 4.57966e-06 1.56061e+07 -11 -44.029  
 3.54779e-03 4.79550e-06 1.56059e+07 -11 -44.029  
 3.60269e-03 5.02150e-06 1.56058e+07 -11 -44.029  
 3.65845e-03 5.25816e-06 1.56057e+07 -11 -44.029  
