   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1406.84  1472.29  1535.25  1591.55   0.0896   0.1537  
   10  1547.77  1611.85  1673.76  1729.09   0.0889   0.1520  
   11  1685.98  1748.64  1809.39  1865.29   0.0884   0.1482  
   12  1821.38  1884.34  1945.09  2001.26   0.0885   0.1474  
   13  1956.80  2019.92  2081.16  2137.77   0.0864   0.1449  
   14  2092.68  2156.07  2216.79  2273.52   0.0848   0.1407  
   15  2227.89  2291.18  2351.67  2407.65   0.0821   0.1383  
   16  2362.35  2425.15  2485.56  2541.71   0.0794   0.1347  
   17  2495.94  2559.29  2619.97  2676.23   0.0777   0.1320  
   18  2630.04  2693.92  2755.37  2811.46   0.0750   0.1292  
   19  2765.19  2829.47  2891.09  2947.07   0.0726   0.1249  
   20  2900.60  2965.37  3027.25  3082.43   0.0702   0.1218  
   21  3036.41  3101.18  3163.37  3217.90   0.0675   0.1183  
   22  3172.26  3237.38  3299.70  3353.68   0.0655   0.1148  
   23  3308.29  3373.76  3436.60  3489.70   0.0632   0.1120  
   24  3444.93  3510.61  3573.71  3626.28   0.0610   0.1084  
   25  3581.80  3647.88  3711.22  3762.99   0.0591   0.1053  
   26  3719.04  3785.22  3848.93  3900.63   0.0570   0.1023  
   27  3856.53  3922.92  3986.73  4058.16   0.0553   0.0990  
   28  3994.10  4060.70  4124.79  4216.58   0.0536   0.0964  
   29  4131.94  4198.56  4262.80  4323.96   0.0518   0.0934  
