   R/R_sun      m/M_sun       T         Li    Be 
 1.20619e-03 1.00192e-07 1.37792e+07 -inf -inf  
 1.22485e-03 1.04914e-07 1.37792e+07 -inf -inf  
 1.24380e-03 1.09858e-07 1.37792e+07 -inf -inf  
 1.26304e-03 1.15036e-07 1.37792e+07 -inf -inf  
 1.28257e-03 1.20457e-07 1.37792e+07 -inf -inf  
 1.30241e-03 1.26134e-07 1.37792e+07 -inf -inf  
 1.32256e-03 1.32079e-07 1.37791e+07 -inf -inf  
 1.34302e-03 1.38304e-07 1.37791e+07 -inf -inf  
 1.36380e-03 1.44822e-07 1.37791e+07 -inf -inf  
 1.38489e-03 1.51647e-07 1.37791e+07 -inf -inf  
 1.40632e-03 1.58794e-07 1.37791e+07 -inf -inf  
 1.42807e-03 1.66278e-07 1.37791e+07 -inf -inf  
 1.45016e-03 1.74114e-07 1.37791e+07 -inf -inf  
 1.47259e-03 1.82320e-07 1.37791e+07 -inf -inf  
 1.49537e-03 1.90912e-07 1.37791e+07 -inf -inf  
 1.51851e-03 1.99910e-07 1.37790e+07 -inf -inf  
 1.54200e-03 2.09331e-07 1.37790e+07 -inf -inf  
 1.56585e-03 2.19196e-07 1.37790e+07 -inf -inf  
 1.59007e-03 2.29527e-07 1.37790e+07 -inf -inf  
 1.61467e-03 2.40344e-07 1.37790e+07 -inf -inf  
 1.63965e-03 2.51671e-07 1.37790e+07 -inf -inf  
 1.66501e-03 2.63532e-07 1.37790e+07 -inf -inf  
 1.69077e-03 2.75952e-07 1.37790e+07 -inf -inf  
 1.71692e-03 2.88957e-07 1.37790e+07 -inf -inf  
 1.74348e-03 3.02575e-07 1.37789e+07 -inf -inf  
 1.77045e-03 3.16835e-07 1.37789e+07 -inf -inf  
 1.79784e-03 3.31767e-07 1.37789e+07 -inf -inf  
 1.82565e-03 3.47403e-07 1.37789e+07 -inf -inf  
 1.85389e-03 3.63776e-07 1.37789e+07 -inf -inf  
 1.88257e-03 3.80920e-07 1.37788e+07 -inf -inf  
 1.91169e-03 3.98872e-07 1.37788e+07 -inf -inf  
 1.94127e-03 4.17670e-07 1.37788e+07 -inf -inf  
 1.97130e-03 4.37354e-07 1.37788e+07 -inf -inf  
 2.00179e-03 4.57966e-07 1.37788e+07 -inf -inf  
 2.03276e-03 4.79550e-07 1.37788e+07 -inf -inf  
 2.06420e-03 5.02150e-07 1.37787e+07 -inf -inf  
 2.09613e-03 5.25816e-07 1.37787e+07 -inf -inf  
 2.12856e-03 5.50597e-07 1.37787e+07 -inf -inf  
 2.16149e-03 5.76545e-07 1.37787e+07 -inf -inf  
 2.19493e-03 6.03717e-07 1.37786e+07 -inf -inf  
 2.22888e-03 6.32169e-07 1.37786e+07 -inf -inf  
 2.26336e-03 6.61963e-07 1.37786e+07 -inf -inf  
 2.29837e-03 6.93160e-07 1.37786e+07 -inf -inf  
 2.33393e-03 7.25828e-07 1.37786e+07 -inf -inf  
 2.37003e-03 7.60035e-07 1.37785e+07 -inf -inf  
 2.40670e-03 7.95854e-07 1.37785e+07 -inf -inf  
 2.44393e-03 8.33362e-07 1.37785e+07 -inf -inf  
 2.48173e-03 8.72637e-07 1.37784e+07 -inf -inf  
 2.52012e-03 9.13763e-07 1.37784e+07 -inf -inf  
 2.55911e-03 9.56827e-07 1.37784e+07 -inf -inf  
 2.59870e-03 1.00192e-06 1.37783e+07 -inf -inf  
 2.63890e-03 1.04914e-06 1.37783e+07 -inf -inf  
 2.67972e-03 1.09858e-06 1.37783e+07 -inf -inf  
 2.72118e-03 1.15036e-06 1.37782e+07 -inf -inf  
 2.76327e-03 1.20457e-06 1.37782e+07 -inf -inf  
 2.80602e-03 1.26134e-06 1.37782e+07 -inf -inf  
 2.84943e-03 1.32079e-06 1.37781e+07 -inf -inf  
 2.89351e-03 1.38304e-06 1.37781e+07 -inf -inf  
 2.93827e-03 1.44822e-06 1.37780e+07 -inf -inf  
 2.98373e-03 1.51647e-06 1.37780e+07 -inf -inf  
 3.02989e-03 1.58794e-06 1.37780e+07 -inf -inf  
 3.07676e-03 1.66278e-06 1.37779e+07 -inf -inf  
 3.12436e-03 1.74114e-06 1.37779e+07 -inf -inf  
 3.17269e-03 1.82320e-06 1.37778e+07 -inf -inf  
 3.22177e-03 1.90912e-06 1.37778e+07 -inf -inf  
 3.27161e-03 1.99910e-06 1.37777e+07 -inf -inf  
 3.32222e-03 2.09331e-06 1.37777e+07 -inf -inf  
 3.37362e-03 2.19196e-06 1.37776e+07 -inf -inf  
 3.42581e-03 2.29527e-06 1.37776e+07 -inf -inf  
 3.47881e-03 2.40344e-06 1.37775e+07 -inf -inf  
 3.53263e-03 2.51671e-06 1.37774e+07 -inf -inf  
 3.58728e-03 2.63532e-06 1.37774e+07 -inf -inf  
 3.64278e-03 2.75952e-06 1.37773e+07 -inf -inf  
 3.69913e-03 2.88957e-06 1.37772e+07 -inf -inf  
 3.75636e-03 3.02575e-06 1.37772e+07 -inf -inf  
 3.81447e-03 3.16835e-06 1.37771e+07 -inf -inf  
 3.87348e-03 3.31767e-06 1.37770e+07 -inf -inf  
 3.93341e-03 3.47403e-06 1.37770e+07 -inf -inf  
 3.99426e-03 3.63776e-06 1.37769e+07 -inf -inf  
 4.05606e-03 3.80920e-06 1.37768e+07 -inf -inf  
 4.11881e-03 3.98872e-06 1.37767e+07 -inf -inf  
 4.18253e-03 4.17670e-06 1.37766e+07 -inf -inf  
 4.24724e-03 4.37354e-06 1.37766e+07 -inf -inf  
 4.31294e-03 4.57966e-06 1.37765e+07 -inf -inf  
 4.37967e-03 4.79550e-06 1.37764e+07 -inf -inf  
 4.44743e-03 5.02150e-06 1.37763e+07 -inf -inf  
 4.51624e-03 5.25816e-06 1.37762e+07 -inf -inf  
 4.58611e-03 5.50597e-06 1.37761e+07 -inf -inf  
 4.65706e-03 5.76545e-06 1.37760e+07 -inf -inf  
 4.72911e-03 6.03717e-06 1.37759e+07 -inf -inf  
 4.80228e-03 6.32169e-06 1.37758e+07 -inf -inf  
 4.87658e-03 6.61963e-06 1.37756e+07 -inf -inf  
 4.95202e-03 6.93160e-06 1.37755e+07 -inf -inf  
 5.02864e-03 7.25828e-06 1.37754e+07 -inf -inf  
 5.10644e-03 7.60035e-06 1.37753e+07 -inf -inf  
 5.18545e-03 7.95854e-06 1.37751e+07 -inf -inf  
 5.26568e-03 8.33362e-06 1.37750e+07 -inf -inf  
 5.34715e-03 8.72637e-06 1.37749e+07 -inf -inf  
 5.42988e-03 9.13763e-06 1.37747e+07 -inf -inf  
 5.51389e-03 9.56827e-06 1.37746e+07 -inf -inf  
 5.59921e-03 1.00192e-05 1.37744e+07 -inf -inf  
 5.68584e-03 1.04914e-05 1.37743e+07 -inf -inf  
 5.77381e-03 1.09858e-05 1.37741e+07 -inf -inf  
 5.86315e-03 1.15036e-05 1.37740e+07 -inf -inf  
 5.95387e-03 1.20457e-05 1.37738e+07 -inf -inf  
 6.04600e-03 1.26134e-05 1.37736e+07 -inf -inf  
 6.13954e-03 1.32079e-05 1.37734e+07 -inf -inf  
 6.23454e-03 1.38304e-05 1.37732e+07 -inf -inf  
 6.33101e-03 1.44822e-05 1.37730e+07 -inf -inf  
 6.42897e-03 1.51647e-05 1.37728e+07 -inf -inf  
 6.52845e-03 1.58794e-05 1.37726e+07 -inf -inf  
 6.62947e-03 1.66278e-05 1.37724e+07 -inf -inf  
 6.73206e-03 1.74114e-05 1.37722e+07 -inf -inf  
 6.83623e-03 1.82320e-05 1.37720e+07 -inf -inf  
 6.94201e-03 1.90912e-05 1.37718e+07 -inf -inf  
 7.04944e-03 1.99910e-05 1.37715e+07 -inf -inf  
 7.15852e-03 2.09331e-05 1.37713e+07 -inf -inf  
 7.26930e-03 2.19196e-05 1.37710e+07 -inf -inf  
 7.38179e-03 2.29527e-05 1.37708e+07 -inf -inf  
 7.49602e-03 2.40344e-05 1.37705e+07 -inf -inf  
 7.61203e-03 2.51671e-05 1.37702e+07 -inf -inf  
 7.72983e-03 2.63532e-05 1.37699e+07 -inf -inf  
 7.84945e-03 2.75952e-05 1.37696e+07 -inf -inf  
 7.97093e-03 2.88957e-05 1.37693e+07 -inf -inf  
 8.09428e-03 3.02575e-05 1.37690e+07 -inf -inf  
 8.21955e-03 3.16835e-05 1.37687e+07 -inf -inf  
 8.34676e-03 3.31767e-05 1.37683e+07 -inf -inf  
 8.47594e-03 3.47403e-05 1.37680e+07 -inf -inf  
 8.60712e-03 3.63776e-05 1.37676e+07 -inf -inf  
 8.74034e-03 3.80920e-05 1.37673e+07 -inf -inf  
 8.87562e-03 3.98872e-05 1.37669e+07 -inf -inf  
 9.01299e-03 4.17670e-05 1.37665e+07 -inf -inf  
 9.15249e-03 4.37354e-05 1.37661e+07 -inf -inf  
 9.29416e-03 4.57966e-05 1.37657e+07 -inf -inf  
 9.43802e-03 4.79550e-05 1.37652e+07 -inf -inf  
 9.58411e-03 5.02150e-05 1.37648e+07 -inf -inf  
 9.73246e-03 5.25816e-05 1.37644e+07 -inf -inf  
 9.88312e-03 5.50597e-05 1.37639e+07 -inf -inf  
 1.00361e-02 5.76545e-05 1.37634e+07 -inf -inf  
 1.01915e-02 6.03717e-05 1.37629e+07 -inf -inf  
 1.03492e-02 6.32169e-05 1.37624e+07 -inf -inf  
 1.05095e-02 6.61963e-05 1.37619e+07 -inf -inf  
 1.06722e-02 6.93160e-05 1.37613e+07 -inf -inf  
 1.08374e-02 7.25828e-05 1.37607e+07 -inf -inf  
