 
     R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho  
  6.194900D-02  5.117000D+07  5.113271D+07  7.287431D-04  5.888400D-02  1.207800D+02  1.201233D+02  5.437218D-03
  7.494800D-02  5.116900D+07  5.113879D+07  5.904025D-04  7.722500D-02  1.053200D+02  1.048828D+02  4.151280D-03
  1.005200D-01  5.080300D+07  5.078749D+07  3.053195D-04  1.020800D-01  8.593700D+01  8.562692D+01  3.608185D-03
  1.273300D-01  4.985800D+07  4.986637D+07 -1.679759D-04  1.270600D-01  6.922600D+01  6.903786D+01  2.717761D-03
  1.520800D-01  4.855900D+07  4.859358D+07 -7.122194D-04  1.516200D-01  5.551000D+01  5.543923D+01  1.274836D-03
  1.763600D-01  4.703300D+07  4.708313D+07 -1.065869D-03  1.770900D-01  4.377200D+01  4.377288D+01 -2.005993D-05
  2.018400D-01  4.531600D+07  4.535170D+07 -7.877767D-04  2.023300D-01  3.422100D+01  3.428246D+01 -1.796012D-03
  2.274600D-01  4.356900D+07  4.357704D+07 -1.846271D-04  2.273000D-01  2.651400D+01  2.662336D+01 -4.124462D-03
  2.525300D-01  4.189700D+07  4.188330D+07  3.269029D-04  2.527700D-01  2.023400D+01  2.035172D+01 -5.818103D-03
  2.777100D-01  4.030100D+07  4.026458D+07  9.037401D-04  2.780300D-01  1.535500D+01  1.545504D+01 -6.514948D-03
  3.032000D-01  3.879800D+07  3.873893D+07  1.522448D-03  3.033300D-01  1.157000D+01  1.165236D+01 -7.118114D-03
  3.284700D-01  3.739500D+07  3.733344D+07  1.646078D-03  3.287900D-01  8.683800D+00  8.739798D+00 -6.448553D-03
  3.537000D-01  3.609000D+07  3.602594D+07  1.774876D-03  3.540300D-01  6.534600D+00  6.567821D+00 -5.083860D-03
  3.791200D-01  3.486600D+07  3.479685D+07  1.983313D-03  3.794600D-01  4.912300D+00  4.932431D+00 -4.098149D-03
  4.043900D-01  3.371000D+07  3.365326D+07  1.683309D-03  4.047400D-01  3.716000D+00  3.722088D+00 -1.638380D-03
  4.297000D-01  3.262900D+07  3.257689D+07  1.596914D-03  4.300600D-01  2.820100D+00  2.819533D+00  2.011709D-04
  4.550400D-01  3.160400D+07  3.156036D+07  1.380950D-03  4.553500D-01  2.152100D+00  2.147148D+00  2.300899D-03
  4.803100D-01  3.063400D+07  3.059971D+07  1.119221D-03  4.806300D-01  1.651700D+00  1.644087D+00  4.609233D-03
  5.056600D-01  2.971200D+07  2.968083D+07  1.049127D-03  5.059200D-01  1.273700D+00  1.265904D+00  6.120925D-03
  5.309600D-01  2.882200D+07  2.879971D+07  7.733916D-04  5.312100D-01  9.885000D-01  9.803734D-01  8.221126D-03
  5.563000D-01  2.797200D+07  2.794373D+07  1.010777D-03  5.565100D-01  7.705400D-01  7.635913D-01  9.017960D-03
  5.816000D-01  2.713000D+07  2.710569D+07  8.960021D-04  5.818100D-01  6.044500D-01  5.981913D-01  1.035434D-02
  6.069300D-01  2.631100D+07  2.627045D+07  1.541170D-03  6.071100D-01  4.763400D-01  4.713451D-01  1.048600D-02
  6.322300D-01  2.548300D+07  2.542371D+07  2.326462D-03  6.324300D-01  3.775600D-01  3.735088D-01  1.072994D-02
  6.575400D-01  2.463700D+07  2.454523D+07  3.725079D-03  6.577200D-01  3.009500D-01  2.978176D-01  1.040829D-02
  6.828300D-01  2.370600D+07  2.360659D+07  4.193400D-03  6.830400D-01  2.419700D-01  2.389521D-01  1.247214D-02
  7.081100D-01  2.261400D+07  2.256430D+07  2.197536D-03  7.083800D-01  1.968500D-01  1.931841D-01  1.862271D-02
  7.333700D-01  2.125700D+07  2.125776D+07 -3.590010D-05  7.337100D-01  1.628100D-01  1.589435D-01  2.374840D-02
  7.586900D-01  1.988100D+07  1.988098D+07  1.064865D-06  7.590300D-01  1.331100D-01  1.298914D-01  2.418007D-02
  7.840400D-01  1.849500D+07  1.849283D+07  1.171953D-04  7.843500D-01  1.070300D-01  1.044576D-01  2.403414D-02
  8.093400D-01  1.708900D+07  1.708685D+07  1.258499D-04  8.096700D-01  8.431500D-02  8.229472D-02  2.396105D-02
  8.346400D-01  1.564900D+07  1.564632D+07  1.711489D-04  8.349900D-01  6.466700D-02  6.310578D-02  2.414246D-02
  8.599500D-01  1.415600D+07  1.415161D+07  3.099097D-04  8.603100D-01  4.780000D-02  4.664423D-02  2.417919D-02
  8.852700D-01  1.258200D+07  1.257583D+07  4.903007D-04  8.856400D-01  3.350700D-02  3.269947D-02  2.410022D-02
  9.106000D-01  1.088100D+07  1.087619D+07  4.417257D-04  9.109600D-01  2.165700D-02  2.113096D-02  2.428943D-02
  9.359000D-01  8.977100D+06  8.977809D+06 -7.895397D-05  9.362800D-01  1.215700D-02  1.184878D-02  2.535300D-02
  9.566100D-01  7.138800D+06  7.162433D+06 -3.310551D-03  9.575400D-01  5.983500D-03  5.831016D-03  2.548408D-02
