   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1406.77  1472.21  1535.27  1591.55   0.0890   0.1527  
   10  1547.75  1612.00  1673.98  1729.09   0.0885   0.1513  
   11  1686.12  1748.79  1809.68  1865.29   0.0877   0.1475  
   12  1821.61  1884.57  1945.29  2001.26   0.0881   0.1464  
   13  1956.93  2020.18  2081.51  2137.77   0.0860   0.1445  
   14  2092.96  2156.38  2217.23  2273.52   0.0842   0.1401  
   15  2228.29  2291.72  2352.24  2407.65   0.0817   0.1376  
   16  2362.85  2425.73  2486.23  2541.71   0.0788   0.1343  
   17  2496.55  2559.85  2620.53  2676.23   0.0772   0.1312  
   18  2630.54  2694.49  2755.95  2811.46   0.0747   0.1287  
   19  2765.70  2829.99  2891.74  2947.07   0.0721   0.1245  
   20  2901.21  2966.02  3027.93  3082.43   0.0699   0.1211  
   21  3037.05  3101.91  3164.17  3217.90   0.0672   0.1179  
   22  3173.02  3238.12  3300.49  3353.68   0.0651   0.1142  
   23  3309.05  3374.57  3437.40  3489.70   0.0629   0.1115  
   24  3445.69  3511.37  3574.56  3626.28   0.0607   0.1080  
   25  3582.63  3648.69  3712.07  3762.99   0.0589   0.1048  
   26  3719.86  3786.08  3849.85  3900.63   0.0568   0.1019  
   27  3857.43  3923.78  3987.67  4058.16   0.0551   0.0986  
   28  3995.03  4061.65  4125.76  4216.58   0.0535   0.0959  
   29  4132.90  4199.53  4263.85  4323.96   0.0517   0.0931  
