   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1406.78  1472.20  1535.25  1591.55   0.0889   0.1526  
   10  1547.73  1612.00  1673.96  1729.09   0.0885   0.1513  
   11  1686.08  1748.75  1809.66  1865.29   0.0876   0.1476  
   12  1821.59  1884.54  1945.26  2001.26   0.0880   0.1463  
   13  1956.89  2020.16  2081.47  2137.77   0.0860   0.1445  
   14  2092.92  2156.33  2217.18  2273.52   0.0842   0.1400  
   15  2228.24  2291.67  2352.17  2407.65   0.0818   0.1376  
   16  2362.78  2425.65  2486.16  2541.71   0.0788   0.1343  
   17  2496.48  2559.77  2620.46  2676.23   0.0772   0.1312  
   18  2630.47  2694.41  2755.89  2811.46   0.0747   0.1287  
   19  2765.64  2829.91  2891.66  2947.07   0.0721   0.1244  
   20  2901.14  2965.94  3027.84  3082.43   0.0700   0.1211  
   21  3036.96  3101.81  3164.09  3217.90   0.0672   0.1179  
   22  3172.95  3238.01  3300.37  3353.68   0.0652   0.1142  
   23  3308.94  3374.47  3437.29  3489.70   0.0631   0.1115  
   24  3445.59  3511.25  3574.45  3626.28   0.0607   0.1080  
   25  3582.53  3648.59  3711.92  3762.99   0.0590   0.1048  
   26  3719.73  3785.98  3849.73  3900.63   0.0569   0.1020  
   27  3857.31  3923.66  3987.53  4058.16   0.0551   0.0987  
   28  3994.89  4061.55  4125.61  4216.58   0.0535   0.0960  
   29  4132.73  4199.39  4263.72  4323.96   0.0517   0.0933  
