   age(Myr)     LI7    Be9 
    0.020  3.301  1.440  
    0.020  3.301  1.440  
    0.030  3.301  1.440  
    0.030  3.301  1.440  
    0.040  3.301  1.440  
    0.040  3.301  1.440  
    0.050  3.301  1.440  
    0.050  3.301  1.440  
    0.060  3.301  1.440  
    0.060  3.301  1.440  
    0.070  3.301  1.440  
    0.080  3.301  1.440  
    0.080  3.301  1.440  
    0.090  3.301  1.440  
    0.100  3.301  1.440  
    0.100  3.301  1.440  
    0.110  3.301  1.440  
    0.120  3.301  1.440  
    0.130  3.301  1.440  
    0.130  3.301  1.440  
    0.140  3.301  1.440  
    0.150  3.301  1.440  
    0.160  3.301  1.440  
    0.170  3.301  1.440  
    0.180  3.301  1.440  
    0.190  3.301  1.440  
    0.200  3.301  1.440  
    0.210  3.301  1.440  
    0.220  3.301  1.440  
    0.230  3.301  1.440  
    0.240  3.301  1.440  
    0.260  3.301  1.440  
    0.270  3.301  1.440  
    0.280  3.301  1.440  
    0.290  3.301  1.440  
    0.310  3.301  1.440  
    0.320  3.301  1.440  
    0.340  3.301  1.440  
    0.350  3.301  1.440  
    0.370  3.301  1.440  
    0.380  3.301  1.440  
    0.400  3.301  1.440  
    0.420  3.301  1.440  
    0.440  3.301  1.440  
    0.450  3.301  1.440  
    0.470  3.301  1.440  
    0.490  3.301  1.440  
    0.510  3.301  1.440  
    0.540  3.301  1.440  
    0.560  3.301  1.440  
    0.580  3.301  1.440  
    0.610  3.301  1.440  
    0.630  3.301  1.440  
    0.660  3.301  1.440  
    0.680  3.301  1.440  
    0.710  3.301  1.440  
    0.740  3.301  1.440  
    0.770  3.301  1.440  
    0.800  3.301  1.440  
    0.830  3.301  1.440  
    0.860  3.301  1.440  
    0.900  3.301  1.440  
    0.930  3.301  1.440  
    0.970  3.301  1.440  
    1.000  3.300  1.440  
    1.040  3.300  1.440  
    1.080  3.300  1.440  
    1.120  3.300  1.440  
    1.160  3.299  1.440  
    1.210  3.299  1.440  
    1.260  3.298  1.440  
    1.300  3.297  1.440  
    1.350  3.296  1.440  
    1.410  3.295  1.440  
    1.460  3.293  1.440  
    1.520  3.291  1.440  
    1.570  3.287  1.440  
    1.630  3.283  1.440  
    1.700  3.278  1.440  
    1.760  3.272  1.440  
    1.830  3.265  1.440  
    1.900  3.257  1.440  
    1.970  3.248  1.440  
    2.000  3.244  1.440  
    2.050  3.238  1.440  
    2.110  3.228  1.440  
    2.190  3.216  1.440  
    2.280  3.202  1.440  
    2.360  3.188  1.440  
    2.450  3.173  1.440  
    2.540  3.157  1.440  
    2.640  3.139  1.440  
    2.730  3.120  1.439  
    2.840  3.100  1.439  
    2.940  3.080  1.439  
    3.050  3.058  1.439  
    3.160  3.034  1.439  
    3.270  3.011  1.439  
    3.390  2.986  1.439  
    3.510  2.959  1.439  
    3.640  2.933  1.439  
    3.760  2.906  1.439  
    3.900  2.877  1.439  
    4.030  2.848  1.439  
    4.170  2.817  1.438  
    4.320  2.788  1.438  
    4.460  2.757  1.438  
    4.620  2.724  1.438  
    4.770  2.692  1.438  
    4.930  2.659  1.438  
    5.000  2.644  1.438  
    5.100  2.624  1.438  
    5.260  2.592  1.438  
    5.430  2.558  1.438  
    5.610  2.523  1.438  
    5.790  2.491  1.438  
    5.970  2.456  1.437  
    6.160  2.423  1.437  
    6.350  2.393  1.437  
    6.550  2.362  1.437  
    6.750  2.331  1.437  
    6.950  2.300  1.437  
    7.160  2.270  1.437  
    7.370  2.243  1.437  
    7.590  2.213  1.437  
    7.810  2.186  1.437  
    8.030  2.160  1.437  
    8.260  2.135  1.437  
    8.490  2.110  1.437  
