  n   l   vn0     vn1    5vn2     r01     r01w      r10       r10w     mr01    11mr10   br01     br10      r02     15r02w    sr02     sr02w    r02th    19r13    r13w     r13th    sr02th   nu3     delf0     df1     df2     df3
   8 179 1262.57 1328.83 1393.81   0.3630   0.0002   0.1159   0.0001   0.0388   0.0408   0.0388   0.0408   0.0103   0.0003   0.0004   0.0003   0.0874   0.0184   0.0000   0.1586   0.0089 1451.02     0.74     0.81     1.67     0.88
   9 179 1406.62 1472.04 1535.19   0.0404   0.0006   0.0382   0.0004   0.0403   0.0386   0.0403   0.0386   0.0832   0.0006   0.0165   0.0009   0.0889   0.1524   0.0005   0.1529   0.0158 1591.55     0.86     0.81     0.67     0.82
  10 179 1547.66 1611.84 1673.81   0.0370   0.0003   0.0367   0.0003   0.0381   0.0381   0.0381   0.0381   0.0885   0.0003   0.0185   0.0006   0.0884   0.1514   0.0004   0.1510   0.0158 1729.09     0.67     0.89     0.73     0.62
  11 179 1685.93 1748.64 1809.53   0.0379   0.0003   0.0380   0.0002   0.0386   0.0378   0.0386   0.0378   0.0870   0.0003   0.0122   0.0005   0.0876   0.1479   0.0004   0.1475   0.0133 1865.29     0.64     0.64     0.79     0.82
  12 179 1821.41 1884.32 1945.13   0.0365   0.0002   0.0349   0.0002   0.0363   0.0351   0.0363   0.0351   0.0875   0.0002   0.0161   0.0004   0.0877   0.1458   0.0003   0.1463   0.0154 2001.26     0.77     0.77     0.69     0.84
  13 179 1956.75 2019.96 2081.28   0.0340   0.0002   0.0341   0.0002   0.0346   0.0346   0.0346   0.0346   0.0860   0.0002   0.0154   0.0004   0.0858   0.1441   0.0003   0.1440   0.0140 2137.77     0.70     0.86     0.82     0.64
  14 179 2092.70 2156.18 2217.07   0.0338   0.0002   0.0327   0.0001   0.0335   0.0317   0.0335   0.0317   0.0839   0.0002   0.0178   0.0004   0.0840   0.1400   0.0003   0.1399   0.0191 2273.52     0.82     0.63     0.61     0.62
  15 179 2228.08 2291.47 2352.05   0.0312   0.0001   0.0295   0.0001   0.0306   0.0298   0.0306   0.0298   0.0821   0.0002   0.0220   0.0003   0.0813   0.1368   0.0003   0.1372   0.0207 2407.65     0.71     0.55     0.23     0.08
  16 179 2362.62 2425.51 2485.96   0.0294   0.0001   0.0294   0.0001   0.0298   0.0292   0.0298   0.0292   0.0787   0.0002   0.0185   0.0003   0.0786   0.1344   0.0003   0.1338   0.0182 2541.71     0.21     0.09    -0.06    -0.28
  17 179 2496.22 2559.56 2620.27   0.0287   0.0001   0.0275   0.0001   0.0280   0.0268   0.0280   0.0268   0.0774   0.0002   0.0186   0.0003   0.0768   0.1310   0.0003   0.1310   0.0196 2676.23    -0.00    -0.35    -0.56    -0.62
  18 179 2630.22 2694.11 2755.61   0.0264   0.0001   0.0258   0.0001   0.0262   0.0262   0.0262   0.0262   0.0748   0.0002   0.0192   0.0003   0.0742   0.1280   0.0002   0.1283   0.0178 2811.46    -0.52    -0.70    -1.07    -1.35
  19 179 2765.31 2829.63 2891.37   0.0255   0.0001   0.0251   0.0001   0.0258   0.0248   0.0258   0.0248   0.0719   0.0002   0.0193   0.0003   0.0718   0.1244   0.0002   0.1241   0.0190 2947.07    -1.10    -1.40    -1.72    -2.08
  20 179 2900.78 2965.58 3027.57   0.0242   0.0001   0.0230   0.0001   0.0238   0.0231   0.0238   0.0231   0.0700   0.0002   0.0211   0.0003   0.0695   0.1207   0.0002   0.1209   0.0207 3082.43    -1.69    -2.20    -2.74    -3.06
  21 179 3036.63 3101.43 3163.73   0.0225   0.0001   0.0222   0.0001   0.0231   0.0229   0.0231   0.0229   0.0668   0.0002   0.0200   0.0003   0.0668   0.1172   0.0002   0.1173   0.0184 3217.90    -2.81    -3.19    -3.77    -4.23
  22 179 3172.54 3237.62 3300.02   0.0219   0.0001   0.0212   0.0001   0.0223   0.0213   0.0223   0.0213   0.0647   0.0002   0.0190   0.0004   0.0648   0.1135   0.0002   0.1137   0.0196 3353.68    -3.86    -4.40    -4.83    -5.18
  23 179 3308.54 3373.99 3436.90   0.0203   0.0002   0.0198   0.0002   0.0207   0.0206   0.0207   0.0206   0.0623   0.0002   0.0205   0.0004   0.0626   0.1103   0.0003   0.1109   0.0186 3489.70    -4.95    -5.37    -6.03    -6.41
  24 179 3445.16 3510.80 3574.00   0.0197   0.0002   0.0194   0.0002   0.0205   0.0200   0.0205   0.0200   0.0607   0.0003   0.0184   0.0006   0.0605   0.1077   0.0005   0.1073   0.0177 3626.28    -6.07    -6.49    -6.97    -7.51
  25 179 3582.04 3648.10 3711.51   0.0189   0.0003   0.0184   0.0003   0.0192   0.0185   0.0192   0.0185   0.0579   0.0004   0.0183   0.0008   0.0587   0.1041   0.0007   0.1042   0.0194 3762.99    -7.14    -7.64    -7.98    -8.56
  26 179 3719.27 3785.47 3849.25   0.0181   0.0004   0.0178   0.0004   0.0184   0.0183   0.0184   0.0183   0.0555   0.0006   0.0184   0.0010   0.0566   0.1016   0.0011   0.1014   0.0177 3900.63    -8.18    -8.63    -9.17    -9.04
  27 179 3856.79 3923.19 3987.05   0.0179   0.0005   0.0181   0.0006   0.0179   0.0172   0.0179   0.0172   0.0543   0.0009   0.0153   0.0014   0.0549   0.0934   0.0019   0.0981   0.0184 4058.16    -9.30    -9.80    -9.85    10.32
  28 179 3994.36 4061.02 4125.12   0.0198   0.0008   0.0253   0.0014   0.0166   0.0163   0.0166   0.0163   0.0525   0.0012  -0.0037   0.0017   0.0531  -0.0558   0.0196   0.0956   0.0186 4216.58    -9.98   -10.51    -7.97    30.49
  29 179 4132.20 4198.88 4263.17   0.0320   0.0020   0.0353   0.0037   0.0163   0.0161   0.0163   0.0161   0.0458   0.0025  -0.0264   0.0031   0.0513  -0.2128   0.0116   0.0928   0.0174 4323.96    -8.67   -11.44    -8.20    -0.55
  30 179 4270.05 4336.96 4401.33  -3.9459   0.0286 -11.6929   0.0356   0.0155   0.0150   0.0155   0.0150   0.0495   0.0068  31.3580   0.0952   0.0499   0.0256   0.0033   0.0902   0.0184    0.00    -8.23    -9.42 -4401.33 -4462.84
