  n   l   vn0     vn1    5vn2     r01     r01w      r10       r10w     mr01    11mr10   br01     br10      r02     15r02w    sr02     sr02w    r02th    19r13    r13w     r13th    sr02th   nu3     delf0     df1     df2     df3
   8 180 1263.03 1329.32 1394.35   0.3630   0.0002   0.1159   0.0001   0.0389   0.0410   0.0389   0.0410   0.0103   0.0003   0.0004   0.0003   0.0875   0.0184   0.0000   0.1585   0.0088 1451.02     0.28     0.32     1.13     0.37
   9 180 1407.17 1472.51 1535.69   0.0404   0.0006   0.0382   0.0004   0.0407   0.0391   0.0407   0.0391   0.0832   0.0006   0.0165   0.0009   0.0890   0.1524   0.0005   0.1527   0.0150 1591.55     0.31     0.34     0.17     0.27
  10 180 1548.21 1612.38 1674.33   0.0370   0.0003   0.0367   0.0003   0.0384   0.0382   0.0384   0.0382   0.0885   0.0003   0.0185   0.0006   0.0888   0.1514   0.0004   0.1509   0.0159 1729.09     0.12     0.35     0.21     0.11
  11 180 1686.47 1749.17 1810.11   0.0379   0.0003   0.0380   0.0002   0.0387   0.0381   0.0387   0.0381   0.0870   0.0003   0.0122   0.0005   0.0878   0.1479   0.0004   0.1476   0.0129 1865.29     0.10     0.11     0.21     0.22
  12 180 1822.03 1884.92 1945.74   0.0365   0.0002   0.0349   0.0002   0.0366   0.0353   0.0366   0.0353   0.0875   0.0002   0.0161   0.0004   0.0879   0.1458   0.0003   0.1462   0.0153 2001.26     0.15     0.17     0.08     0.19
  13 180 1957.39 2020.64 2081.96   0.0340   0.0002   0.0341   0.0002   0.0346   0.0346   0.0346   0.0346   0.0860   0.0002   0.0154   0.0004   0.0861   0.1441   0.0003   0.1442   0.0142 2137.77     0.06     0.18     0.14    -0.01
  14 180 2093.39 2156.85 2217.74   0.0338   0.0002   0.0327   0.0001   0.0336   0.0319   0.0336   0.0319   0.0839   0.0002   0.0178   0.0004   0.0841   0.1400   0.0003   0.1400   0.0188 2273.52     0.13    -0.04    -0.07    -0.07
  15 180 2228.78 2292.17 2352.71   0.0312   0.0001   0.0295   0.0001   0.0307   0.0298   0.0307   0.0298   0.0821   0.0002   0.0220   0.0003   0.0815   0.1368   0.0003   0.1373   0.0210 2407.65     0.01    -0.15    -0.43    -0.58
  16 180 2363.29 2426.20 2486.68   0.0294   0.0001   0.0294   0.0001   0.0297   0.0292   0.0297   0.0292   0.0787   0.0002   0.0185   0.0003   0.0786   0.1344   0.0003   0.1340   0.0181 2541.71    -0.46    -0.60    -0.78    -1.00
  17 180 2496.95 2560.29 2621.01   0.0287   0.0001   0.0275   0.0001   0.0281   0.0269   0.0281   0.0269   0.0774   0.0002   0.0186   0.0003   0.0768   0.1310   0.0003   0.1311   0.0195 2676.23    -0.73    -1.08    -1.30    -1.40
  18 180 2630.97 2694.92 2756.41   0.0264   0.0001   0.0258   0.0001   0.0262   0.0261   0.0262   0.0261   0.0748   0.0002   0.0192   0.0003   0.0743   0.1280   0.0002   0.1284   0.0183 2811.46    -1.27    -1.51    -1.87    -2.14
  19 180 2766.10 2830.43 2892.20   0.0255   0.0001   0.0251   0.0001   0.0257   0.0249   0.0257   0.0249   0.0719   0.0002   0.0193   0.0003   0.0717   0.1244   0.0002   0.1242   0.0188 2947.07    -1.89    -2.20    -2.55    -2.91
  20 180 2901.61 2966.41 3028.37   0.0242   0.0001   0.0230   0.0001   0.0239   0.0230   0.0239   0.0230   0.0700   0.0002   0.0211   0.0003   0.0694   0.1207   0.0002   0.1208   0.0208 3082.43    -2.52    -3.03    -3.55    -3.88
  21 180 3037.44 3102.26 3164.58   0.0225   0.0001   0.0222   0.0001   0.0229   0.0229   0.0229   0.0229   0.0668   0.0002   0.0200   0.0003   0.0667   0.1172   0.0002   0.1174   0.0185 3217.90    -3.62    -4.03    -4.62    -5.06
  22 180 3173.38 3238.44 3300.88   0.0219   0.0001   0.0212   0.0001   0.0223   0.0214   0.0223   0.0214   0.0647   0.0002   0.0190   0.0004   0.0647   0.1135   0.0002   0.1137   0.0193 3353.68    -4.70    -5.22    -5.69    -6.07
  23 180 3309.40 3374.88 3437.78   0.0203   0.0002   0.0198   0.0002   0.0207   0.0205   0.0207   0.0205   0.0623   0.0002   0.0205   0.0004   0.0626   0.1103   0.0003   0.1109   0.0189 3489.70    -5.81    -6.26    -6.91    -7.30
  24 180 3446.04 3511.68 3574.93   0.0197   0.0002   0.0194   0.0002   0.0204   0.0201   0.0204   0.0201   0.0607   0.0003   0.0184   0.0006   0.0604   0.1077   0.0005   0.1074   0.0176 3626.28    -6.95    -7.38    -7.90    -8.43
  25 180 3582.96 3649.01 3712.42   0.0189   0.0003   0.0184   0.0003   0.0194   0.0186   0.0194   0.0186   0.0579   0.0004   0.0183   0.0008   0.0586   0.1041   0.0007   0.1041   0.0193 3762.99    -8.06    -8.55    -8.89    -9.51
