  n   l   vn0     vn1    5vn2     r01     r01w      r10       r10w     mr01    11mr10   br01     br10      r02     15r02w    sr02     sr02w    r02th    19r13    r13w     r13th    sr02th   nu3     delf0     df1     df2     df3
   8 168 1262.44 1328.45 1393.22   0.3630   0.0002   0.1159   0.0001   0.3631   0.1160   0.3631   0.1160   0.0103   0.0003   0.0004   0.0003   0.0102   0.0184   0.0000   0.0173   0.0009 1451.02     0.87     1.19     2.26     1.59
   9 168 1406.23 1471.56 1534.43   0.0404   0.0006   0.0382   0.0004   0.0407   0.0387   0.0407   0.0387   0.0832   0.0006   0.0165   0.0009   0.0905   0.1524   0.0005   0.1546   0.0172 1591.55     1.25     1.29     1.43     1.89
  10 168 1547.06 1610.98 1672.82   0.0370   0.0003   0.0367   0.0003   0.0387   0.0392   0.0387   0.0392   0.0885   0.0003   0.0185   0.0006   0.0897   0.1514   0.0004   0.1529   0.0149 1729.09     1.27     1.75     1.72     1.79
  11 168 1685.15 1747.68 1808.31   0.0379   0.0003   0.0380   0.0002   0.0396   0.0382   0.0396   0.0382   0.0870   0.0003   0.0122   0.0005   0.0893   0.1479   0.0004   0.1491   0.0139 1865.29     1.42     1.60     2.01     2.15
  12 168 1820.39 1883.27 1943.96   0.0365   0.0002   0.0349   0.0002   0.0365   0.0355   0.0365   0.0355   0.0875   0.0002   0.0161   0.0004   0.0893   0.1458   0.0003   0.1485   0.0162 2001.26     1.79     1.82     1.86     2.24
  13 168 1955.76 2018.79 2079.93   0.0340   0.0002   0.0341   0.0002   0.0353   0.0353   0.0353   0.0353   0.0860   0.0002   0.0154   0.0004   0.0872   0.1441   0.0003   0.1458   0.0139 2137.77     1.69     2.03     2.17     2.14
  14 168 2091.55 2154.93 2215.51   0.0338   0.0002   0.0327   0.0001   0.0339   0.0318   0.0339   0.0318   0.0839   0.0002   0.0178   0.0004   0.0856   0.1400   0.0003   0.1418   0.0206 2273.52     1.97     1.88     2.17     2.41
  15 168 2226.68 2289.93 2350.37   0.0312   0.0001   0.0295   0.0001   0.0308   0.0303   0.0308   0.0303   0.0821   0.0002   0.0220   0.0003   0.0826   0.1368   0.0003   0.1395   0.0209 2407.65     2.11     2.09     1.91     1.94
  16 168 2361.11 2423.88 2484.18   0.0294   0.0001   0.0294   0.0001   0.0304   0.0295   0.0304   0.0295   0.0787   0.0002   0.0185   0.0003   0.0799   0.1344   0.0003   0.1357   0.0186 2541.71     1.72     1.72     1.72     1.54
  17 168 2494.61 2558.03 2618.64   0.0287   0.0001   0.0275   0.0001   0.0280   0.0268   0.0280   0.0268   0.0774   0.0002   0.0186   0.0003   0.0782   0.1310   0.0003   0.1332   0.0209 2676.23     1.61     1.18     1.07     1.15
  18 168 2628.74 2692.61 2754.05   0.0264   0.0001   0.0258   0.0001   0.0265   0.0266   0.0265   0.0266   0.0748   0.0002   0.0192   0.0003   0.0753   0.1280   0.0002   0.1302   0.0181 2811.46     0.96     0.80     0.49     0.30
  19 168 2763.91 2828.22 2889.77   0.0255   0.0001   0.0251   0.0001   0.0261   0.0248   0.0261   0.0248   0.0719   0.0002   0.0193   0.0003   0.0729   0.1244   0.0002   0.1258   0.0203 2947.07     0.30     0.01    -0.12    -0.35
  20 168 2899.31 2964.11 3026.00   0.0242   0.0001   0.0230   0.0001   0.0237   0.0233   0.0237   0.0233   0.0700   0.0002   0.0211   0.0003   0.0705   0.1207   0.0002   0.1228   0.0213 3082.43    -0.22    -0.73    -1.18    -1.32
  21 168 3035.20 3099.90 3162.10   0.0225   0.0001   0.0222   0.0001   0.0235   0.0233   0.0235   0.0233   0.0668   0.0002   0.0200   0.0003   0.0677   0.1172   0.0002   0.1190   0.0184 3217.90    -1.38    -1.66    -2.14    -2.54
  22 168 3171.05 3236.16 3298.46   0.0219   0.0001   0.0212   0.0001   0.0224   0.0213   0.0224   0.0213   0.0647   0.0002   0.0190   0.0004   0.0659   0.1135   0.0002   0.1154   0.0207 3353.68    -2.37    -2.94    -3.27    -3.48
  23 168 3307.10 3372.52 3435.41   0.0203   0.0002   0.0198   0.0002   0.0209   0.0211   0.0209   0.0211   0.0623   0.0002   0.0205   0.0004   0.0635   0.1103   0.0003   0.1126   0.0185 3489.70    -3.51    -3.90    -4.54    -4.82
  24 168 3443.81 3509.40 3572.48   0.0197   0.0002   0.0194   0.0002   0.0210   0.0203   0.0210   0.0203   0.0607   0.0003   0.0184   0.0006   0.0615   0.1077   0.0005   0.1087   0.0183 3626.28    -4.72    -5.09    -5.45    -5.91
  25 168 3580.65 3646.72 3710.06   0.0189   0.0003   0.0184   0.0003   0.0193   0.0187   0.0193   0.0187   0.0579   0.0004   0.0183   0.0008   0.0597   0.1041   0.0007   0.1058   0.0200 3762.99    -5.75    -6.26    -6.53    -6.95
  26 168 3717.94 3784.05 3847.76   0.0181   0.0004   0.0178   0.0004   0.0188   0.0189   0.0188   0.0189   0.0555   0.0006   0.0184   0.0010   0.0575   0.1016   0.0011   0.1027   0.0174 3900.63    -6.85    -7.20    -7.68    -7.49
  27 168 3855.44 3921.82 3985.55   0.0179   0.0005   0.0181   0.0006   0.0183   0.0173   0.0183   0.0173   0.0543   0.0009   0.0153   0.0014   0.0559   0.0934   0.0019   0.0994   0.0193 4058.16    -7.95    -8.43    -8.35    11.93
  28 168 3992.98 4059.60 4123.66   0.0198   0.0008   0.0253   0.0014   0.0168   0.0168   0.0168   0.0168   0.0525   0.0012  -0.0037   0.0017   0.0540  -0.0558   0.0196   0.0970   0.0186 4216.58    -8.60    -9.09    -6.51    32.07
  29 168 4130.87 4197.47 4261.64   0.0320   0.0020   0.0353   0.0037   0.0168   0.0164   0.0168   0.0164   0.0458   0.0025  -0.0264   0.0031   0.0523  -0.2128   0.0116   0.0940   0.0177 4323.96    -7.34   -10.03    -6.66     1.04
  30 168 4268.64 4335.56 4399.82  -3.9459   0.0286 -11.6929   0.0356   0.0156   0.0150   0.0156   0.0150   0.0495   0.0068  31.3580   0.0952   0.0509   0.0256   0.0033   0.0915   0.0193    0.00    -6.82    -8.02 -4399.82 -4461.19
