  n   l   vn0     vn1    5vn2     r01     r01w      r10       r10w     mr01    11mr10   br01     br10      r02     15r02w    sr02     sr02w    r02th    19r13    r13w     r13th    sr02th   nu3     delf0     df1     df2     df3
   8 168 1262.72 1328.76 1393.48   0.3630   0.0002   0.1159   0.0001   0.3631   0.1159   0.3631   0.1159   0.0103   0.0003   0.0004   0.0003   0.0101   0.0184   0.0000   0.0172   0.0010 1451.02     0.59     0.88     2.00     1.25
   9 168 1406.40 1471.83 1534.76   0.0404   0.0006   0.0382   0.0004   0.0401   0.0383   0.0401   0.0383   0.0832   0.0006   0.0165   0.0009   0.0899   0.1524   0.0005   0.1542   0.0175 1591.55     1.08     1.02     1.10     1.58
  10 168 1547.29 1611.17 1673.06   0.0370   0.0003   0.0367   0.0003   0.0385   0.0391   0.0385   0.0391   0.0885   0.0003   0.0185   0.0006   0.0890   0.1514   0.0004   0.1522   0.0144 1729.09     1.04     1.56     1.48     1.46
  11 168 1685.32 1747.93 1808.58   0.0379   0.0003   0.0380   0.0002   0.0393   0.0378   0.0393   0.0378   0.0870   0.0003   0.0122   0.0005   0.0888   0.1479   0.0004   0.1484   0.0143 1865.29     1.25     1.35     1.74     1.86
  12 168 1820.58 1883.48 1944.28   0.0365   0.0002   0.0349   0.0002   0.0362   0.0356   0.0362   0.0356   0.0875   0.0002   0.0161   0.0004   0.0887   0.1458   0.0003   0.1479   0.0155 2001.26     1.60     1.61     1.54     1.88
  13 168 1956.02 2019.03 2080.19   0.0340   0.0002   0.0341   0.0002   0.0354   0.0353   0.0354   0.0353   0.0860   0.0002   0.0154   0.0004   0.0867   0.1441   0.0003   0.1450   0.0137 2137.77     1.43     1.79     1.91     1.84
  14 168 2091.75 2155.14 2215.78   0.0338   0.0002   0.0327   0.0001   0.0339   0.0319   0.0339   0.0319   0.0839   0.0002   0.0178   0.0004   0.0852   0.1400   0.0003   0.1411   0.0201 2273.52     1.77     1.67     1.90     2.18
  15 168 2226.89 2290.05 2350.54   0.0312   0.0001   0.0295   0.0001   0.0311   0.0307   0.0311   0.0307   0.0821   0.0002   0.0220   0.0003   0.0822   0.1368   0.0003   0.1386   0.0197 2407.65     1.90     1.97     1.74     1.71
  16 168 2361.26 2424.01 2484.34   0.0294   0.0001   0.0294   0.0001   0.0306   0.0296   0.0306   0.0296   0.0787   0.0002   0.0185   0.0003   0.0797   0.1344   0.0003   0.1349   0.0182 2541.71     1.57     1.59     1.56     1.37
  17 168 2494.74 2558.11 2618.83   0.0287   0.0001   0.0275   0.0001   0.0282   0.0273   0.0282   0.0273   0.0774   0.0002   0.0186   0.0003   0.0779   0.1310   0.0003   0.1325   0.0197 2676.23     1.48     1.10     0.88     0.93
