  n   l   vn0     vn1    5vn2     r01     r01w      r10       r10w     mr01    11mr10   br01     br10      r02     15r02w    sr02     sr02w    r02th    19r13    r13w     r13th    sr02th   nu3     delf0     df1     df2     df3
   8 167 1262.85 1328.91 1393.68   0.3630   0.0002   0.1159   0.0001   0.3631   0.1159   0.3631   0.1159   0.0103   0.0003   0.0004   0.0003   0.0101   0.0184   0.0000   0.0172   0.0010 1451.02     0.46     0.73     1.80     1.04
   9 167 1406.60 1472.03 1534.96   0.0404   0.0006   0.0382   0.0004   0.0401   0.0383   0.0401   0.0383   0.0832   0.0006   0.0165   0.0009   0.0899   0.1524   0.0005   0.1541   0.0175 1591.55     0.88     0.82     0.90     1.33
  10 167 1547.50 1611.44 1673.34   0.0370   0.0003   0.0367   0.0003   0.0384   0.0390   0.0384   0.0390   0.0885   0.0003   0.0185   0.0006   0.0890   0.1514   0.0004   0.1522   0.0146 1729.09     0.83     1.29     1.20     1.18
  11 167 1685.59 1748.20 1808.89   0.0379   0.0003   0.0380   0.0002   0.0393   0.0379   0.0393   0.0379   0.0870   0.0003   0.0122   0.0005   0.0887   0.1479   0.0004   0.1484   0.0140 1865.29     0.98     1.08     1.43     1.53
  12 167 1820.89 1883.80 1944.60   0.0365   0.0002   0.0349   0.0002   0.0363   0.0355   0.0363   0.0355   0.0875   0.0002   0.0161   0.0004   0.0887   0.1458   0.0003   0.1478   0.0156 2001.26     1.29     1.29     1.22     1.55
  13 167 1956.33 2019.37 2080.57   0.0340   0.0002   0.0341   0.0002   0.0354   0.0353   0.0354   0.0353   0.0860   0.0002   0.0154   0.0004   0.0867   0.1441   0.0003   0.1450   0.0136 2137.77     1.12     1.45     1.53     1.46
  14 167 2092.13 2155.50 2216.18   0.0338   0.0002   0.0327   0.0001   0.0340   0.0320   0.0340   0.0320   0.0839   0.0002   0.0178   0.0004   0.0851   0.1400   0.0003   0.1410   0.0199 2273.52     1.39     1.31     1.50     1.74
  15 167 2227.29 2290.49 2350.99   0.0312   0.0001   0.0295   0.0001   0.0311   0.0306   0.0311   0.0306   0.0821   0.0002   0.0220   0.0003   0.0823   0.1368   0.0003   0.1386   0.0199 2407.65     1.50     1.53     1.29     1.26
  16 167 2361.70 2424.46 2484.81   0.0294   0.0001   0.0294   0.0001   0.0306   0.0297   0.0306   0.0297   0.0787   0.0002   0.0185   0.0003   0.0797   0.1344   0.0003   0.1349   0.0179 2541.71     1.13     1.14     1.09     0.89
  17 167 2495.22 2558.58 2619.29   0.0287   0.0001   0.0275   0.0001   0.0283   0.0273   0.0283   0.0273   0.0774   0.0002   0.0186   0.0003   0.0779   0.1310   0.0003   0.1324   0.0197 2676.23     1.00     0.63     0.42     0.45
  18 167 2629.37 2693.20 2754.65   0.0264   0.0001   0.0258   0.0001   0.0269   0.0268   0.0269   0.0268   0.0748   0.0002   0.0192   0.0003   0.0752   0.1280   0.0002   0.1294   0.0176 2811.46     0.33     0.21    -0.11    -0.36
  19 167 2764.49 2828.79 2890.38   0.0255   0.0001   0.0251   0.0001   0.0262   0.0249   0.0262   0.0249   0.0719   0.0002   0.0193   0.0003   0.0728   0.1244   0.0002   0.1251   0.0200 2947.07    -0.28    -0.56    -0.73    -0.97
  20 167 2899.90 2964.63 3026.54   0.0242   0.0001   0.0230   0.0001   0.0239   0.0234   0.0239   0.0234   0.0700   0.0002   0.0211   0.0003   0.0703   0.1207   0.0002   0.1221   0.0208 3082.43    -0.81    -1.25    -1.72    -1.93
  21 167 3035.71 3100.45 3162.60   0.0225   0.0001   0.0222   0.0001   0.0234   0.0229   0.0234   0.0229   0.0668   0.0002   0.0200   0.0003   0.0676   0.1172   0.0002   0.1184   0.0190 3217.90    -1.89    -2.21    -2.64    -3.07
  22 167 3171.50 3236.65 3298.96   0.0219   0.0001   0.0212   0.0001   0.0220   0.0210   0.0220   0.0210   0.0647   0.0002   0.0190   0.0004   0.0656   0.1135   0.0002   0.1151   0.0208 3353.68    -2.82    -3.43    -3.77    -4.02
  23 167 3307.56 3372.99 3435.85   0.0203   0.0002   0.0198   0.0002   0.0206   0.0206   0.0206   0.0206   0.0623   0.0002   0.0205   0.0004   0.0632   0.1103   0.0003   0.1122   0.0189 3489.70    -3.97    -4.38    -4.98    -5.33
  24 167 3444.19 3509.88 3572.95   0.0197   0.0002   0.0194   0.0002   0.0204   0.0196   0.0204   0.0196   0.0607   0.0003   0.0184   0.0006   0.0611   0.1077   0.0005   0.1085   0.0191 3626.28    -5.10    -5.57    -5.92    -6.36
  25 167 3581.03 3647.12 3710.50   0.0189   0.0003   0.0184   0.0003   0.0189   0.0185   0.0189   0.0185   0.0579   0.0004   0.0183   0.0008   0.0591   0.1041   0.0007   0.1055   0.0197 3762.99    -6.13    -6.66    -6.97    -7.42
  26 167 3718.32 3784.46 3848.16   0.0181   0.0004   0.0178   0.0004   0.0185   0.0184   0.0185   0.0184   0.0555   0.0006   0.0184   0.0010   0.0570   0.1016   0.0011   0.1023   0.0179 3900.63    -7.22    -7.62    -8.08    -7.89
  27 167 3855.76 3922.18 3985.98   0.0179   0.0005   0.0181   0.0006   0.0179   0.0172   0.0179   0.0172   0.0543   0.0009   0.0153   0.0014   0.0553   0.0934   0.0019   0.0992   0.0190 4058.16    -8.27    -8.79    -8.78    11.54
  28 167 3993.34 4059.91 4124.02   0.0198   0.0008   0.0253   0.0014   0.0169   0.0169   0.0169   0.0169   0.0525   0.0012  -0.0037   0.0017   0.0535  -0.0558   0.0196   0.0965   0.0178 4216.58    -8.96    -9.40    -6.87    31.68
  29 167 4131.17 4197.78 4262.00   0.0320   0.0020   0.0353   0.0037   0.0168   0.0163   0.0168   0.0163   0.0458   0.0025  -0.0264   0.0031   0.0518  -0.2128   0.0116   0.0934   0.0174 4323.96    -7.64   -10.35    -7.03     0.72
  30 167 4268.94 4335.79 4400.17  -3.9459   0.0286 -11.6929   0.0356   0.0158   0.0155   0.0158   0.0155   0.0495   0.0068  31.3580   0.0952   0.0504   0.0256   0.0033   0.0909   0.0178    0.00    -7.12    -8.25 -4400.17 -4461.56
